Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.40062382 -0.50594464  0.41996774  0.54972574  0.82382302  0.00394595],24.8312
1,1,[0.00408486 0.54927057 0.88181876 0.96024294 0.10800859 0.09948295],22.58640000000002
1,2,[ 0.00279408  0.38133974  0.95649401  0.6856598   0.87469783 -0.04769777],20.893700000000003
1,3,[ 0.03430321  0.55786639  0.91277968  0.77832885  0.92539232 -0.05554177],20.526000000000018
1,4,[-0.00743053  0.50157412  0.80316039  0.65155915  0.87730748 -0.06359966],20.053899999999988
1,5,[ 0.03593721  0.30789123  0.85604197  0.7037985   0.95237135 -0.07889409],19.96099999999999
1,6,[ 0.09037319  0.3888772   0.99562963  0.65619469  0.89908633 -0.05682656],19.90269999999999
1,7,[ 0.09037319  0.3888772   0.99562963  0.65619469  0.89908633 -0.05682656],19.90269999999999
1,8,[ 0.09037319  0.3888772   0.99562963  0.65619469  0.89908633 -0.05682656],19.90269999999999
1,9,[ 0.09037319  0.3888772   0.99562963  0.65619469  0.89908633 -0.05682656],19.90269999999999
1,10,[ 0.09037319  0.3888772   0.99562963  0.65619469  0.89908633 -0.05682656],19.90269999999999
1,11,[ 0.09037319  0.3888772   0.99562963  0.65619469  0.89908633 -0.05682656],19.90269999999999
1,12,[ 0.09037319  0.3888772   0.99562963  0.65619469  0.89908633 -0.05682656],19.90269999999999
1,13,[ 0.09037319  0.3888772   0.99562963  0.65619469  0.89908633 -0.05682656],19.90269999999999
1,14,[ 0.09037319  0.3888772   0.99562963  0.65619469  0.89908633 -0.05682656],19.90269999999999
1,15,[ 0.00242191  0.66730705  0.85601535  0.8213068   0.92977361 -0.11864581],19.857699999999994
1,16,[ 0.00242191  0.66730705  0.85601535  0.8213068   0.92977361 -0.11864581],19.857699999999994
1,17,[ 0.09708077  0.59439915  0.65803165  0.85757565  1.         -0.07960046],19.82349999999999
1,18,[ 0.09708077  0.59439915  0.65803165  0.85757565  1.         -0.07960046],19.82349999999999
1,19,[ 0.1125732   0.65114265  0.75191754  0.75751291  0.84659776 -0.0622779 ],19.778899999999997
1,20,[ 0.1125732   0.65114265  0.75191754  0.75751291  0.84659776 -0.0622779 ],19.778899999999997
1,21,[ 0.1125732   0.65114265  0.75191754  0.75751291  0.84659776 -0.0622779 ],19.778899999999997
1,22,[ 0.1125732   0.65114265  0.75191754  0.75751291  0.84659776 -0.0622779 ],19.778899999999997
1,23,[ 0.1159056   0.75217571  0.69291588  0.69846921  0.91734429 -0.15592374],19.2367
1,24,[ 0.1159056   0.75217571  0.69291588  0.69846921  0.91734429 -0.15592374],19.2367
