Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.19951923  0.98102001  0.17560375 -0.67378701  0.99012096  0.79597545],27.679099999999984
1,1,[ 0.12690767  0.91034188  0.18948349 -0.60011158  0.92407222  0.88936511],27.03470000000001
1,2,[ 0.26573454  1.          0.32782566 -0.65882931  0.94657403  0.73956317],25.640299999999993
1,3,[ 0.15008772  1.          0.29625664 -0.54788061  0.9207459   0.86298975],24.146999999999995
1,4,[ 0.14675653  1.          0.38978267 -0.50556402  1.          0.83963552],22.42460000000001
1,5,[ 0.08348128  0.96487719  0.36310589 -0.4224654   0.77256661  0.92197659],21.842999999999996
1,6,[ 0.05965862  1.          0.34103206 -0.33807786  0.68836056  0.9195073 ],21.169099999999993
1,7,[ 0.07333508  0.90965447  0.41647164 -0.25621165  0.6898037   0.92343626],20.68689999999998
1,8,[ 0.02788924  1.          0.45917599 -0.2591211   0.59143189  0.87052636],20.122699999999988
1,9,[ 0.03332856  1.          0.53489372 -0.28872444  0.50667649  0.80471858],19.678599999999992
1,10,[ 0.07391492  0.98062294  0.60592775 -0.24889073  0.5164086   0.72093259],19.31899999999999
1,11,[ 0.03637207  1.          0.64507851 -0.28192354  0.43649025  0.64074045],18.989400000000007
1,12,[ 0.043518    1.          0.72008716 -0.26446796  0.35353628  0.63621389],18.65889999999999
1,13,[ 0.10763977  0.9949757   0.80116015 -0.26353384  0.43005849  0.49293305],18.3732
1,14,[ 0.13848312  0.9827387   0.74587717 -0.36186916  0.38386861  0.41230682],18.293699999999994
1,15,[ 0.00416644  1.          0.80175441 -0.26278816  0.30207428  0.37541288],17.910100000000003
1,16,[ 0.05571877  1.          0.76875835 -0.24022636  0.22522727  0.28465038],17.426299999999998
1,17,[ 0.05571877  1.          0.76875835 -0.24022636  0.22522727  0.28465038],17.426299999999998
1,18,[ 0.03538639  1.          0.82362959 -0.14888845  0.14190934  0.21440382],17.001999999999992
1,19,[ 0.06925525  0.92595907  0.87378804 -0.16950863  0.19655119  0.09942778],16.541099999999997
1,20,[ 0.04945274  1.          0.81197325 -0.11355306  0.08238317  0.08892405],16.38949999999997
1,21,[ 0.03353217  0.99808536  0.81347482 -0.04047036  0.03998261  0.07158126],16.35930000000001
