Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.34770615  0.73516162  0.63320231 -0.54716132  0.70021815  0.40049376],21.14979999999999
1,1,[ 0.26185908  0.65414973  0.72221596 -0.58270045  0.60808934  0.33735049],19.499100000000002
1,2,[ 0.17082542  0.70622329  0.66644539 -0.49528222  0.53284758  0.34003458],18.594199999999987
1,3,[ 0.16310452  0.6800167   0.75184501 -0.40703381  0.47533604  0.33995978],17.262199999999996
1,4,[ 0.16386509  0.72731856  0.87072032 -0.5039197   0.43411885  0.31104374],17.160900000000005
1,5,[ 0.17586169  0.77806357  0.92458091 -0.48065851  0.41274168  0.29251521],16.711700000000004
1,6,[ 0.22197953  0.77235976  0.86635156 -0.464558    0.3075194   0.26121958],16.330899999999993
1,7,[ 0.05613278  0.69544748  0.94945409 -0.36400838  0.27265987  0.38286484],16.2612
1,8,[ 0.11351969  0.72633346  0.99520871 -0.35882036  0.26275742  0.32553127],16.040800000000004
1,9,[ 0.10857271  0.66648469  0.99423204 -0.26307257  0.15515851  0.34415983],15.807699999999992
1,10,[ 0.12081021  0.59011657  0.85254325 -0.25423967  0.13694601  0.49208373],15.801999999999994
1,11,[ 0.15846221  0.66218711  1.         -0.28927812  0.10737742  0.40206923],15.751900000000001
1,12,[ 0.08922284  0.68607219  1.         -0.26077034  0.11393348  0.38184961],15.739799999999995
1,13,[ 0.12810031  0.68558755  0.99858697 -0.2732604   0.12005304  0.4578705 ],15.739400000000002
1,14,[ 0.12810031  0.68558755  0.99858697 -0.2732604   0.12005304  0.4578705 ],15.739400000000002
1,15,[ 0.12810031  0.68558755  0.99858697 -0.2732604   0.12005304  0.4578705 ],15.739400000000002
1,16,[ 0.12810031  0.68558755  0.99858697 -0.2732604   0.12005304  0.4578705 ],15.739400000000002
1,17,[ 0.12810031  0.68558755  0.99858697 -0.2732604   0.12005304  0.4578705 ],15.739400000000002
1,18,[ 0.12810031  0.68558755  0.99858697 -0.2732604   0.12005304  0.4578705 ],15.739400000000002
1,19,[ 0.12810031  0.68558755  0.99858697 -0.2732604   0.12005304  0.4578705 ],15.739400000000002
1,20,[ 0.12810031  0.68558755  0.99858697 -0.2732604   0.12005304  0.4578705 ],15.739400000000002
1,21,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,22,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,23,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,24,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,25,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,26,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,27,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,28,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,29,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,30,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,31,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,32,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,33,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,34,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,35,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,36,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,37,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,38,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,39,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,40,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,41,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,42,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,43,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,44,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,45,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,46,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,47,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
1,48,[ 0.12288639  0.66825667  1.         -0.26266277  0.11326485  0.30933971],15.7309
