Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.30125678  0.78647864 -0.43341332  0.8332028   0.1856645   0.0313562 ],30.00880000000001
1,1,[ 0.23782989  0.87425362 -0.46062476  0.92611594  0.21635368  0.00764153],22.18550000000001
1,2,[ 0.30541062  0.8032662  -0.42046965  0.76828532  0.29885759  0.00279141],21.31600000000001
1,3,[ 0.30541062  0.8032662  -0.42046965  0.76828532  0.29885759  0.00279141],21.31600000000001
1,4,[ 0.26423018  0.83817855 -0.41604063  0.80648097  0.27059747  0.00173134],20.94399999999998
1,5,[ 0.26423018  0.83817855 -0.41604063  0.80648097  0.27059747  0.00173134],20.94399999999998
1,6,[ 0.26423018  0.83817855 -0.41604063  0.80648097  0.27059747  0.00173134],20.94399999999998
1,7,[ 0.21775781  0.98135309 -0.20254999  0.51953018  0.28272995  0.00943576],20.49060000000001
1,8,[ 0.21775781  0.98135309 -0.20254999  0.51953018  0.28272995  0.00943576],20.49060000000001
1,9,[ 0.21775781  0.98135309 -0.20254999  0.51953018  0.28272995  0.00943576],20.49060000000001
1,10,[ 0.21775781  0.98135309 -0.20254999  0.51953018  0.28272995  0.00943576],20.49060000000001
1,11,[ 0.21775781  0.98135309 -0.20254999  0.51953018  0.28272995  0.00943576],20.49060000000001
1,12,[ 0.21775781  0.98135309 -0.20254999  0.51953018  0.28272995  0.00943576],20.49060000000001
1,13,[ 0.08998538  0.90872849 -0.19637294  0.58262152  0.38188215  0.0102079 ],20.25859999999999
1,14,[ 0.08998538  0.90872849 -0.19637294  0.58262152  0.38188215  0.0102079 ],20.25859999999999
1,15,[ 0.08998538  0.90872849 -0.19637294  0.58262152  0.38188215  0.0102079 ],20.25859999999999
1,16,[ 0.08998538  0.90872849 -0.19637294  0.58262152  0.38188215  0.0102079 ],20.25859999999999
1,17,[ 0.08998538  0.90872849 -0.19637294  0.58262152  0.38188215  0.0102079 ],20.25859999999999
1,18,[ 0.09831991  0.83104349 -0.18674831  0.4957098   0.40109178  0.00313916],20.230200000000004
1,19,[ 0.12949977  0.99304276 -0.19602397  0.67202823  0.35604796  0.00910481],20.041300000000014
1,20,[ 0.16454572  0.82551528 -0.06004411  0.67553346  0.12606978  0.0103826 ],19.858100000000007
1,21,[ 0.16454572  0.82551528 -0.06004411  0.67553346  0.12606978  0.0103826 ],19.858100000000007
1,22,[ 0.16454572  0.82551528 -0.06004411  0.67553346  0.12606978  0.0103826 ],19.858100000000007
1,23,[ 0.16454572  0.82551528 -0.06004411  0.67553346  0.12606978  0.0103826 ],19.858100000000007
1,24,[ 0.16454572  0.82551528 -0.06004411  0.67553346  0.12606978  0.0103826 ],19.858100000000007
1,25,[ 0.07462364  0.81429589 -0.00384221  0.61751964  0.25424484  0.01283051],19.50319999999999
1,26,[ 0.07462364  0.81429589 -0.00384221  0.61751964  0.25424484  0.01283051],19.50319999999999
1,27,[ 0.07462364  0.81429589 -0.00384221  0.61751964  0.25424484  0.01283051],19.50319999999999
1,28,[ 0.07462364  0.81429589 -0.00384221  0.61751964  0.25424484  0.01283051],19.50319999999999
1,29,[ 0.07462364  0.81429589 -0.00384221  0.61751964  0.25424484  0.01283051],19.50319999999999
1,30,[0.02309858 0.76188873 0.08855107 0.66082087 0.188691   0.01642708],19.491000000000014
1,31,[0.02309858 0.76188873 0.08855107 0.66082087 0.188691   0.01642708],19.491000000000014
1,32,[0.02309858 0.76188873 0.08855107 0.66082087 0.188691   0.01642708],19.491000000000014
1,33,[0.02309858 0.76188873 0.08855107 0.66082087 0.188691   0.01642708],19.491000000000014
1,34,[0.02309858 0.76188873 0.08855107 0.66082087 0.188691   0.01642708],19.491000000000014
1,35,[0.02309858 0.76188873 0.08855107 0.66082087 0.188691   0.01642708],19.491000000000014
1,36,[0.02309858 0.76188873 0.08855107 0.66082087 0.188691   0.01642708],19.491000000000014
1,37,[0.02309858 0.76188873 0.08855107 0.66082087 0.188691   0.01642708],19.491000000000014
1,38,[0.02309858 0.76188873 0.08855107 0.66082087 0.188691   0.01642708],19.491000000000014
1,39,[-0.04796041  0.66350989  0.02699161  0.73192488  0.24944054  0.01081097],19.4395
1,40,[-0.04796041  0.66350989  0.02699161  0.73192488  0.24944054  0.01081097],19.4395
1,41,[0.04242091 0.65517391 0.05984601 0.82848246 0.15258616 0.0126596 ],19.221100000000014
1,42,[0.04242091 0.65517391 0.05984601 0.82848246 0.15258616 0.0126596 ],19.221100000000014
1,43,[0.04242091 0.65517391 0.05984601 0.82848246 0.15258616 0.0126596 ],19.221100000000014
1,44,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,45,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,46,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,47,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,48,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,49,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,50,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,51,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,52,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,53,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,54,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,55,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,56,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,57,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,58,[-0.03975723  0.63409672  0.12288235  0.76907918  0.18244126  0.01086044],19.105200000000004
1,59,[-0.01241284  0.62765967  0.08071631  0.73670035  0.17577086  0.0103044 ],19.105199999999993
1,60,[-0.01241284  0.62765967  0.08071631  0.73670035  0.17577086  0.0103044 ],19.105199999999993
1,61,[-0.01241284  0.62765967  0.08071631  0.73670035  0.17577086  0.0103044 ],19.105199999999993
1,62,[-0.01241284  0.62765967  0.08071631  0.73670035  0.17577086  0.0103044 ],19.105199999999993
1,63,[-0.01241284  0.62765967  0.08071631  0.73670035  0.17577086  0.0103044 ],19.105199999999993
1,64,[-0.01241284  0.62765967  0.08071631  0.73670035  0.17577086  0.0103044 ],19.105199999999993
1,65,[-0.01241284  0.62765967  0.08071631  0.73670035  0.17577086  0.0103044 ],19.105199999999993
1,66,[-0.01241284  0.62765967  0.08071631  0.73670035  0.17577086  0.0103044 ],19.105199999999993
1,67,[-0.01241284  0.62765967  0.08071631  0.73670035  0.17577086  0.0103044 ],19.105199999999993
1,68,[-0.01241284  0.62765967  0.08071631  0.73670035  0.17577086  0.0103044 ],19.105199999999993
1,69,[-0.01241284  0.62765967  0.08071631  0.73670035  0.17577086  0.0103044 ],19.105199999999993
1,70,[-0.01241284  0.62765967  0.08071631  0.73670035  0.17577086  0.0103044 ],19.105199999999993
1,71,[0.001741   0.71855424 0.19769268 0.84885037 0.11721841 0.01266698],19.02869999999999
1,72,[0.001741   0.71855424 0.19769268 0.84885037 0.11721841 0.01266698],19.02869999999999
1,73,[0.001741   0.71855424 0.19769268 0.84885037 0.11721841 0.01266698],19.02869999999999
1,74,[0.001741   0.71855424 0.19769268 0.84885037 0.11721841 0.01266698],19.02869999999999
1,75,[0.001741   0.71855424 0.19769268 0.84885037 0.11721841 0.01266698],19.02869999999999
1,76,[0.001741   0.71855424 0.19769268 0.84885037 0.11721841 0.01266698],19.02869999999999
1,77,[0.001741   0.71855424 0.19769268 0.84885037 0.11721841 0.01266698],19.02869999999999
1,78,[0.001741   0.71855424 0.19769268 0.84885037 0.11721841 0.01266698],19.02869999999999
1,79,[0.001741   0.71855424 0.19769268 0.84885037 0.11721841 0.01266698],19.02869999999999
1,80,[0.001741   0.71855424 0.19769268 0.84885037 0.11721841 0.01266698],19.02869999999999
1,81,[0.001741   0.71855424 0.19769268 0.84885037 0.11721841 0.01266698],19.02869999999999
1,82,[0.001741   0.71855424 0.19769268 0.84885037 0.11721841 0.01266698],19.02869999999999
1,83,[0.001741   0.71855424 0.19769268 0.84885037 0.11721841 0.01266698],19.02869999999999
1,84,[0.001741   0.71855424 0.19769268 0.84885037 0.11721841 0.01266698],19.02869999999999
1,85,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
1,86,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
1,87,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
1,88,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
1,89,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
1,90,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
1,91,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
1,92,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
1,93,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
1,94,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
1,95,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
1,96,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
1,97,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
1,98,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
1,99,[-0.0237605   0.7002033   0.12170093  0.95865493  0.17795428  0.01193194],19.02859999999998
2,0,[ 0.00391953  0.764769    0.94184318  0.87306101  0.63663694 -0.14932706],43.785800000000016
2,1,[ 0.08642136  0.74244512  0.96349372  0.9226334   0.31789924 -0.05736453],25.000099999999982
2,2,[ 0.09979852  0.73568464  0.99267634  0.85143714  0.33908835 -0.00204869],19.844299999999993
2,3,[0.06940678 0.63909046 1.         0.81006259 0.3613428  0.00749137],19.695199999999993
2,4,[0.06940678 0.63909046 1.         0.81006259 0.3613428  0.00749137],19.695199999999993
2,5,[0.06940678 0.63909046 1.         0.81006259 0.3613428  0.00749137],19.695199999999993
2,6,[0.06940678 0.63909046 1.         0.81006259 0.3613428  0.00749137],19.695199999999993
2,7,[0.06940678 0.63909046 1.         0.81006259 0.3613428  0.00749137],19.695199999999993
2,8,[0.06940678 0.63909046 1.         0.81006259 0.3613428  0.00749137],19.695199999999993
2,9,[0.06940678 0.63909046 1.         0.81006259 0.3613428  0.00749137],19.695199999999993
2,10,[0.06940678 0.63909046 1.         0.81006259 0.3613428  0.00749137],19.695199999999993
2,11,[0.08703971 0.6951513  0.94705874 0.95081066 0.17206609 0.00907052],19.665499999999987
2,12,[0.08703971 0.6951513  0.94705874 0.95081066 0.17206609 0.00907052],19.665499999999987
2,13,[0.08703971 0.6951513  0.94705874 0.95081066 0.17206609 0.00907052],19.665499999999987
2,14,[0.08703971 0.6951513  0.94705874 0.95081066 0.17206609 0.00907052],19.665499999999987
2,15,[0.08703971 0.6951513  0.94705874 0.95081066 0.17206609 0.00907052],19.665499999999987
2,16,[0.01608218 0.62332955 0.91958319 0.89860986 0.11400951 0.01392287],19.640499999999978
2,17,[0.01608218 0.62332955 0.91958319 0.89860986 0.11400951 0.01392287],19.640499999999978
2,18,[0.01608218 0.62332955 0.91958319 0.89860986 0.11400951 0.01392287],19.640499999999978
2,19,[0.01608218 0.62332955 0.91958319 0.89860986 0.11400951 0.01392287],19.640499999999978
2,20,[0.01608218 0.62332955 0.91958319 0.89860986 0.11400951 0.01392287],19.640499999999978
2,21,[0.01608218 0.62332955 0.91958319 0.89860986 0.11400951 0.01392287],19.640499999999978
2,22,[0.09732352 0.59800358 1.         0.91169445 0.16250785 0.00941162],19.62649999999998
2,23,[0.05453607 0.54407807 0.9697411  0.87776981 0.11210205 0.01024784],19.578000000000003
2,24,[0.05444018 0.49921125 0.92952145 0.77900938 0.06685677 0.01390809],19.577900000000007
2,25,[0.05444018 0.49921125 0.92952145 0.77900938 0.06685677 0.01390809],19.577900000000007
2,26,[0.05444018 0.49921125 0.92952145 0.77900938 0.06685677 0.01390809],19.577900000000007
2,27,[0.03293399 0.47280206 0.99088402 0.72449643 0.05347405 0.01484307],19.505899999999993
2,28,[0.03293399 0.47280206 0.99088402 0.72449643 0.05347405 0.01484307],19.505899999999993
2,29,[0.03293399 0.47280206 0.99088402 0.72449643 0.05347405 0.01484307],19.505899999999993
2,30,[0.03293399 0.47280206 0.99088402 0.72449643 0.05347405 0.01484307],19.505899999999993
2,31,[0.03293399 0.47280206 0.99088402 0.72449643 0.05347405 0.01484307],19.505899999999993
2,32,[0.03293399 0.47280206 0.99088402 0.72449643 0.05347405 0.01484307],19.505899999999993
2,33,[0.03293399 0.47280206 0.99088402 0.72449643 0.05347405 0.01484307],19.505899999999993
2,34,[0.03293399 0.47280206 0.99088402 0.72449643 0.05347405 0.01484307],19.505899999999993
2,35,[ 0.01646595  0.39836923  0.89986022  0.63612201 -0.00414921  0.01038479],19.427699999999984
2,36,[ 0.01646595  0.39836923  0.89986022  0.63612201 -0.00414921  0.01038479],19.427699999999984
2,37,[ 0.01646595  0.39836923  0.89986022  0.63612201 -0.00414921  0.01038479],19.427699999999984
2,38,[ 0.01646595  0.39836923  0.89986022  0.63612201 -0.00414921  0.01038479],19.427699999999984
2,39,[ 0.01646595  0.39836923  0.89986022  0.63612201 -0.00414921  0.01038479],19.427699999999984
2,40,[ 0.05355665  0.30430677  0.99063562  0.70672013 -0.02946598  0.00410484],19.423399999999994
2,41,[0.00892176 0.38978405 0.92819335 0.53764292 0.00989077 0.01133831],19.374799999999997
2,42,[0.00892176 0.38978405 0.92819335 0.53764292 0.00989077 0.01133831],19.374799999999997
2,43,[0.00892176 0.38978405 0.92819335 0.53764292 0.00989077 0.01133831],19.374799999999997
2,44,[0.00892176 0.38978405 0.92819335 0.53764292 0.00989077 0.01133831],19.374799999999997
2,45,[0.00892176 0.38978405 0.92819335 0.53764292 0.00989077 0.01133831],19.374799999999997
2,46,[0.00892176 0.38978405 0.92819335 0.53764292 0.00989077 0.01133831],19.374799999999997
2,47,[0.00892176 0.38978405 0.92819335 0.53764292 0.00989077 0.01133831],19.374799999999997
2,48,[0.00892176 0.38978405 0.92819335 0.53764292 0.00989077 0.01133831],19.374799999999997
2,49,[0.00892176 0.38978405 0.92819335 0.53764292 0.00989077 0.01133831],19.374799999999997
2,50,[ 0.08679793  0.33701328  1.          0.58356457 -0.04243722  0.00369799],19.368500000000004
2,51,[ 0.08679793  0.33701328  1.          0.58356457 -0.04243722  0.00369799],19.368500000000004
2,52,[ 0.08679793  0.33701328  1.          0.58356457 -0.04243722  0.00369799],19.368500000000004
2,53,[ 0.0649417   0.37544009  0.94895547  0.56039708 -0.04577376  0.00827809],19.333399999999994
2,54,[ 0.0649417   0.37544009  0.94895547  0.56039708 -0.04577376  0.00827809],19.333399999999994
2,55,[ 0.0649417   0.37544009  0.94895547  0.56039708 -0.04577376  0.00827809],19.333399999999994
2,56,[ 0.10450122  0.30565254  0.89833231  0.4709539  -0.09801753  0.00467601],19.32230000000001
2,57,[ 0.10450122  0.30565254  0.89833231  0.4709539  -0.09801753  0.00467601],19.32230000000001
2,58,[ 0.10450122  0.30565254  0.89833231  0.4709539  -0.09801753  0.00467601],19.32230000000001
2,59,[ 0.03309754  0.32685126  1.          0.54809845 -0.11370603  0.00980918],19.2779
2,60,[ 0.03309754  0.32685126  1.          0.54809845 -0.11370603  0.00980918],19.2779
