Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.80901246  0.42732985  0.25753472  0.67209716 -0.55464406 -0.1872399 ],23.037800000000004
1,1,[ 0.86396891  0.43724514  0.34792035  0.64192257 -0.53838302 -0.17814524],22.80240000000001
1,2,[ 0.23653362  0.72918873  0.18195489 -0.18828078  0.92551805  0.69874414],22.3074
1,3,[ 0.17081513  0.80850506  0.28243919 -0.21586498  0.93851272  0.81129923],21.736000000000004
1,4,[ 0.14934411  0.80407524  0.37668991 -0.1346373   0.94607284  0.87214401],20.916599999999992
1,5,[ 0.10836146  0.84031154  0.43087042 -0.09916799  0.87656625  0.89692223],20.7314
1,6,[0.16898511 0.83043525 0.44473366 0.0202647  0.86237187 0.95258325],20.608599999999996
1,7,[ 0.17771189  0.81924782  0.51629757 -0.03591269  0.81187417  0.84361393],20.4515
1,8,[0.18456742 0.65926692 0.5513518  0.09892728 0.69922751 0.93845055],20.3759
1,9,[0.11792883 0.56787518 0.63321076 0.08233768 0.64061075 0.91203593],20.112299999999994
1,10,[0.13063657 0.59565022 0.63859816 0.01199429 0.54636805 0.91676668],19.96899999999999
1,11,[0.14240975 0.49558398 0.73351499 0.11175356 0.5094147  0.92649091],19.8853
1,12,[0.12519202 0.43779977 0.79256907 0.07599281 0.39926564 0.82826356],19.65699999999999
1,13,[0.1104064  0.47823425 0.85201814 0.04814531 0.32117673 0.92297687],19.560499999999994
1,14,[0.10722987 0.37145565 0.9100111  0.11528161 0.28296868 0.77230239],19.459399999999995
1,15,[0.11294877 0.34166376 0.94723801 0.19511199 0.22597449 0.80163175],19.429199999999987
1,16,[0.11294877 0.34166376 0.94723801 0.19511199 0.22597449 0.80163175],19.429199999999987
1,17,[0.08014928 0.37255248 1.         0.02464087 0.24722923 0.89009745],19.420399999999997
1,18,[0.08407107 0.28641788 0.89987026 0.15807504 0.11207371 0.90319966],19.35869999999999
1,19,[0.07550278 0.27356514 1.         0.03289124 0.18652198 0.99132899],19.323199999999996
1,20,[ 0.07454603  0.19137467  0.9984974  -0.01276828  0.15158071  1.        ],19.255499999999984
1,21,[ 0.08856095  0.15942224  0.99820902 -0.03391117  0.1783062   1.        ],19.250500000000002
1,22,[0.08452788 0.15773744 1.         0.04169336 0.06457153 0.9292404 ],19.234500000000004
1,23,[0.08981393 0.12120931 1.         0.0146832  0.03944905 1.        ],19.233600000000013
1,24,[0.08981393 0.12120931 1.         0.0146832  0.03944905 1.        ],19.233600000000013
1,25,[0.06203045 0.06055461 1.         0.13124997 0.01615944 0.91518987],19.229999999999993
1,26,[0.06203045 0.06055461 1.         0.13124997 0.01615944 0.91518987],19.229999999999993
1,27,[0.06203045 0.06055461 1.         0.13124997 0.01615944 0.91518987],19.229999999999993
1,28,[0.07459705 0.08183409 0.98074056 0.05961686 0.06656078 0.91394527],19.219599999999982
1,29,[0.07459705 0.08183409 0.98074056 0.05961686 0.06656078 0.91394527],19.219599999999982
1,30,[0.07459705 0.08183409 0.98074056 0.05961686 0.06656078 0.91394527],19.219599999999982
1,31,[0.07459705 0.08183409 0.98074056 0.05961686 0.06656078 0.91394527],19.219599999999982
1,32,[0.07459705 0.08183409 0.98074056 0.05961686 0.06656078 0.91394527],19.219599999999982
1,33,[0.07459705 0.08183409 0.98074056 0.05961686 0.06656078 0.91394527],19.219599999999982
1,34,[0.07459705 0.08183409 0.98074056 0.05961686 0.06656078 0.91394527],19.219599999999982
1,35,[0.07459705 0.08183409 0.98074056 0.05961686 0.06656078 0.91394527],19.219599999999982
1,36,[0.07459705 0.08183409 0.98074056 0.05961686 0.06656078 0.91394527],19.219599999999982
1,37,[0.07459705 0.08183409 0.98074056 0.05961686 0.06656078 0.91394527],19.219599999999982
1,38,[0.07459705 0.08183409 0.98074056 0.05961686 0.06656078 0.91394527],19.219599999999982
1,39,[0.07459705 0.08183409 0.98074056 0.05961686 0.06656078 0.91394527],19.219599999999982
1,40,[0.07459705 0.08183409 0.98074056 0.05961686 0.06656078 0.91394527],19.219599999999982
