Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.26749079  0.56868245  0.70669455  0.71557558  0.53804272 -0.14737044],44.10900000000002
1,1,[-0.07028767 -0.49284499  0.55523423  0.64613876  0.93392231  0.00333172],24.729099999999985
1,2,[0.30885531 0.62277604 0.6406281  0.79814644 0.55165844 0.0137908 ],21.46559999999999
1,3,[0.26838982 0.70300875 0.63712728 0.88451751 0.5279785  0.00266294],20.65890000000002
1,4,[ 0.40042601  0.93350151  0.38294014  0.74851371  0.99739943 -0.02258708],20.55010000000001
1,5,[ 0.33080904  0.86747543  0.3897267   0.84717615  1.         -0.00575158],20.358299999999993
1,6,[ 0.28300345  1.          0.30549258  0.76379447  1.         -0.01948864],20.250399999999985
1,7,[ 0.28300345  1.          0.30549258  0.76379447  1.         -0.01948864],20.250399999999985
1,8,[ 0.2054089   0.9999904   0.21610511  0.69142789  0.89113821 -0.01466575],20.068700000000003
1,9,[ 0.11727542  0.93351303  0.14661027  0.7881686   0.79674322 -0.00403468],19.8379
1,10,[ 0.11727542  0.93351303  0.14661027  0.7881686   0.79674322 -0.00403468],19.8379
1,11,[ 0.11727542  0.93351303  0.14661027  0.7881686   0.79674322 -0.00403468],19.8379
1,12,[ 0.11727542  0.93351303  0.14661027  0.7881686   0.79674322 -0.00403468],19.8379
1,13,[ 0.11727542  0.93351303  0.14661027  0.7881686   0.79674322 -0.00403468],19.8379
1,14,[ 0.11727542  0.93351303  0.14661027  0.7881686   0.79674322 -0.00403468],19.8379
1,15,[ 0.11727542  0.93351303  0.14661027  0.7881686   0.79674322 -0.00403468],19.8379
1,16,[0.00321522 1.         0.06132549 0.81293306 0.7847203  0.00609922],19.686799999999995
1,17,[ 0.06453393  0.980881    0.12856832  0.81973558  0.68233138 -0.00937188],19.6598
1,18,[ 0.06453393  0.980881    0.12856832  0.81973558  0.68233138 -0.00937188],19.6598
1,19,[-0.01147174  1.         -0.07526276  0.8185133   0.77354685 -0.00227591],19.13909999999998
1,20,[-0.01147174  1.         -0.07526276  0.8185133   0.77354685 -0.00227591],19.13909999999998
1,21,[-0.01147174  1.         -0.07526276  0.8185133   0.77354685 -0.00227591],19.13909999999998
1,22,[-0.0558942   1.         -0.08538458  0.71907145  0.67821528  0.01239055],18.920799999999982
1,23,[-0.0558942   1.         -0.08538458  0.71907145  0.67821528  0.01239055],18.920799999999982
1,24,[-0.0558942   1.         -0.08538458  0.71907145  0.67821528  0.01239055],18.920799999999982
1,25,[-0.0558942   1.         -0.08538458  0.71907145  0.67821528  0.01239055],18.920799999999982
1,26,[-0.0558942   1.         -0.08538458  0.71907145  0.67821528  0.01239055],18.920799999999982
1,27,[-0.0558942   1.         -0.08538458  0.71907145  0.67821528  0.01239055],18.920799999999982
1,28,[-0.06009419  1.         -0.16745458  0.68932309  0.72495675  0.00430909],18.795099999999994
1,29,[-0.06009419  1.         -0.16745458  0.68932309  0.72495675  0.00430909],18.795099999999994
1,30,[-0.06009419  1.         -0.16745458  0.68932309  0.72495675  0.00430909],18.795099999999994
1,31,[-0.06009419  1.         -0.16745458  0.68932309  0.72495675  0.00430909],18.795099999999994
1,32,[-0.06009419  1.         -0.16745458  0.68932309  0.72495675  0.00430909],18.795099999999994
1,33,[-0.06009419  1.         -0.16745458  0.68932309  0.72495675  0.00430909],18.795099999999994
1,34,[-0.06009419  1.         -0.16745458  0.68932309  0.72495675  0.00430909],18.795099999999994
1,35,[-0.06009419  1.         -0.16745458  0.68932309  0.72495675  0.00430909],18.795099999999994
1,36,[-0.06009419  1.         -0.16745458  0.68932309  0.72495675  0.00430909],18.795099999999994
1,37,[-0.04004041  0.93387418 -0.10290005  0.50028131  0.56503785  0.00417305],18.778699999999997
1,38,[-0.04004041  0.93387418 -0.10290005  0.50028131  0.56503785  0.00417305],18.778699999999997
1,39,[-0.04004041  0.93387418 -0.10290005  0.50028131  0.56503785  0.00417305],18.778699999999997
1,40,[-0.04004041  0.93387418 -0.10290005  0.50028131  0.56503785  0.00417305],18.778699999999997
1,41,[-0.04004041  0.93387418 -0.10290005  0.50028131  0.56503785  0.00417305],18.778699999999997
1,42,[-0.04004041  0.93387418 -0.10290005  0.50028131  0.56503785  0.00417305],18.778699999999997
1,43,[ 0.0092035   1.         -0.34067652  0.62003126  0.68378797 -0.00379298],18.639900000000004
1,44,[ 0.0092035   1.         -0.34067652  0.62003126  0.68378797 -0.00379298],18.639900000000004
1,45,[ 0.0092035   1.         -0.34067652  0.62003126  0.68378797 -0.00379298],18.639900000000004
1,46,[ 0.0092035   1.         -0.34067652  0.62003126  0.68378797 -0.00379298],18.639900000000004
1,47,[ 0.0092035   1.         -0.34067652  0.62003126  0.68378797 -0.00379298],18.639900000000004
1,48,[ 0.0092035   1.         -0.34067652  0.62003126  0.68378797 -0.00379298],18.639900000000004
1,49,[ 0.0092035   1.         -0.34067652  0.62003126  0.68378797 -0.00379298],18.639900000000004
1,50,[ 0.0092035   1.         -0.34067652  0.62003126  0.68378797 -0.00379298],18.639900000000004
1,51,[ 0.0092035   1.         -0.34067652  0.62003126  0.68378797 -0.00379298],18.639900000000004
1,52,[ 0.0092035   1.         -0.34067652  0.62003126  0.68378797 -0.00379298],18.639900000000004
1,53,[ 0.0092035   1.         -0.34067652  0.62003126  0.68378797 -0.00379298],18.639900000000004
1,54,[ 0.0092035   1.         -0.34067652  0.62003126  0.68378797 -0.00379298],18.639900000000004
1,55,[ 0.0092035   1.         -0.34067652  0.62003126  0.68378797 -0.00379298],18.639900000000004
1,56,"[-6.09373178e-02  9.31275148e-01 -3.96293701e-01  6.04272744e-01
  7.39132685e-01  7.35209613e-04]",18.503999999999984
1,57,"[-6.09373178e-02  9.31275148e-01 -3.96293701e-01  6.04272744e-01
  7.39132685e-01  7.35209613e-04]",18.503999999999984
1,58,"[-6.09373178e-02  9.31275148e-01 -3.96293701e-01  6.04272744e-01
  7.39132685e-01  7.35209613e-04]",18.503999999999984
1,59,"[-6.09373178e-02  9.31275148e-01 -3.96293701e-01  6.04272744e-01
  7.39132685e-01  7.35209613e-04]",18.503999999999984
1,60,"[-6.09373178e-02  9.31275148e-01 -3.96293701e-01  6.04272744e-01
  7.39132685e-01  7.35209613e-04]",18.503999999999984
1,61,"[-6.09373178e-02  9.31275148e-01 -3.96293701e-01  6.04272744e-01
  7.39132685e-01  7.35209613e-04]",18.503999999999984
1,62,"[-6.09373178e-02  9.31275148e-01 -3.96293701e-01  6.04272744e-01
  7.39132685e-01  7.35209613e-04]",18.503999999999984
1,63,"[-6.09373178e-02  9.31275148e-01 -3.96293701e-01  6.04272744e-01
  7.39132685e-01  7.35209613e-04]",18.503999999999984
1,64,"[-6.09373178e-02  9.31275148e-01 -3.96293701e-01  6.04272744e-01
  7.39132685e-01  7.35209613e-04]",18.503999999999984
1,65,"[-6.09373178e-02  9.31275148e-01 -3.96293701e-01  6.04272744e-01
  7.39132685e-01  7.35209613e-04]",18.503999999999984
1,66,"[-6.09373178e-02  9.31275148e-01 -3.96293701e-01  6.04272744e-01
  7.39132685e-01  7.35209613e-04]",18.503999999999984
1,67,"[-6.09373178e-02  9.31275148e-01 -3.96293701e-01  6.04272744e-01
  7.39132685e-01  7.35209613e-04]",18.503999999999984
1,68,"[-6.09373178e-02  9.31275148e-01 -3.96293701e-01  6.04272744e-01
  7.39132685e-01  7.35209613e-04]",18.503999999999984
1,69,"[-6.09373178e-02  9.31275148e-01 -3.96293701e-01  6.04272744e-01
  7.39132685e-01  7.35209613e-04]",18.503999999999984
