Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.63452871  0.60044066 -0.21500759 -0.17789662  0.56479234  0.02608859],1.8425823402623538
1,1,[-0.55237115  0.84054495  0.73009889  0.04237937  0.66241649 -0.04939521],0.8461535431649418
1,2,[-0.46046571  0.90411059  0.77040958  0.09693099  0.75850305 -0.03871817],0.7205644899566435
1,3,[-0.44062283  0.97936416  0.84066711  0.00912016  0.82977903 -0.00714387],0.6447531481945851
1,4,[-0.3738352   0.91524704  0.81424333  0.08823514  0.81909351 -0.00662385],0.6142026245456564
1,5,[-0.3738352   0.91524704  0.81424333  0.08823514  0.81909351 -0.00662385],0.6142026245456564
1,6,[-0.2423954   0.98653814  0.98390429  0.12921398  0.90709911 -0.00413139],0.5570817957411368
1,7,[-0.2423954   0.98653814  0.98390429  0.12921398  0.90709911 -0.00413139],0.5570817957411368
1,8,[-0.20762126  0.92097179  0.84082658  0.1834917   0.94458138 -0.0123807 ],0.5539095057296782
1,9,[-0.14386042  0.91054234  1.          0.16874073  0.82384881  0.01243325],0.5518527872836679
1,10,[-0.14851397  0.98920903  0.8831946   0.14590164  0.93667012 -0.0040675 ],0.539866114925098
1,11,[-0.14851397  0.98920903  0.8831946   0.14590164  0.93667012 -0.0040675 ],0.539866114925098
1,12,[-0.09016494  1.          0.84602763  0.22774958  0.84340705  0.006305  ],0.5379330482793879
1,13,[-0.09016494  1.          0.84602763  0.22774958  0.84340705  0.006305  ],0.5379330482793879
1,14,[-0.09016494  1.          0.84602763  0.22774958  0.84340705  0.006305  ],0.5379330482793879
1,15,[-0.02090214  1.          0.8390774   0.30828306  1.         -0.00640717],0.5364431473808325
1,16,"[-5.86691846e-02  9.36851731e-01  7.95197485e-01  2.14805953e-01
  8.91797806e-01  6.52445049e-04]",0.5341658281156219
1,17,[-0.09860532  0.98382549  0.85006645  0.32986413  0.92174829  0.00254125],0.5335046558406663
1,18,[-0.09860532  0.98382549  0.85006645  0.32986413  0.92174829  0.00254125],0.5335046558406663
1,19,"[-7.39863851e-02  9.37856655e-01  8.12164427e-01  2.48497803e-01
  9.08844911e-01 -3.78635587e-04]",0.5331055805507786
1,20,"[-7.39863851e-02  9.37856655e-01  8.12164427e-01  2.48497803e-01
  9.08844911e-01 -3.78635587e-04]",0.5331055805507786
1,21,"[-7.39863851e-02  9.37856655e-01  8.12164427e-01  2.48497803e-01
  9.08844911e-01 -3.78635587e-04]",0.5331055805507786
1,22,"[-7.39863851e-02  9.37856655e-01  8.12164427e-01  2.48497803e-01
  9.08844911e-01 -3.78635587e-04]",0.5331055805507786
1,23,"[-7.39863851e-02  9.37856655e-01  8.12164427e-01  2.48497803e-01
  9.08844911e-01 -3.78635587e-04]",0.5331055805507786
1,24,"[-7.39863851e-02  9.37856655e-01  8.12164427e-01  2.48497803e-01
  9.08844911e-01 -3.78635587e-04]",0.5331055805507786
1,25,"[-7.39863851e-02  9.37856655e-01  8.12164427e-01  2.48497803e-01
  9.08844911e-01 -3.78635587e-04]",0.5331055805507786
1,26,"[-7.39863851e-02  9.37856655e-01  8.12164427e-01  2.48497803e-01
  9.08844911e-01 -3.78635587e-04]",0.5331055805507786
1,27,"[-7.39863851e-02  9.37856655e-01  8.12164427e-01  2.48497803e-01
  9.08844911e-01 -3.78635587e-04]",0.5331055805507786
1,28,"[-7.39863851e-02  9.37856655e-01  8.12164427e-01  2.48497803e-01
  9.08844911e-01 -3.78635587e-04]",0.5331055805507786
1,29,"[-7.39863851e-02  9.37856655e-01  8.12164427e-01  2.48497803e-01
  9.08844911e-01 -3.78635587e-04]",0.5331055805507786
1,30,"[-7.39863851e-02  9.37856655e-01  8.12164427e-01  2.48497803e-01
  9.08844911e-01 -3.78635587e-04]",0.5331055805507786
1,31,"[-7.39863851e-02  9.37856655e-01  8.12164427e-01  2.48497803e-01
  9.08844911e-01 -3.78635587e-04]",0.5331055805507786
1,32,"[-7.39863851e-02  9.37856655e-01  8.12164427e-01  2.48497803e-01
  9.08844911e-01 -3.78635587e-04]",0.5331055805507786
