Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.20909162 -0.83578727  0.47339125  0.74961451 -0.53991425  0.03825299],1395.6331706283831
1,1,[-0.2170326  -0.78499793  0.37385795  0.71716682 -0.54809989 -0.00269481],29.23020635230319
1,2,[-0.2828573   0.8940662  -0.97269131  1.          0.30837167  0.00213652],8.99514061634351
1,3,[-0.2828573   0.8940662  -0.97269131  1.          0.30837167  0.00213652],8.99514061634351
1,4,[-0.2828573   0.8940662  -0.97269131  1.          0.30837167  0.00213652],8.99514061634351
1,5,[-0.2828573   0.8940662  -0.97269131  1.          0.30837167  0.00213652],8.99514061634351
1,6,[-0.2828573   0.8940662  -0.97269131  1.          0.30837167  0.00213652],8.99514061634351
1,7,[-0.2828573   0.8940662  -0.97269131  1.          0.30837167  0.00213652],8.99514061634351
1,8,[-0.2828573   0.8940662  -0.97269131  1.          0.30837167  0.00213652],8.99514061634351
1,9,[-0.19392827  0.98939446 -1.          1.          0.37259094  0.00361615],8.835282854701694
1,10,[-0.19392827  0.98939446 -1.          1.          0.37259094  0.00361615],8.835282854701694
1,11,[-0.30742467  1.         -0.85500675  0.93129513  0.32606285  0.00352431],7.504276122813101
1,12,[-0.30742467  1.         -0.85500675  0.93129513  0.32606285  0.00352431],7.504276122813101
1,13,[-0.30742467  1.         -0.85500675  0.93129513  0.32606285  0.00352431],7.504276122813101
1,14,[-0.30742467  1.         -0.85500675  0.93129513  0.32606285  0.00352431],7.504276122813101
1,15,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,16,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,17,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,18,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,19,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,20,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,21,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,22,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,23,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,24,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,25,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,26,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,27,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,28,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,29,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,30,[-0.39029385  1.         -0.81957925  1.          0.37642748  0.00310593],6.924827429476514
1,31,[-0.38910952  0.99364051 -0.80692691  0.92146378  0.34313584  0.00292404],6.912337520055025
1,32,[-0.38910952  0.99364051 -0.80692691  0.92146378  0.34313584  0.00292404],6.912337520055025
1,33,[-0.38910952  0.99364051 -0.80692691  0.92146378  0.34313584  0.00292404],6.912337520055025
1,34,[-0.38910952  0.99364051 -0.80692691  0.92146378  0.34313584  0.00292404],6.912337520055025
1,35,[-0.38910952  0.99364051 -0.80692691  0.92146378  0.34313584  0.00292404],6.912337520055025
1,36,[-0.38910952  0.99364051 -0.80692691  0.92146378  0.34313584  0.00292404],6.912337520055025
1,37,[-0.38910952  0.99364051 -0.80692691  0.92146378  0.34313584  0.00292404],6.912337520055025
1,38,[-0.38910952  0.99364051 -0.80692691  0.92146378  0.34313584  0.00292404],6.912337520055025
1,39,[-0.48276171  0.94802673 -0.7585515   1.          0.45197389  0.00276722],6.726048788729427
1,40,[-0.44622589  1.         -0.7734892   1.          0.42455153  0.00335536],6.691320542100411
1,41,[-0.44622589  1.         -0.7734892   1.          0.42455153  0.00335536],6.691320542100411
1,42,[-0.44622589  1.         -0.7734892   1.          0.42455153  0.00335536],6.691320542100411
1,43,[-0.44622589  1.         -0.7734892   1.          0.42455153  0.00335536],6.691320542100411
1,44,[-0.44622589  1.         -0.7734892   1.          0.42455153  0.00335536],6.691320542100411
1,45,[-0.44622589  1.         -0.7734892   1.          0.42455153  0.00335536],6.691320542100411
1,46,[-0.44622589  1.         -0.7734892   1.          0.42455153  0.00335536],6.691320542100411
1,47,[-0.44622589  1.         -0.7734892   1.          0.42455153  0.00335536],6.691320542100411
1,48,[-0.44622589  1.         -0.7734892   1.          0.42455153  0.00335536],6.691320542100411
1,49,[-0.44622589  1.         -0.7734892   1.          0.42455153  0.00335536],6.691320542100411
1,50,[-0.44622589  1.         -0.7734892   1.          0.42455153  0.00335536],6.691320542100411
1,51,[-0.44622589  1.         -0.7734892   1.          0.42455153  0.00335536],6.691320542100411
1,52,[-0.44622589  1.         -0.7734892   1.          0.42455153  0.00335536],6.691320542100411
1,53,[-0.44622589  1.         -0.7734892   1.          0.42455153  0.00335536],6.691320542100411
1,54,[-0.51635062  0.9421676  -0.67056089  0.93042889  0.45425708  0.00356874],6.514939216523714
1,55,[-0.51635062  0.9421676  -0.67056089  0.93042889  0.45425708  0.00356874],6.514939216523714
1,56,[-0.51635062  0.9421676  -0.67056089  0.93042889  0.45425708  0.00356874],6.514939216523714
1,57,[-0.51635062  0.9421676  -0.67056089  0.93042889  0.45425708  0.00356874],6.514939216523714
1,58,[-0.51635062  0.9421676  -0.67056089  0.93042889  0.45425708  0.00356874],6.514939216523714
1,59,[-0.51635062  0.9421676  -0.67056089  0.93042889  0.45425708  0.00356874],6.514939216523714
1,60,[-0.51635062  0.9421676  -0.67056089  0.93042889  0.45425708  0.00356874],6.514939216523714
1,61,[-0.51635062  0.9421676  -0.67056089  0.93042889  0.45425708  0.00356874],6.514939216523714
1,62,[-0.54664165  0.97575568 -0.68006223  0.9124367   0.54973039  0.00272625],6.306603577147455
1,63,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,64,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,65,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,66,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,67,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,68,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,69,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,70,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,71,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,72,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,73,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,74,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,75,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,76,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,77,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,78,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,79,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,80,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,81,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,82,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,83,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,84,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,85,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,86,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,87,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,88,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,89,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,90,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,91,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,92,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,93,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,94,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,95,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,96,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,97,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,98,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
1,99,[-0.51214403  1.         -0.6215621   0.91162255  0.4789204   0.00305227],5.75753544244905
2,0,[-0.58908454 -0.58096781  0.04189838 -0.70302175  0.16026239  0.0393382 ],1539.3479015756159
2,1,[-0.56579901 -0.58404011 -0.00399428 -0.76781131  0.20513828  0.01085948],103.80470577734833
2,2,[-0.48712605 -0.57944359 -0.05989846 -0.7085641   0.17947781  0.00172393],20.106966891730316
2,3,[-0.48712605 -0.57944359 -0.05989846 -0.7085641   0.17947781  0.00172393],20.106966891730316
2,4,[-0.48712605 -0.57944359 -0.05989846 -0.7085641   0.17947781  0.00172393],20.106966891730316
2,5,[-0.48712605 -0.57944359 -0.05989846 -0.7085641   0.17947781  0.00172393],20.106966891730316
2,6,[-0.48712605 -0.57944359 -0.05989846 -0.7085641   0.17947781  0.00172393],20.106966891730316
2,7,[-0.48712605 -0.57944359 -0.05989846 -0.7085641   0.17947781  0.00172393],20.106966891730316
2,8,[-0.48712605 -0.57944359 -0.05989846 -0.7085641   0.17947781  0.00172393],20.106966891730316
2,9,[-0.61353844 -0.50113338  0.12750677 -0.82024151  0.18712746  0.00241218],19.742225237280152
2,10,[-0.61353844 -0.50113338  0.12750677 -0.82024151  0.18712746  0.00241218],19.742225237280152
2,11,"[-6.49738997e-01 -5.32842818e-01  1.25752270e-01 -8.27195040e-01
  2.44019041e-01  6.01155527e-04]",19.707700913020272
2,12,"[-6.49738997e-01 -5.32842818e-01  1.25752270e-01 -8.27195040e-01
  2.44019041e-01  6.01155527e-04]",19.707700913020272
2,13,"[-6.49738997e-01 -5.32842818e-01  1.25752270e-01 -8.27195040e-01
  2.44019041e-01  6.01155527e-04]",19.707700913020272
2,14,"[-6.49738997e-01 -5.32842818e-01  1.25752270e-01 -8.27195040e-01
  2.44019041e-01  6.01155527e-04]",19.707700913020272
2,15,"[-6.49738997e-01 -5.32842818e-01  1.25752270e-01 -8.27195040e-01
  2.44019041e-01  6.01155527e-04]",19.707700913020272
2,16,"[-6.49738997e-01 -5.32842818e-01  1.25752270e-01 -8.27195040e-01
  2.44019041e-01  6.01155527e-04]",19.707700913020272
2,17,[-0.74730116 -0.44444246  0.21289197 -0.67939115  0.28224935  0.0010327 ],15.576287765061451
2,18,[-0.7321511  -0.4106231   0.1765153  -0.72225551  0.32475254  0.00263279],14.846035472311073
2,19,[-0.7321511  -0.4106231   0.1765153  -0.72225551  0.32475254  0.00263279],14.846035472311073
2,20,[-0.7321511  -0.4106231   0.1765153  -0.72225551  0.32475254  0.00263279],14.846035472311073
2,21,[-0.7321511  -0.4106231   0.1765153  -0.72225551  0.32475254  0.00263279],14.846035472311073
2,22,[-0.7321511  -0.4106231   0.1765153  -0.72225551  0.32475254  0.00263279],14.846035472311073
2,23,[-0.7321511  -0.4106231   0.1765153  -0.72225551  0.32475254  0.00263279],14.846035472311073
2,24,[-0.7321511  -0.4106231   0.1765153  -0.72225551  0.32475254  0.00263279],14.846035472311073
2,25,[-0.7321511  -0.4106231   0.1765153  -0.72225551  0.32475254  0.00263279],14.846035472311073
2,26,[-0.7321511  -0.4106231   0.1765153  -0.72225551  0.32475254  0.00263279],14.846035472311073
2,27,[-0.7321511  -0.4106231   0.1765153  -0.72225551  0.32475254  0.00263279],14.846035472311073
2,28,[-0.7321511  -0.4106231   0.1765153  -0.72225551  0.32475254  0.00263279],14.846035472311073
2,29,[-0.7321511  -0.4106231   0.1765153  -0.72225551  0.32475254  0.00263279],14.846035472311073
