Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.62594951  0.87531868  0.95179272  0.89496163 -0.58430353 -0.13007562],239.3567021439714
1,1,[ 0.10651995  0.32049353 -0.66718872 -0.30192315  0.95202576  0.05425137],59.728568455807626
1,2,[ 0.17099472  0.25251483 -0.6971525  -0.30029614  0.70666936  0.0286846 ],35.8251412485743
1,3,[0.54650853 0.70997391 0.82612603 0.6943525  0.99529674 0.04339251],27.076243964612665
1,4,[0.59692231 0.62973916 0.7874245  0.59454318 0.95871579 0.01343374],4.8039957802918165
1,5,[0.53654124 0.78157141 1.         0.70953613 1.         0.00284329],1.4420401573210564
1,6,"[5.36833964e-01 9.53939104e-01 1.00000000e+00 7.87507488e-01
 9.18767508e-01 3.90492170e-05]",1.357589154573119
1,7,"[5.36833964e-01 9.53939104e-01 1.00000000e+00 7.87507488e-01
 9.18767508e-01 3.90492170e-05]",1.357589154573119
1,8,[0.49032756 0.80704662 1.         0.67585268 0.9246495  0.00126489],1.2828244313205055
1,9,[0.49032756 0.80704662 1.         0.67585268 0.9246495  0.00126489],1.2828244313205055
1,10,[0.49032756 0.80704662 1.         0.67585268 0.9246495  0.00126489],1.2828244313205055
1,11,[0.49032756 0.80704662 1.         0.67585268 0.9246495  0.00126489],1.2828244313205055
1,12,[0.49032756 0.80704662 1.         0.67585268 0.9246495  0.00126489],1.2828244313205055
1,13,[0.49032756 0.80704662 1.         0.67585268 0.9246495  0.00126489],1.2828244313205055
1,14,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,15,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,16,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,17,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,18,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,19,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,20,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,21,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,22,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,23,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,24,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,25,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,26,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,27,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,28,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,29,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,30,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,31,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,32,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,33,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,34,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,35,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,36,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,37,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,38,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,39,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,40,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,41,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,42,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,43,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,44,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,45,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,46,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,47,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,48,[0.49432998 0.98226061 1.         0.93731945 0.98789771 0.00170737],1.226776097262858
1,49,[0.42791241 1.         1.         0.85205121 1.         0.00230655],1.2151343012391513
1,50,[0.42791241 1.         1.         0.85205121 1.         0.00230655],1.2151343012391513
1,51,[0.42791241 1.         1.         0.85205121 1.         0.00230655],1.2151343012391513
1,52,[0.42791241 1.         1.         0.85205121 1.         0.00230655],1.2151343012391513
1,53,"[3.34448440e-01 1.00000000e+00 1.00000000e+00 8.04182277e-01
 1.00000000e+00 9.16260513e-04]",1.2107573058513967
1,54,"[3.34448440e-01 1.00000000e+00 1.00000000e+00 8.04182277e-01
 1.00000000e+00 9.16260513e-04]",1.2107573058513967
1,55,"[3.34448440e-01 1.00000000e+00 1.00000000e+00 8.04182277e-01
 1.00000000e+00 9.16260513e-04]",1.2107573058513967
1,56,"[3.34448440e-01 1.00000000e+00 1.00000000e+00 8.04182277e-01
 1.00000000e+00 9.16260513e-04]",1.2107573058513967
1,57,"[3.34448440e-01 1.00000000e+00 1.00000000e+00 8.04182277e-01
 1.00000000e+00 9.16260513e-04]",1.2107573058513967
1,58,"[3.34448440e-01 1.00000000e+00 1.00000000e+00 8.04182277e-01
 1.00000000e+00 9.16260513e-04]",1.2107573058513967
1,59,"[3.34448440e-01 1.00000000e+00 1.00000000e+00 8.04182277e-01
 1.00000000e+00 9.16260513e-04]",1.2107573058513967
1,60,"[3.34448440e-01 1.00000000e+00 1.00000000e+00 8.04182277e-01
 1.00000000e+00 9.16260513e-04]",1.2107573058513967
1,61,"[3.34448440e-01 1.00000000e+00 1.00000000e+00 8.04182277e-01
 1.00000000e+00 9.16260513e-04]",1.2107573058513967
1,62,"[3.34448440e-01 1.00000000e+00 1.00000000e+00 8.04182277e-01
 1.00000000e+00 9.16260513e-04]",1.2107573058513967
1,63,"[3.34448440e-01 1.00000000e+00 1.00000000e+00 8.04182277e-01
 1.00000000e+00 9.16260513e-04]",1.2107573058513967
1,64,[0.36129439 1.         0.94698778 0.85871134 1.         0.00219129],1.1983735331919882
1,65,[0.36129439 1.         0.94698778 0.85871134 1.         0.00219129],1.1983735331919882
1,66,[0.36129439 1.         0.94698778 0.85871134 1.         0.00219129],1.1983735331919882
1,67,[0.36129439 1.         0.94698778 0.85871134 1.         0.00219129],1.1983735331919882
1,68,[0.36129439 1.         0.94698778 0.85871134 1.         0.00219129],1.1983735331919882
1,69,[0.36129439 1.         0.94698778 0.85871134 1.         0.00219129],1.1983735331919882
1,70,[0.36129439 1.         0.94698778 0.85871134 1.         0.00219129],1.1983735331919882
1,71,[0.36129439 1.         0.94698778 0.85871134 1.         0.00219129],1.1983735331919882
1,72,[0.36129439 1.         0.94698778 0.85871134 1.         0.00219129],1.1983735331919882
1,73,[0.36129439 1.         0.94698778 0.85871134 1.         0.00219129],1.1983735331919882
1,74,[0.36129439 1.         0.94698778 0.85871134 1.         0.00219129],1.1983735331919882
1,75,[0.36129439 1.         0.94698778 0.85871134 1.         0.00219129],1.1983735331919882
1,76,[0.36129439 1.         0.94698778 0.85871134 1.         0.00219129],1.1983735331919882
1,77,[0.36129439 1.         0.94698778 0.85871134 1.         0.00219129],1.1983735331919882
