Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.16637456 -0.12646755  0.40817416  0.89112941  0.20454276 -0.7650064 ],6.5856562913258605
1,1,[ 0.31705484  0.40182314 -0.00787711  0.50539078  0.21551059 -0.52288494],4.428904609523791
1,2,[ 0.29457077  0.45966647  0.06228602  0.58504961  0.22521247 -0.5622385 ],2.604225708086033
1,3,[ 0.31360058  0.49361634  0.12571989  0.61978835  0.1898853  -0.54300553],2.4808395372383623
1,4,[ 0.44064732  0.53641474  0.20413105  0.55402849  0.36782624 -0.45991916],2.0994042128781985
1,5,[ 0.27626817  0.42278245  0.18533224  0.42761408  0.28700594 -0.35974193],1.7675187031630657
1,6,[ 0.2855193   0.39339078  0.27754923  0.39570791  0.30797042 -0.26900001],1.4116506778862585
1,7,[ 0.31767563  0.43959371  0.3682169   0.43899568  0.39942717 -0.31333303],1.3322089614033665
1,8,[ 0.31767563  0.43959371  0.3682169   0.43899568  0.39942717 -0.31333303],1.3322089614033665
1,9,[ 0.22286581  0.40811812  0.3631911   0.43770931  0.39391052 -0.26440556],1.290151185650302
1,10,[ 0.18168594  0.44329347  0.43344227  0.48515627  0.42670405 -0.21969693],1.2009062305588247
1,11,[ 0.15259902  0.44506522  0.49367779  0.40918474  0.48146578 -0.20318532],1.1884528879912226
1,12,[ 0.11835716  0.37438167  0.433338    0.362556    0.42079357 -0.28355028],1.1863114632586729
1,13,[ 0.03449386  0.44631285  0.4061731   0.45879945  0.43146063 -0.27089733],1.1673408928294908
1,14,[ 0.02470995  0.44736902  0.48054258  0.44629944  0.47821415 -0.36141723],1.1420401384065693
1,15,[ 0.02470995  0.44736902  0.48054258  0.44629944  0.47821415 -0.36141723],1.1420401384065693
1,16,[ 0.02470995  0.44736902  0.48054258  0.44629944  0.47821415 -0.36141723],1.1420401384065693
1,17,[ 0.02470995  0.44736902  0.48054258  0.44629944  0.47821415 -0.36141723],1.1420401384065693
1,18,[ 0.02470995  0.44736902  0.48054258  0.44629944  0.47821415 -0.36141723],1.1420401384065693
1,19,[ 0.0573658   0.47912216  0.51314814  0.49792639  0.50186223 -0.36480062],1.1402751861238207
1,20,[ 0.0573658   0.47912216  0.51314814  0.49792639  0.50186223 -0.36480062],1.1402751861238207
1,21,[ 0.0573658   0.47912216  0.51314814  0.49792639  0.50186223 -0.36480062],1.1402751861238207
1,22,[ 0.0573658   0.47912216  0.51314814  0.49792639  0.50186223 -0.36480062],1.1402751861238207
1,23,[ 0.0573658   0.47912216  0.51314814  0.49792639  0.50186223 -0.36480062],1.1402751861238207
1,24,[-0.0049504   0.56267637  0.6564502   0.53613361  0.61462251 -0.36083059],1.1321446923795013
1,25,[-0.0049504   0.56267637  0.6564502   0.53613361  0.61462251 -0.36083059],1.1321446923795013
1,26,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,27,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,28,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,29,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,30,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,31,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,32,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,33,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,34,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,35,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,36,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,37,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,38,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,39,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,40,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,41,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,42,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,43,[ 0.00825308  0.5932567   0.62270203  0.5834611   0.60891228 -0.35126626],1.1243818363315743
1,44,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,45,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,46,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,47,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,48,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,49,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,50,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,51,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,52,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,53,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,54,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,55,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,56,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,57,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,58,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,59,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,60,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,61,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,62,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,63,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,64,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,65,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,66,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,67,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,68,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,69,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,70,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,71,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,72,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,73,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,74,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,75,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,76,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,77,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,78,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,79,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,80,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,81,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,82,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,83,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,84,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,85,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,86,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,87,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,88,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,89,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,90,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,91,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,92,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,93,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,94,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,95,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,96,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,97,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,98,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
1,99,[-0.00450333  0.59314121  0.63491751  0.59832832  0.61137201 -0.29341967],1.1220139698750404
2,0,[-0.92620457 -0.12747672  0.75783291  0.05286983  0.80940829  0.28387727],4.472281309475093
2,1,[-0.07707419  0.74252524  0.61092323  0.58834554  0.43879436  0.88812103],3.51820262576005
2,2,[0.01924863 0.65712813 0.59596637 0.62802427 0.52029111 0.79533433],1.5004850661695452
2,3,[0.00744145 0.53894969 0.54802852 0.46233333 0.53056572 0.82024397],1.1674566601124443
2,4,[0.00766762 0.45817649 0.50880814 0.45870187 0.48049628 0.83152126],1.1270021615672603
2,5,[0.00766762 0.45817649 0.50880814 0.45870187 0.48049628 0.83152126],1.1270021615672603
2,6,[0.00766762 0.45817649 0.50880814 0.45870187 0.48049628 0.83152126],1.1270021615672603
2,7,[0.00766762 0.45817649 0.50880814 0.45870187 0.48049628 0.83152126],1.1270021615672603
2,8,[0.00766762 0.45817649 0.50880814 0.45870187 0.48049628 0.83152126],1.1270021615672603
2,9,[-0.00837643  0.62191727  0.61516404  0.61417205  0.61483681  0.8887565 ],1.12690545188298
2,10,[-0.00837643  0.62191727  0.61516404  0.61417205  0.61483681  0.8887565 ],1.12690545188298
2,11,[-0.00837643  0.62191727  0.61516404  0.61417205  0.61483681  0.8887565 ],1.12690545188298
