Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.43855293  0.88964526 -0.3489861   0.54463108 -0.25385711  0.09330335],58.24600000000003
1,1,[-0.36345746  0.95451048 -0.32243328  0.61764055 -0.32885219  0.03849381],40.97599999999998
1,2,[ 0.37123084  1.         -0.0156153   0.26966562 -0.2178956   0.01799929],27.9364
1,3,[ 0.28904469  1.          0.03563772  0.26244733 -0.13380357 -0.00648815],20.0538
1,4,[ 0.28904469  1.          0.03563772  0.26244733 -0.13380357 -0.00648815],20.0538
1,5,[ 0.28904469  1.          0.03563772  0.26244733 -0.13380357 -0.00648815],20.0538
1,6,[ 0.28904469  1.          0.03563772  0.26244733 -0.13380357 -0.00648815],20.0538
1,7,[ 0.28904469  1.          0.03563772  0.26244733 -0.13380357 -0.00648815],20.0538
1,8,[ 0.28904469  1.          0.03563772  0.26244733 -0.13380357 -0.00648815],20.0538
1,9,[ 0.23426935  1.          0.14478507  0.257624   -0.09091037 -0.00919631],19.342200000000002
1,10,[ 0.11781837  0.91570345  0.25236041  0.1580814  -0.08164355 -0.00419168],18.0245
1,11,[ 0.06497476  0.98894419  0.33442646  0.09526376 -0.12674774 -0.00134343],17.7225
1,12,[ 0.06497476  0.98894419  0.33442646  0.09526376 -0.12674774 -0.00134343],17.7225
1,13,[ 0.06497476  0.98894419  0.33442646  0.09526376 -0.12674774 -0.00134343],17.7225
1,14,[ 0.06497476  0.98894419  0.33442646  0.09526376 -0.12674774 -0.00134343],17.7225
1,15,[ 0.08762066  1.          0.42897545  0.0163302  -0.07592175  0.00415418],17.44459999999999
1,16,[ 0.08762066  1.          0.42897545  0.0163302  -0.07592175  0.00415418],17.44459999999999
1,17,[ 0.08762066  1.          0.42897545  0.0163302  -0.07592175  0.00415418],17.44459999999999
1,18,[ 0.08762066  1.          0.42897545  0.0163302  -0.07592175  0.00415418],17.44459999999999
1,19,[ 0.08762066  1.          0.42897545  0.0163302  -0.07592175  0.00415418],17.44459999999999
1,20,[ 0.08762066  1.          0.42897545  0.0163302  -0.07592175  0.00415418],17.44459999999999
1,21,[ 0.08762066  1.          0.42897545  0.0163302  -0.07592175  0.00415418],17.44459999999999
1,22,[ 0.08762066  1.          0.42897545  0.0163302  -0.07592175  0.00415418],17.44459999999999
1,23,[ 0.08762066  1.          0.42897545  0.0163302  -0.07592175  0.00415418],17.44459999999999
1,24,[ 0.08762066  1.          0.42897545  0.0163302  -0.07592175  0.00415418],17.44459999999999
1,25,[ 0.12441657  1.          0.52159249 -0.02008177  0.03559686  0.00212434],17.202199999999994
1,26,[ 0.12441657  1.          0.52159249 -0.02008177  0.03559686  0.00212434],17.202199999999994
1,27,[ 0.12441657  1.          0.52159249 -0.02008177  0.03559686  0.00212434],17.202199999999994
1,28,[ 0.12441657  1.          0.52159249 -0.02008177  0.03559686  0.00212434],17.202199999999994
1,29,[ 0.12441657  1.          0.52159249 -0.02008177  0.03559686  0.00212434],17.202199999999994
1,30,"[3.57027454e-02 1.00000000e+00 6.06603173e-01 6.88934385e-02
 4.64246623e-02 6.91666532e-04]",17.1963
1,31,"[3.57027454e-02 1.00000000e+00 6.06603173e-01 6.88934385e-02
 4.64246623e-02 6.91666532e-04]",17.1963
1,32,"[3.57027454e-02 1.00000000e+00 6.06603173e-01 6.88934385e-02
 4.64246623e-02 6.91666532e-04]",17.1963
1,33,"[3.57027454e-02 1.00000000e+00 6.06603173e-01 6.88934385e-02
 4.64246623e-02 6.91666532e-04]",17.1963
1,34,[0.06787456 0.94483214 0.6136691  0.06908784 0.05699834 0.00285056],17.132899999999992
1,35,[0.05375179 0.97880334 0.60746972 0.0241173  0.06378291 0.00703615],17.09399999999999
1,36,[0.05375179 0.97880334 0.60746972 0.0241173  0.06378291 0.00703615],17.09399999999999
1,37,[0.05375179 0.97880334 0.60746972 0.0241173  0.06378291 0.00703615],17.09399999999999
1,38,[0.05375179 0.97880334 0.60746972 0.0241173  0.06378291 0.00703615],17.09399999999999
1,39,[0.05375179 0.97880334 0.60746972 0.0241173  0.06378291 0.00703615],17.09399999999999
1,40,[0.05375179 0.97880334 0.60746972 0.0241173  0.06378291 0.00703615],17.09399999999999
1,41,[0.05375179 0.97880334 0.60746972 0.0241173  0.06378291 0.00703615],17.09399999999999
1,42,[0.05375179 0.97880334 0.60746972 0.0241173  0.06378291 0.00703615],17.09399999999999
1,43,[0.05375179 0.97880334 0.60746972 0.0241173  0.06378291 0.00703615],17.09399999999999
1,44,[ 0.08041353  1.          0.66547438  0.00672017 -0.00797711  0.00674008],17.07969999999998
1,45,"[ 9.54031973e-02  1.00000000e+00  6.86269005e-01 -8.94322411e-02
  6.87399135e-02  8.18523100e-04]",17.016100000000005
1,46,"[ 9.54031973e-02  1.00000000e+00  6.86269005e-01 -8.94322411e-02
  6.87399135e-02  8.18523100e-04]",17.016100000000005
1,47,"[ 9.54031973e-02  1.00000000e+00  6.86269005e-01 -8.94322411e-02
  6.87399135e-02  8.18523100e-04]",17.016100000000005
1,48,"[ 9.54031973e-02  1.00000000e+00  6.86269005e-01 -8.94322411e-02
  6.87399135e-02  8.18523100e-04]",17.016100000000005
1,49,"[ 9.54031973e-02  1.00000000e+00  6.86269005e-01 -8.94322411e-02
  6.87399135e-02  8.18523100e-04]",17.016100000000005
1,50,"[ 9.54031973e-02  1.00000000e+00  6.86269005e-01 -8.94322411e-02
  6.87399135e-02  8.18523100e-04]",17.016100000000005
1,51,"[ 9.54031973e-02  1.00000000e+00  6.86269005e-01 -8.94322411e-02
  6.87399135e-02  8.18523100e-04]",17.016100000000005
1,52,"[ 9.54031973e-02  1.00000000e+00  6.86269005e-01 -8.94322411e-02
  6.87399135e-02  8.18523100e-04]",17.016100000000005
1,53,"[ 9.54031973e-02  1.00000000e+00  6.86269005e-01 -8.94322411e-02
  6.87399135e-02  8.18523100e-04]",17.016100000000005
1,54,"[ 9.54031973e-02  1.00000000e+00  6.86269005e-01 -8.94322411e-02
  6.87399135e-02  8.18523100e-04]",17.016100000000005
1,55,"[ 9.54031973e-02  1.00000000e+00  6.86269005e-01 -8.94322411e-02
  6.87399135e-02  8.18523100e-04]",17.016100000000005
1,56,[0.080493   0.84469978 0.69905273 0.01528325 0.03450597 0.00359846],17.012399999999996
1,57,[0.080493   0.84469978 0.69905273 0.01528325 0.03450597 0.00359846],17.012399999999996
1,58,[ 0.01186653  0.9280603   0.76998558 -0.00258739  0.03095844  0.00667645],16.959899999999994
1,59,[ 0.01186653  0.9280603   0.76998558 -0.00258739  0.03095844  0.00667645],16.959899999999994
1,60,[ 0.01186653  0.9280603   0.76998558 -0.00258739  0.03095844  0.00667645],16.959899999999994
1,61,[ 0.01186653  0.9280603   0.76998558 -0.00258739  0.03095844  0.00667645],16.959899999999994
1,62,[ 0.01186653  0.9280603   0.76998558 -0.00258739  0.03095844  0.00667645],16.959899999999994
1,63,[ 0.01186653  0.9280603   0.76998558 -0.00258739  0.03095844  0.00667645],16.959899999999994
1,64,[ 0.01186653  0.9280603   0.76998558 -0.00258739  0.03095844  0.00667645],16.959899999999994
1,65,[ 0.01186653  0.9280603   0.76998558 -0.00258739  0.03095844  0.00667645],16.959899999999994
1,66,[ 0.01186653  0.9280603   0.76998558 -0.00258739  0.03095844  0.00667645],16.959899999999994
1,67,[ 0.01186653  0.9280603   0.76998558 -0.00258739  0.03095844  0.00667645],16.959899999999994
1,68,[ 0.01186653  0.9280603   0.76998558 -0.00258739  0.03095844  0.00667645],16.959899999999994
1,69,"[ 1.05829891e-01  8.59357645e-01  8.15338353e-01 -1.22529059e-01
 -7.06342222e-03 -2.84803965e-04]",16.908299999999993
1,70,[ 0.00939113  0.80160213  0.89956154 -0.12512791 -0.00129555  0.00129281],16.766499999999994
1,71,[ 0.00939113  0.80160213  0.89956154 -0.12512791 -0.00129555  0.00129281],16.766499999999994
1,72,[ 0.00939113  0.80160213  0.89956154 -0.12512791 -0.00129555  0.00129281],16.766499999999994
1,73,[ 0.00939113  0.80160213  0.89956154 -0.12512791 -0.00129555  0.00129281],16.766499999999994
1,74,[ 0.00939113  0.80160213  0.89956154 -0.12512791 -0.00129555  0.00129281],16.766499999999994
1,75,[ 0.00939113  0.80160213  0.89956154 -0.12512791 -0.00129555  0.00129281],16.766499999999994
1,76,[ 0.00939113  0.80160213  0.89956154 -0.12512791 -0.00129555  0.00129281],16.766499999999994
1,77,[ 0.00939113  0.80160213  0.89956154 -0.12512791 -0.00129555  0.00129281],16.766499999999994
1,78,[-0.07987251  0.77271953  0.83606117 -0.18364303  0.04813553  0.0075482 ],16.668799999999983
1,79,[-0.00272614  0.69619788  0.9090845  -0.2352764   0.0380252   0.00625645],16.474799999999988
1,80,[-0.06623365  0.79467144  0.93461455 -0.16204128  0.06586896  0.01167246],16.172
1,81,"[ 6.87974049e-02  7.54050161e-01  9.88243710e-01 -1.85332902e-01
  5.59440381e-02 -7.94081536e-04]",16.0081
