Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.64985135 -0.63297071  0.71636706  0.37328393  0.2812676   0.08808914],80.80570000000002
1,1,[-0.6824657  -0.60459896  0.75753317  0.39598545  0.32094348  0.07633765],66.89230000000003
1,2,[-0.33823894  0.72602378  0.7627341   0.45501944  0.28471017  0.13055701],34.46089999999998
1,3,[-0.36636436  0.72590836  0.78484382  0.37747998  0.23659013  0.03558275],19.350600000000007
1,4,[-0.25407846  0.79801776  0.7579823   0.5842311   0.21819561  0.03821713],18.77979999999999
1,5,[-0.21246294  0.72717144  0.71302201  0.30843812  0.35693708  0.0244821 ],18.44580000000001
1,6,[-0.20731742  0.74475783  0.76504612  0.23276714  0.33898176  0.02613561],18.1911
1,7,[-0.11757627  0.79042596  0.66456187  0.29910984  0.33310465  0.02449227],18.134900000000005
1,8,[-0.18331538  0.80799884  0.76550194  0.14364281  0.25198235  0.02452489],17.831999999999994
1,9,[-0.09230414  0.84690218  0.75276081  0.21645513  0.22261363  0.01486924],17.498900000000003
1,10,[-0.09230414  0.84690218  0.75276081  0.21645513  0.22261363  0.01486924],17.498900000000003
1,11,[-0.09230414  0.84690218  0.75276081  0.21645513  0.22261363  0.01486924],17.498900000000003
1,12,[-0.08864526  0.85152112  0.83264719  0.17336015  0.17510269  0.01007999],17.323800000000013
1,13,[-0.08864526  0.85152112  0.83264719  0.17336015  0.17510269  0.01007999],17.323800000000013
1,14,[-0.08864526  0.85152112  0.83264719  0.17336015  0.17510269  0.01007999],17.323800000000013
1,15,[-0.00340115  0.97540211  0.92771104  0.21684457  0.16213568  0.01293245],17.187600000000003
1,16,[-0.07889032  0.8707692   0.90667606  0.03092298  0.09402594  0.0097664 ],16.889699999999987
1,17,"[ 1.72295716e-02  6.56243566e-01  7.35023702e-01  2.30635395e-02
 -2.98583648e-02 -5.23414458e-04]",16.866700000000005
1,18,"[ 1.72295716e-02  6.56243566e-01  7.35023702e-01  2.30635395e-02
 -2.98583648e-02 -5.23414458e-04]",16.866700000000005
1,19,"[ 1.72295716e-02  6.56243566e-01  7.35023702e-01  2.30635395e-02
 -2.98583648e-02 -5.23414458e-04]",16.866700000000005
1,20,[ 0.0545773   0.64242056  0.71513091 -0.03964664  0.00462624  0.00404892],16.77629999999999
1,21,[ 0.0545773   0.64242056  0.71513091 -0.03964664  0.00462624  0.00404892],16.77629999999999
1,22,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,23,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,24,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,25,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,26,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,27,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,28,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,29,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,30,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,31,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,32,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,33,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,34,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,35,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,36,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,37,"[-2.16101942e-03  5.80007595e-01  7.71280666e-01  1.61667724e-03
 -3.56009679e-02 -6.28866488e-06]",16.463000000000008
1,38,[-0.04384618  0.56535923  0.80535494 -0.00819274  0.11019593  0.00692371],16.31059999999999
1,39,[-0.04384618  0.56535923  0.80535494 -0.00819274  0.11019593  0.00692371],16.31059999999999
1,40,[-0.04384618  0.56535923  0.80535494 -0.00819274  0.11019593  0.00692371],16.31059999999999
1,41,[-0.04384618  0.56535923  0.80535494 -0.00819274  0.11019593  0.00692371],16.31059999999999
1,42,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,43,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,44,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,45,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,46,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,47,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,48,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,49,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,50,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,51,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,52,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,53,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,54,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,55,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,56,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,57,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,58,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,59,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
1,60,[ 0.05756257  0.49185752  0.90653001 -0.14415637  0.056206    0.00428697],15.926799999999986
