Run,Generation,Best X Value,Best Fitness Value
1,0,[0.83083818 0.59711202 0.71011637 0.95766159 0.87781633 0.07843043],1.0176724568830415
1,1,[0.75877587 0.68176562 0.66149879 0.86718089 0.92407496 0.00874324],0.7332217086661761
1,2,[0.73335244 0.68415286 0.6326698  0.98576686 0.91375889 0.01236273],0.7268184686715784
1,3,[0.70376709 0.68469241 0.62706219 1.         0.8491628  0.00363841],0.7110630613571789
1,4,[0.60639815 0.76546457 0.70063311 1.         0.80452021 0.02466448],0.6885036788684342
1,5,[ 0.5441894   0.78821782  0.65972313  0.90695892  0.86766121 -0.00881975],0.6598575044276919
1,6,[ 0.5441894   0.78821782  0.65972313  0.90695892  0.86766121 -0.00881975],0.6598575044276919
1,7,[ 0.53047264  0.93808838  0.7114257   0.88798507  0.88159859 -0.01061933],0.6366050798247932
1,8,[0.48354478 0.95352118 0.73002007 0.87087768 0.87025496 0.0038394 ],0.6182718111468283
1,9,[ 0.38756594  1.          0.6556704   0.84817873  0.8855097  -0.00741711],0.6032665479403599
1,10,[ 0.36838471  0.94900468  0.5829429   0.89415188  0.78717276 -0.00403455],0.6005987149591849
1,11,[ 0.33643832  0.96745506  0.60517159  0.94706222  0.78661661 -0.00233485],0.5905959110550802
1,12,[ 0.23733842  0.99919287  0.56326416  0.76753817  0.81769763 -0.00418688],0.574380064515897
1,13,[0.15937038 1.         0.78635735 0.76636245 0.77319863 0.00249925],0.5451777099062147
1,14,[0.15937038 1.         0.78635735 0.76636245 0.77319863 0.00249925],0.5451777099062147
1,15,[0.15937038 1.         0.78635735 0.76636245 0.77319863 0.00249925],0.5451777099062147
1,16,[ 0.03944539  0.96908202  0.77819895  0.76866409  0.70174452 -0.00493451],0.5277852991576445
1,17,[ 0.03084596  1.          0.64966475  0.67362455  0.5851898  -0.01365407],0.5247490786452579
1,18,[-0.04795862  1.          0.54154353  0.61911558  0.61902732  0.00497972],0.5141154729476803
1,19,[-0.05619344  0.99211959  0.53272608  0.58560204  0.5350452  -0.00881762],0.5083706968207381
1,20,[0.04522875 0.9660195  0.84211364 0.67068847 0.54041536 0.00385941],0.5075489088500835
1,21,[ 0.02634366  0.9855342   0.67828712  0.55584176  0.48986875 -0.00488218],0.5017821993746433
1,22,[ 0.02634366  0.9855342   0.67828712  0.55584176  0.48986875 -0.00488218],0.5017821993746433
1,23,[ 0.02634366  0.9855342   0.67828712  0.55584176  0.48986875 -0.00488218],0.5017821993746433
1,24,[-0.02008287  0.9627378   0.72697095  0.5493495   0.41592082  0.00117771],0.4861538601039906
1,25,[-0.02008287  0.9627378   0.72697095  0.5493495   0.41592082  0.00117771],0.4861538601039906
1,26,[-0.02008287  0.9627378   0.72697095  0.5493495   0.41592082  0.00117771],0.4861538601039906
1,27,[-0.02008287  0.9627378   0.72697095  0.5493495   0.41592082  0.00117771],0.4861538601039906
1,28,[0.02466285 1.         0.8296952  0.58166046 0.36501167 0.00130108],0.48405998869014477
1,29,[-0.06428204  0.88474761  0.54426104  0.66123358  0.24766457 -0.00344132],0.4804772226495914
1,30,[-0.06428204  0.88474761  0.54426104  0.66123358  0.24766457 -0.00344132],0.4804772226495914
1,31,[-0.06442372  1.          0.66295144  0.62634587  0.22917476  0.00665273],0.46953922590261193
1,32,[-0.02176301  1.          0.85956905  0.52633922  0.28428542  0.00219586],0.46879046827851734
