Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.54169335  0.86114444  0.92799969  0.86644463 -0.56539834 -0.21346408],1.4825306469198907
1,1,[ 0.44748263  0.84036094  1.          0.95303624 -0.50746001 -0.19522432],1.2739910680652045
1,2,[ 0.44253106  0.87958891  0.93930218  0.96525433 -0.41829742 -0.13531513],0.9430403949055606
1,3,[ 0.42370602  0.80344337  0.87180301  0.92052675 -0.33792127 -0.03628007],0.6890071931807373
1,4,[ 0.52718139  0.8679324   1.          0.93113268 -0.28926571 -0.01988484],0.6486612101104373
1,5,[ 0.48342486  0.78464358  1.          0.95617978 -0.20486047 -0.02496057],0.60242927108385
1,6,[ 0.51835628  0.77094444  1.          0.94382882 -0.1051404  -0.04480137],0.5707814325584891
1,7,[ 0.42052606  0.92249679  1.          1.         -0.10102602 -0.03638469],0.5330658381272739
1,8,[ 0.43361475  0.92769185  1.          1.         -0.04379639 -0.02273792],0.5264111245639805
1,9,[ 0.30532442  0.91414064  1.          0.89064248 -0.04778884 -0.03989927],0.4992267305365556
1,10,[ 0.24607525  0.98253315  0.97247859  0.79255869 -0.01021769 -0.03327948],0.4775683993140236
1,11,[ 0.14947679  1.          1.          0.74125144 -0.01209604 -0.0233976 ],0.4619509588479953
1,12,[ 0.0949533   1.          0.98218622  0.64458374  0.05245116 -0.02142725],0.45580260310984905
1,13,[ 0.01363037  1.          1.          0.67245873 -0.01765653 -0.01377894],0.44841606099222
1,14,[ 0.01363037  1.          1.          0.67245873 -0.01765653 -0.01377894],0.44841606099222
1,15,[-0.03695496  0.93842836  1.          0.57829993  0.01041307 -0.01324682],0.4448549560327675
1,16,[-0.04860826  0.92004085  1.          0.53686412 -0.00114137 -0.00673883],0.44366042912410486
1,17,[-0.04860826  0.92004085  1.          0.53686412 -0.00114137 -0.00673883],0.44366042912410486
1,18,[-0.04860826  0.92004085  1.          0.53686412 -0.00114137 -0.00673883],0.44366042912410486
1,19,[-0.04860826  0.92004085  1.          0.53686412 -0.00114137 -0.00673883],0.44366042912410486
1,20,[-0.04860826  0.92004085  1.          0.53686412 -0.00114137 -0.00673883],0.44366042912410486
1,21,[-0.04860826  0.92004085  1.          0.53686412 -0.00114137 -0.00673883],0.44366042912410486
1,22,"[-5.52509435e-02  1.00000000e+00  9.32455191e-01  5.51087034e-01
  3.60530385e-04 -9.31622636e-03]",0.4408878373233856
1,23,[ 0.00661469  0.96498282  0.96456908  0.50028822 -0.03962146 -0.01532067],0.4401418588561824
1,24,[ 0.00661469  0.96498282  0.96456908  0.50028822 -0.03962146 -0.01532067],0.4401418588561824
1,25,[ 0.00661469  0.96498282  0.96456908  0.50028822 -0.03962146 -0.01532067],0.4401418588561824
1,26,[ 0.00661469  0.96498282  0.96456908  0.50028822 -0.03962146 -0.01532067],0.4401418588561824
1,27,[ 0.00661469  0.96498282  0.96456908  0.50028822 -0.03962146 -0.01532067],0.4401418588561824
1,28,[ 0.00661469  0.96498282  0.96456908  0.50028822 -0.03962146 -0.01532067],0.4401418588561824
1,29,[ 0.00661469  0.96498282  0.96456908  0.50028822 -0.03962146 -0.01532067],0.4401418588561824
1,30,[ 0.00661469  0.96498282  0.96456908  0.50028822 -0.03962146 -0.01532067],0.4401418588561824
1,31,[ 0.00661469  0.96498282  0.96456908  0.50028822 -0.03962146 -0.01532067],0.4401418588561824
1,32,[ 0.00661469  0.96498282  0.96456908  0.50028822 -0.03962146 -0.01532067],0.4401418588561824
1,33,[ 0.00661469  0.96498282  0.96456908  0.50028822 -0.03962146 -0.01532067],0.4401418588561824
1,34,[ 0.00661469  0.96498282  0.96456908  0.50028822 -0.03962146 -0.01532067],0.4401418588561824
1,35,[ 0.00661469  0.96498282  0.96456908  0.50028822 -0.03962146 -0.01532067],0.4401418588561824
1,36,[ 0.00661469  0.96498282  0.96456908  0.50028822 -0.03962146 -0.01532067],0.4401418588561824
1,37,[-0.06360109  1.          0.81138812  0.37153764  0.00131877 -0.00164672],0.4354161865928169
1,38,[-0.06360109  1.          0.81138812  0.37153764  0.00131877 -0.00164672],0.4354161865928169
1,39,[-0.06360109  1.          0.81138812  0.37153764  0.00131877 -0.00164672],0.4354161865928169
1,40,[-0.06360109  1.          0.81138812  0.37153764  0.00131877 -0.00164672],0.4354161865928169
1,41,[-0.06360109  1.          0.81138812  0.37153764  0.00131877 -0.00164672],0.4354161865928169
1,42,[ 0.02075929  1.          0.82026055  0.26455243 -0.05938378 -0.01430312],0.4337584227349562
1,43,[ 0.02075929  1.          0.82026055  0.26455243 -0.05938378 -0.01430312],0.4337584227349562
1,44,[ 0.02075929  1.          0.82026055  0.26455243 -0.05938378 -0.01430312],0.4337584227349562
1,45,[ 0.02075929  1.          0.82026055  0.26455243 -0.05938378 -0.01430312],0.4337584227349562
1,46,[ 0.02075929  1.          0.82026055  0.26455243 -0.05938378 -0.01430312],0.4337584227349562
1,47,[ 0.02075929  1.          0.82026055  0.26455243 -0.05938378 -0.01430312],0.4337584227349562
1,48,[ 0.02075929  1.          0.82026055  0.26455243 -0.05938378 -0.01430312],0.4337584227349562
1,49,[ 0.02075929  1.          0.82026055  0.26455243 -0.05938378 -0.01430312],0.4337584227349562
1,50,[-0.06735465  1.          0.85641653  0.27756719 -0.00296415 -0.00745133],0.43200593818193495
1,51,[-0.06735465  1.          0.85641653  0.27756719 -0.00296415 -0.00745133],0.43200593818193495
1,52,[-0.06735465  1.          0.85641653  0.27756719 -0.00296415 -0.00745133],0.43200593818193495
1,53,[-0.06735465  1.          0.85641653  0.27756719 -0.00296415 -0.00745133],0.43200593818193495
1,54,[-0.06735465  1.          0.85641653  0.27756719 -0.00296415 -0.00745133],0.43200593818193495
