Model,Fitness EA,Weighs,Bias_Mode,Cosine,MSE Kicktime,MSE_Trajectory,Sorted Velocity Criteria
orientation_cosine_results_bias_wall_zone_repulsion_zone,17.70609999999998,"(0.05170998530039118, 0.07564021968008477, 0.7293679547477364, -0.04650757143380516, 0.05367753558879822, 0.043096733249184206)",bias_wall_zone_bias_wall_zone_repulsion_zone,17.70609999999998,0.7134725590578932,271.4485615244291,orientation
orientation_mse_kicktime_results_bias_wall_zone_repulsion_zone,0.5186572065091002,"(-0.028461864684188563, 0.2389559033749488, 0.3970000147311336, 0.26666662438552646, 0.06614240935675482, 0.002773183467447668)",bias_wall_zone_bias_wall_zone_repulsion_zone,20.066400000000012,0.5186572066480452,5.473520679957257,orientation
orientation_mse_trajectory_results_bias_wall_zone_repulsion_zone,1.1105652518662656,"(-0.006429921433456811, 0.2631671744096765, 0.2811793941639688, 0.20558741328265243, 0.24299887189421163, -0.0006372248160337684)",bias_wall_zone_bias_wall_zone_repulsion_zone,20.425599999999996,0.5379053119278042,1.110565243418278,orientation
orientation_cosine_results_bias_wall_zone_alignment_zone,18.579999999999988,"(-0.03760355579220262, 0.2834751344136914, 0.203174315897498, 0.4195786582071589, -0.04517773962263124, 0.010990596066818056)",bias_wall_zone_bias_wall_zone_alignment_zone,18.579999999999988,0.5801351744310655,5.263532268813402,orientation
orientation_mse_kicktime_results_bias_wall_zone_alignment_zone,0.519395322640237,"(-0.024986870104408396, 0.2462038097856687, 0.37804014239232625, 0.275524463732805, 0.07517859188851397, -6.61220962777409e-05)",bias_wall_zone_bias_wall_zone_alignment_zone,20.345099999999995,0.5193953226397521,3.1282422914509245,orientation
orientation_mse_trajectory_results_bias_wall_zone_alignment_zone,1.1081997448387664,"(0.0030823826409847473, 0.1558143358358167, 0.36062820427097464, 0.200348363841816, 0.2780821426425697, -0.0020445707678382855)",bias_wall_zone_bias_wall_zone_alignment_zone,20.463399999999996,0.5507277839373332,1.1081997672086195,orientation
orientation_cosine_results_bias_wall_zone_alignment_domain,18.83909999999999,"(-0.020770737797543994, 0.290069868807426, 0.20018751811384705, 0.4389838887337739, -0.0406527395428298, 0.009335247004579168)",bias_wall_zone_bias_wall_zone_alignment_domain,18.83909999999999,0.5845671025138489,4.212893550953007,orientation
orientation_mse_kicktime_results_bias_wall_zone_alignment_domain,0.5150126669402347,"(-0.015581777059046915, 0.19458567750014122, 0.3632451681364916, 0.2984854238259381, 0.12064297054102635, -0.007458982937355669)",bias_wall_zone_bias_wall_zone_alignment_domain,21.642500000000005,0.515012666796394,8.36864528628691,orientation
orientation_mse_trajectory_results_bias_wall_zone_alignment_domain,1.111679233555938,"(-0.00828856486857299, 0.25214166583584335, 0.25853795759936915, 0.24535953611157482, 0.23554175298864, 0.000130522595999639)",bias_wall_zone_bias_wall_zone_alignment_domain,20.3374,0.5392019635331226,1.111679233550635,orientation
orientation_cosine_results_bias_wall_zone_repulsion_alignment_zone,17.53229999999999,"(-0.015992293296740154, 0.21311243667569407, 0.10864716914304742, 0.4647945855292926, -0.18745347398703532, 0.010000041368190406)",bias_wall_zone_bias_wall_zone_repulsion_alignment_zone,17.53229999999999,0.9224768904368442,21.276191919496007,orientation
orientation_mse_kicktime_results_bias_wall_zone_repulsion_alignment_zone,0.5194873498061195,"(-0.028629702994464587, 0.24404781708947643, 0.3780086592273305, 0.26514537094935486, 0.0840512131158235, 0.00011723662355008358)",bias_wall_zone_bias_wall_zone_repulsion_alignment_zone,20.377899999999997,0.5194873498068755,2.963023253738689,orientation
orientation_mse_trajectory_results_bias_wall_zone_repulsion_alignment_zone,1.1064858387735987,"(-0.00929618225057699, 0.26876281405295577, 0.3177188994591253, 0.18028865182082157, 0.22284593405850686, -0.0010875183580135392)",bias_wall_zone_bias_wall_zone_repulsion_alignment_zone,20.571099999999984,0.5310423921800305,1.1064858512606783,orientation
orientation_cosine_results_bias_wall_zone_repulsion_alignment_domain,17.687499999999996,"(-0.014046622413371623, 0.19593473699524014, 0.10203424897121394, 0.49248668479461016, -0.1861980575347023, 0.0092996492908619)",bias_wall_zone_bias_wall_zone_repulsion_alignment_domain,17.687499999999996,0.9503424904048804,17.045741077186673,orientation
orientation_mse_kicktime_results_bias_wall_zone_repulsion_alignment_domain,0.5174204394147612,"(-0.018370414612615564, 0.21670061624848252, 0.38943848322514424, 0.27721027651267466, 0.0948222272542937, -0.003457982146789339)",bias_wall_zone_bias_wall_zone_repulsion_alignment_domain,21.17269999999999,0.5174204399365865,2.5495350229090077,orientation
orientation_mse_trajectory_results_bias_wall_zone_repulsion_alignment_domain,1.1133041162027415,"(-0.023033258874698186, 0.22177345234065116, 0.28448879979369485, 0.24844319717100144, 0.222136798731938, -0.00012449308801644932)",bias_wall_zone_bias_wall_zone_repulsion_alignment_domain,20.512399999999985,0.5344026704054966,1.1133041161916952,orientation
orientation_cosine_results_bias_zero,18.5495,"(0.03229154864384758, 0.10510989759880814, 0.08277986647176078, 0.5995816321858899, -0.1802370550996936)",bias_zero_None,18.5495,0.935954153623092,5.682385009172925,orientation
