Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.92224157  0.59217671 -0.28432482  0.93748126  0.4738851   0.06252785],55.38619999999999
1,1,[-0.90442251  0.51623511 -0.32372047  0.94904455  0.39193023  0.01522978],42.49150000000002
1,2,[-0.76701704  0.64986228 -0.1397002   1.          0.51695774  0.01656354],34.39280000000002
1,3,[-0.72172441  0.63148332 -0.09312885  1.          0.53903614  0.01625973],33.25899999999999
1,4,[-0.66588928  0.59360157 -0.18748455  1.          0.58836045  0.01465891],31.166899999999973
1,5,[-0.66588928  0.59360157 -0.18748455  1.          0.58836045  0.01465891],31.166899999999973
1,6,[-0.66588928  0.59360157 -0.18748455  1.          0.58836045  0.01465891],31.166899999999973
1,7,[-0.66588928  0.59360157 -0.18748455  1.          0.58836045  0.01465891],31.166899999999973
1,8,[-0.66588928  0.59360157 -0.18748455  1.          0.58836045  0.01465891],31.166899999999973
1,9,[-0.58950006  0.62247722 -0.11616938  0.86343334  0.55229127  0.01039809],30.857
1,10,[-0.54362172  0.63930222 -0.01993967  0.9379198   0.51135217  0.02146555],30.66420000000001
1,11,[-0.46364734  0.69542864 -0.01313704  1.          0.57872708  0.03063889],27.800900000000006
1,12,[-0.41465595  0.68121     0.1096983   0.99901072  0.79720531  0.01722099],24.33619999999999
1,13,[-0.31795862  0.61382889  0.14345415  0.95464847  0.80871751  0.01350283],22.397399999999998
1,14,[-0.31795862  0.61382889  0.14345415  0.95464847  0.80871751  0.01350283],22.397399999999998
1,15,[-0.22983093  0.59284581  0.14819848  1.          0.84522478  0.00356404],22.351699999999994
1,16,[-0.2113669   0.62264077  0.114034    1.          0.96549769  0.0209751 ],20.41990000000001
1,17,[-0.19362202  0.78991631  0.28279321  0.84502176  0.84861666  0.01241218],19.9723
1,18,[-0.18851788  0.76339155  0.35764639  0.75007582  0.87407364  0.01955546],19.962899999999994
1,19,[-0.1591329   0.79178535  0.35078536  0.77909436  0.7538236   0.01222539],19.643099999999993
1,20,[-0.08326526  0.88243424  0.28968469  0.85779325  0.85091658  0.01095   ],19.481199999999998
1,21,[-0.08326526  0.88243424  0.28968469  0.85779325  0.85091658  0.01095   ],19.481199999999998
1,22,[-0.08326526  0.88243424  0.28968469  0.85779325  0.85091658  0.01095   ],19.481199999999998
1,23,[-0.08326526  0.88243424  0.28968469  0.85779325  0.85091658  0.01095   ],19.481199999999998
1,24,[-0.08542806  0.80935009  0.41175047  0.92838571  0.77540006  0.02252474],19.310499999999998
1,25,[-0.07618341  0.89511552  0.39442276  0.87897152  0.82648082  0.0207083 ],19.262199999999982
1,26,[-0.07618341  0.89511552  0.39442276  0.87897152  0.82648082  0.0207083 ],19.262199999999982
