Run,Generation,Best X Value,Best Fitness Value
1,0,[0.33829609 0.30352929 0.34017109 0.63179869 0.35346022 0.04715377],30.827899999999982
1,1,[ 0.28757098  0.35917569  0.28582989  0.57752425  0.3460883  -0.01534994],23.469900000000003
1,2,[ 0.3063882   0.31814666  0.36404575  0.65643356  0.38773423 -0.004644  ],22.28100000000002
1,3,[ 0.17359386  0.33777525  0.44137085  0.48324721  0.36738571 -0.00597615],21.053
1,4,[0.17633295 0.43357047 0.47091964 0.57606559 0.29202555 0.01228205],20.3574
1,5,[ 0.11565926  0.43323365  0.56691401  0.57691137  0.30881363 -0.00443146],20.330099999999998
1,6,[0.12990825 0.50288036 0.34700668 0.50439485 0.22712879 0.01020449],19.8896
1,7,[0.12990825 0.50288036 0.34700668 0.50439485 0.22712879 0.01020449],19.8896
1,8,[0.05576916 0.41474539 0.29688607 0.49161562 0.19569004 0.00518748],19.702599999999975
1,9,[0.06294073 0.405928   0.33903553 0.40017954 0.10798574 0.01248277],19.409300000000012
1,10,[0.06294073 0.405928   0.33903553 0.40017954 0.10798574 0.01248277],19.409300000000012
1,11,[-0.10202081  0.51396557  0.27811518  0.52237433 -0.02318449  0.02531149],19.12489999999999
1,12,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,13,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,14,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,15,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,16,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,17,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,18,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,19,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,20,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,21,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,22,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,23,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,24,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,25,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,26,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,27,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,28,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,29,[-0.03939561  0.46086384  0.28878432  0.49993543 -0.03258919  0.01637429],18.925599999999985
1,30,[-0.07258799  0.6359055   0.30017418  0.65452201 -0.0718583   0.02453545],18.885100000000005
1,31,[-0.00946903  0.43683098  0.65420713  0.23257717 -0.04985139  0.02287642],18.820100000000004
1,32,[-0.00946903  0.43683098  0.65420713  0.23257717 -0.04985139  0.02287642],18.820100000000004
1,33,[-0.00946903  0.43683098  0.65420713  0.23257717 -0.04985139  0.02287642],18.820100000000004
1,34,[-0.00946903  0.43683098  0.65420713  0.23257717 -0.04985139  0.02287642],18.820100000000004
1,35,[-0.00946903  0.43683098  0.65420713  0.23257717 -0.04985139  0.02287642],18.820100000000004
1,36,[-0.00946903  0.43683098  0.65420713  0.23257717 -0.04985139  0.02287642],18.820100000000004
1,37,[-0.00946903  0.43683098  0.65420713  0.23257717 -0.04985139  0.02287642],18.820100000000004
1,38,[-0.00946903  0.43683098  0.65420713  0.23257717 -0.04985139  0.02287642],18.820100000000004
1,39,[0.01026621 0.53266535 0.73543389 0.2395327  0.08671895 0.01956983],18.791600000000003
1,40,[0.01026621 0.53266535 0.73543389 0.2395327  0.08671895 0.01956983],18.791600000000003
1,41,[0.01026621 0.53266535 0.73543389 0.2395327  0.08671895 0.01956983],18.791600000000003
1,42,[0.05020908 0.44454969 0.82261639 0.29574874 0.0044964  0.01231957],18.714599999999983
1,43,[0.0307289  0.36935126 0.68687272 0.21440821 0.01423713 0.01616832],18.632799999999985
1,44,[0.0307289  0.36935126 0.68687272 0.21440821 0.01423713 0.01616832],18.632799999999985
1,45,[0.0307289  0.36935126 0.68687272 0.21440821 0.01423713 0.01616832],18.632799999999985
1,46,[0.0307289  0.36935126 0.68687272 0.21440821 0.01423713 0.01616832],18.632799999999985
1,47,[0.0307289  0.36935126 0.68687272 0.21440821 0.01423713 0.01616832],18.632799999999985
1,48,[-0.01267895  0.26685773  0.82139583  0.07900791 -0.06465997  0.01563171],18.554699999999997
1,49,[-0.01267895  0.26685773  0.82139583  0.07900791 -0.06465997  0.01563171],18.554699999999997
1,50,[-0.01267895  0.26685773  0.82139583  0.07900791 -0.06465997  0.01563171],18.554699999999997
1,51,[-0.01267895  0.26685773  0.82139583  0.07900791 -0.06465997  0.01563171],18.554699999999997
1,52,[0.02693868 0.18767518 0.85603253 0.03022872 0.06693002 0.00648079],18.515799999999995
1,53,[ 0.01885885  0.25947995  0.9170075   0.10430035 -0.14807077  0.01475034],18.442699999999995
1,54,[ 0.01885885  0.25947995  0.9170075   0.10430035 -0.14807077  0.01475034],18.442699999999995
1,55,[ 0.06349817  0.2329349   0.92208602  0.1855904  -0.19925889  0.01392338],18.3436
1,56,[ 0.06349817  0.2329349   0.92208602  0.1855904  -0.19925889  0.01392338],18.3436
1,57,[ 0.06349817  0.2329349   0.92208602  0.1855904  -0.19925889  0.01392338],18.3436
1,58,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,59,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,60,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,61,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,62,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,63,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,64,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,65,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,66,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,67,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,68,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,69,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,70,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,71,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,72,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,73,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,74,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,75,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,76,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,77,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,78,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,79,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,80,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,81,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,82,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,83,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,84,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,85,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,86,[ 0.06636555  0.18023727  0.78118349  0.03862917 -0.06288582  0.00907568],18.34110000000001
1,87,[ 0.06195596  0.21469242  0.96532344 -0.03255338 -0.06802793  0.0109639 ],18.320600000000002
1,88,[ 0.06195596  0.21469242  0.96532344 -0.03255338 -0.06802793  0.0109639 ],18.320600000000002
1,89,[ 0.06195596  0.21469242  0.96532344 -0.03255338 -0.06802793  0.0109639 ],18.320600000000002
1,90,[ 0.06195596  0.21469242  0.96532344 -0.03255338 -0.06802793  0.0109639 ],18.320600000000002
1,91,[ 0.06195596  0.21469242  0.96532344 -0.03255338 -0.06802793  0.0109639 ],18.320600000000002
1,92,[ 0.06195596  0.21469242  0.96532344 -0.03255338 -0.06802793  0.0109639 ],18.320600000000002
1,93,[ 0.06195596  0.21469242  0.96532344 -0.03255338 -0.06802793  0.0109639 ],18.320600000000002
1,94,[ 0.06195596  0.21469242  0.96532344 -0.03255338 -0.06802793  0.0109639 ],18.320600000000002
1,95,[ 0.06195596  0.21469242  0.96532344 -0.03255338 -0.06802793  0.0109639 ],18.320600000000002
1,96,[ 0.06195596  0.21469242  0.96532344 -0.03255338 -0.06802793  0.0109639 ],18.320600000000002
1,97,[ 0.06195596  0.21469242  0.96532344 -0.03255338 -0.06802793  0.0109639 ],18.320600000000002
1,98,[ 0.06195596  0.21469242  0.96532344 -0.03255338 -0.06802793  0.0109639 ],18.320600000000002
1,99,[ 0.06195596  0.21469242  0.96532344 -0.03255338 -0.06802793  0.0109639 ],18.320600000000002
2,0,[-0.87885653  0.98707219  0.6049369  -0.47617339  0.76255576 -0.01008164],49.345900000000015
2,1,[-0.83124923  1.          0.57255861 -0.3932953   0.66296424  0.06330509],32.91259999999999
2,2,[-0.77041648  1.         -0.4786631   1.          0.78359141  0.06434741],27.08600000000001
2,3,[-0.72223331  0.90810703 -0.397459    0.94979221  0.85197679  0.06083942],26.750299999999996
2,4,[-0.67911376  0.94396387 -0.33535187  1.          0.82927788  0.03030239],25.208899999999993
2,5,[-0.71451678  0.96955102  0.71602966  0.98254386  0.8159638   0.11792308],24.541899999999988
2,6,[-0.68408651  0.91731335  0.76709749  0.91302336  0.87987976  0.08809288],22.519299999999998
2,7,[-0.63347902  1.          0.80229709  0.99933379  0.68065017  0.08605073],21.353200000000005
2,8,[-0.63347902  1.          0.80229709  0.99933379  0.68065017  0.08605073],21.353200000000005
2,9,[-0.61756103  1.          0.86420558  0.92197339  0.77827212  0.08198825],21.250999999999976
2,10,[-0.4778297   0.9459855   0.81535724  0.82393122  0.66736106  0.03979843],20.675500000000007
2,11,[-0.41762838  0.94538654  0.77698141  0.8595221   0.7170762   0.03986968],20.223399999999994
2,12,[-0.43398893  0.88141268  0.81044461  0.91487871  0.80533472  0.0529046 ],20.193599999999996
2,13,[-0.32041889  0.98534388  0.79602441  0.94927898  0.73456484  0.05412039],19.860500000000002
2,14,[-0.24167431  0.93574806  0.80225658  0.87092384  0.66114051  0.0374931 ],19.641199999999987
2,15,[-0.2391357   0.89149277  0.78110901  0.93142231  0.56309378  0.039565  ],19.559399999999997
2,16,[-0.18390094  1.          0.78283234  0.87623514  0.59362838  0.04205134],19.518100000000015
2,17,[-0.18390094  1.          0.78283234  0.87623514  0.59362838  0.04205134],19.518100000000015
2,18,[-0.16479131  0.91986967  0.83556743  0.91354348  0.58841232  0.03118474],19.492700000000017
2,19,[-0.08710648  0.92970021  0.8763789   0.96752753  0.49017781  0.02505279],19.37569999999999
2,20,[-0.08967768  0.87478493  0.84142646  0.89742265  0.4712437   0.03299786],19.316899999999983
2,21,[-0.08967768  0.87478493  0.84142646  0.89742265  0.4712437   0.03299786],19.316899999999983
2,22,[-0.08967768  0.87478493  0.84142646  0.89742265  0.4712437   0.03299786],19.316899999999983
2,23,[0.04003183 0.83229101 0.83757833 0.83405851 0.38767534 0.02821516],19.29869999999998
2,24,[-0.06467745  0.80841415  0.88272025  0.86464488  0.29134042  0.02793159],19.12509999999999
2,25,[-0.09253155  0.86205746  0.96383298  0.76914992  0.34100137  0.03236773],19.119700000000005
2,26,[-0.09253155  0.86205746  0.96383298  0.76914992  0.34100137  0.03236773],19.119700000000005
2,27,[-0.09253155  0.86205746  0.96383298  0.76914992  0.34100137  0.03236773],19.119700000000005
2,28,[0.02574085 0.83481298 0.92195824 0.67756417 0.25223744 0.02584048],19.0392
2,29,[0.02574085 0.83481298 0.92195824 0.67756417 0.25223744 0.02584048],19.0392
2,30,[0.00920086 0.9047769  0.95272175 0.61026664 0.19836117 0.02427196],19.01779999999999
2,31,[0.00920086 0.9047769  0.95272175 0.61026664 0.19836117 0.02427196],19.01779999999999
2,32,[0.00920086 0.9047769  0.95272175 0.61026664 0.19836117 0.02427196],19.01779999999999
2,33,[0.00920086 0.9047769  0.95272175 0.61026664 0.19836117 0.02427196],19.01779999999999
2,34,[0.00920086 0.9047769  0.95272175 0.61026664 0.19836117 0.02427196],19.01779999999999
2,35,[-0.00336272  0.84406288  1.          0.70082961  0.23204765  0.02940963],18.97589999999999
2,36,[-0.06734143  0.83587892  1.          0.79591628  0.146757    0.03722786],18.9504
2,37,[-0.04999023  0.88820165  1.          0.79979154  0.11083918  0.03009824],18.939400000000006
2,38,[-0.04999023  0.88820165  1.          0.79979154  0.11083918  0.03009824],18.939400000000006
2,39,[-0.04875314  0.84800845  1.          0.84464326  0.04488531  0.02730924],18.923499999999997
2,40,[-0.04875314  0.84800845  1.          0.84464326  0.04488531  0.02730924],18.923499999999997
2,41,[-0.04875314  0.84800845  1.          0.84464326  0.04488531  0.02730924],18.923499999999997
2,42,[-0.05971494  0.75563462  1.          0.76062365  0.07757475  0.03028423],18.861199999999986
2,43,[-0.05971494  0.75563462  1.          0.76062365  0.07757475  0.03028423],18.861199999999986
2,44,[0.00712425 0.77805874 0.94990075 0.73523872 0.04090381 0.02901905],18.85479999999999
2,45,[0.00712425 0.77805874 0.94990075 0.73523872 0.04090381 0.02901905],18.85479999999999
2,46,[0.00712425 0.77805874 0.94990075 0.73523872 0.04090381 0.02901905],18.85479999999999
2,47,[0.00712425 0.77805874 0.94990075 0.73523872 0.04090381 0.02901905],18.85479999999999
2,48,[0.00712425 0.77805874 0.94990075 0.73523872 0.04090381 0.02901905],18.85479999999999
2,49,[-0.05157263  0.86251647  1.          0.64905396 -0.02220933  0.03504402],18.848700000000008
2,50,[-0.05157263  0.86251647  1.          0.64905396 -0.02220933  0.03504402],18.848700000000008
2,51,[-0.05157263  0.86251647  1.          0.64905396 -0.02220933  0.03504402],18.848700000000008
2,52,[-0.05157263  0.86251647  1.          0.64905396 -0.02220933  0.03504402],18.848700000000008
2,53,[-0.05157263  0.86251647  1.          0.64905396 -0.02220933  0.03504402],18.848700000000008
2,54,[-0.05157263  0.86251647  1.          0.64905396 -0.02220933  0.03504402],18.848700000000008
2,55,[-0.05157263  0.86251647  1.          0.64905396 -0.02220933  0.03504402],18.848700000000008
2,56,[-0.05157263  0.86251647  1.          0.64905396 -0.02220933  0.03504402],18.848700000000008
2,57,[-0.03693374  0.793125    1.          0.64764198 -0.08956744  0.03508646],18.781199999999988
2,58,[-0.03693374  0.793125    1.          0.64764198 -0.08956744  0.03508646],18.781199999999988
2,59,[-0.03693374  0.793125    1.          0.64764198 -0.08956744  0.03508646],18.781199999999988
2,60,[-0.03693374  0.793125    1.          0.64764198 -0.08956744  0.03508646],18.781199999999988
2,61,[-0.05412929  0.76707529  0.97883903  0.81235229 -0.18217063  0.029054  ],18.761900000000008
2,62,[-0.05412929  0.76707529  0.97883903  0.81235229 -0.18217063  0.029054  ],18.761900000000008
2,63,[ 0.03746581  0.68636558  0.9693476   0.87979443 -0.17412821  0.03183848],18.7576
2,64,[-0.05796694  0.62160325  0.94385761  0.79034275 -0.22047507  0.0330494 ],18.677999999999997
2,65,[-0.05796694  0.62160325  0.94385761  0.79034275 -0.22047507  0.0330494 ],18.677999999999997
