Run,Generation,Best X Value,Best Fitness Value
1,0,[0.35350278 0.31446537 0.89656043 0.85962131 0.52972    0.03518385],0.7352531093045351
1,1,[ 0.26038117  0.2677721   0.88578664  0.80419812  0.48440594 -0.01686781],0.5784205814406365
1,2,[ 0.23369933  0.27198399  0.92800638  0.81298279  0.43117559 -0.02930457],0.5589461249937239
1,3,[ 0.18329196  0.37059696  1.          0.80317877  0.44049336 -0.02081218],0.5457028558192912
1,4,[ 0.09103     0.40859471  1.          0.81402454  0.50693191 -0.01318196],0.5388404987637698
1,5,[ 0.071196    0.36381137  0.96526481  0.77108108  0.4867513  -0.01874886],0.5340648958793898
1,6,[ 0.03480479  0.52118244  0.86308115  0.91161698  0.37399036 -0.0108974 ],0.5289852143744029
1,7,[ 0.01712421  0.37754916  0.90551603  0.75726722  0.412776   -0.02758855],0.5268759346813016
1,8,[-0.04210314  0.30976751  1.          0.72823942  0.37752787 -0.02767926],0.5266036174328177
1,9,[-0.0210988   0.37749965  0.98841199  0.79235751  0.28999889 -0.01589281],0.5212815157705407
1,10,[-0.0827972   0.43951738  0.93339905  0.81717924  0.19422988 -0.01277934],0.5204905165724244
1,11,[-0.0827972   0.43951738  0.93339905  0.81717924  0.19422988 -0.01277934],0.5204905165724244
1,12,[-0.0827972   0.43951738  0.93339905  0.81717924  0.19422988 -0.01277934],0.5204905165724244
1,13,[-0.0827972   0.43951738  0.93339905  0.81717924  0.19422988 -0.01277934],0.5204905165724244
1,14,[-0.0827972   0.43951738  0.93339905  0.81717924  0.19422988 -0.01277934],0.5204905165724244
1,15,[-0.0827972   0.43951738  0.93339905  0.81717924  0.19422988 -0.01277934],0.5204905165724244
1,16,[-0.0827972   0.43951738  0.93339905  0.81717924  0.19422988 -0.01277934],0.5204905165724244
1,17,[-0.07849545  0.52979872  0.89908894  0.71354073  0.18947314 -0.00775628],0.5186986574355537
1,18,[-0.07849545  0.52979872  0.89908894  0.71354073  0.18947314 -0.00775628],0.5186986574355537
1,19,[-0.07849545  0.52979872  0.89908894  0.71354073  0.18947314 -0.00775628],0.5186986574355537
1,20,[-0.07849545  0.52979872  0.89908894  0.71354073  0.18947314 -0.00775628],0.5186986574355537
1,21,[-0.07849545  0.52979872  0.89908894  0.71354073  0.18947314 -0.00775628],0.5186986574355537
1,22,[-0.07849545  0.52979872  0.89908894  0.71354073  0.18947314 -0.00775628],0.5186986574355537
1,23,[-0.07849545  0.52979872  0.89908894  0.71354073  0.18947314 -0.00775628],0.5186986574355537
1,24,[-0.07849545  0.52979872  0.89908894  0.71354073  0.18947314 -0.00775628],0.5186986574355537
1,25,[-0.07849545  0.52979872  0.89908894  0.71354073  0.18947314 -0.00775628],0.5186986574355537
1,26,[-0.07849545  0.52979872  0.89908894  0.71354073  0.18947314 -0.00775628],0.5186986574355537
1,27,[-0.07849545  0.52979872  0.89908894  0.71354073  0.18947314 -0.00775628],0.5186986574355537
