Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.4011679   0.16522573  0.56494767 -0.67611221  0.8957212   0.01214309],1.810357627765195
1,1,[-0.24226822  0.94334845 -0.13090039  0.54699675  0.30816809 -0.04500554],0.9824582794519086
1,2,[-0.14610885  0.92226644 -0.03722228  0.48285704  0.2868214   0.04264154],0.6558390327106187
1,3,"[-1.09458730e-01  9.09487335e-01  4.54472552e-04  5.20832686e-01
  3.39314573e-01  1.24980724e-02]",0.5844019495575733
1,4,"[-1.09458730e-01  9.09487335e-01  4.54472552e-04  5.20832686e-01
  3.39314573e-01  1.24980724e-02]",0.5844019495575733
1,5,[-0.02956024  0.78249242  0.05873545  0.39511104  0.23901849  0.00738769],0.5683861279640069
1,6,[-0.02956024  0.78249242  0.05873545  0.39511104  0.23901849  0.00738769],0.5683861279640069
1,7,[-0.00625068  0.82680041  0.17237241  0.36494919  0.12626875  0.00336484],0.5666656774865514
1,8,[-0.00986295  0.91084953  0.22728616  0.31515019  0.32906198  0.01036873],0.5621802051904444
1,9,[-0.00986295  0.91084953  0.22728616  0.31515019  0.32906198  0.01036873],0.5621802051904444
1,10,[-0.00986295  0.91084953  0.22728616  0.31515019  0.32906198  0.01036873],0.5621802051904444
1,11,[0.02519111 0.82747646 0.27180272 0.4155955  0.21320659 0.00119942],0.5501510189048315
1,12,[0.02519111 0.82747646 0.27180272 0.4155955  0.21320659 0.00119942],0.5501510189048315
1,13,[-0.05718943  0.86811371  0.29257665  0.39301032  0.34145738 -0.00201633],0.5488459712189374
1,14,[-0.05718943  0.86811371  0.29257665  0.39301032  0.34145738 -0.00201633],0.5488459712189374
1,15,[-0.05718943  0.86811371  0.29257665  0.39301032  0.34145738 -0.00201633],0.5488459712189374
1,16,[ 0.05627384  0.75051464  0.32858347  0.45762975  0.28104553 -0.002666  ],0.5435674273654587
1,17,[ 0.05627384  0.75051464  0.32858347  0.45762975  0.28104553 -0.002666  ],0.5435674273654587
