Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.03602216 -0.64857133 -0.47733208  0.60211366 -0.15166771 -0.0025008 ],72.82347974543136
1,1,[ 0.03602216 -0.64857133 -0.47733208  0.60211366 -0.15166771 -0.0025008 ],72.82347974543136
1,2,[-0.00728408 -0.67745249 -0.3574133  -0.30493176 -0.65534813  0.00241674],54.27589068288052
1,3,[-0.00728408 -0.67745249 -0.3574133  -0.30493176 -0.65534813  0.00241674],54.27589068288052
1,4,"[ 6.64787553e-01  9.70696800e-01 -4.87467208e-01  2.56155927e-01
 -1.37716283e-01 -3.48655944e-04]",10.41339757479997
1,5,"[ 6.64787553e-01  9.70696800e-01 -4.87467208e-01  2.56155927e-01
 -1.37716283e-01 -3.48655944e-04]",10.41339757479997
1,6,"[ 6.64787553e-01  9.70696800e-01 -4.87467208e-01  2.56155927e-01
 -1.37716283e-01 -3.48655944e-04]",10.41339757479997
1,7,"[ 6.64787553e-01  9.70696800e-01 -4.87467208e-01  2.56155927e-01
 -1.37716283e-01 -3.48655944e-04]",10.41339757479997
1,8,"[ 6.64787553e-01  9.70696800e-01 -4.87467208e-01  2.56155927e-01
 -1.37716283e-01 -3.48655944e-04]",10.41339757479997
1,9,"[ 6.64787553e-01  9.70696800e-01 -4.87467208e-01  2.56155927e-01
 -1.37716283e-01 -3.48655944e-04]",10.41339757479997
1,10,"[ 6.64787553e-01  9.70696800e-01 -4.87467208e-01  2.56155927e-01
 -1.37716283e-01 -3.48655944e-04]",10.41339757479997
1,11,"[ 6.59671861e-01  1.00000000e+00 -4.30408366e-01  2.48132865e-01
 -1.08908857e-01  1.34382782e-04]",7.313377681995721
1,12,"[ 6.59671861e-01  1.00000000e+00 -4.30408366e-01  2.48132865e-01
 -1.08908857e-01  1.34382782e-04]",7.313377681995721
1,13,"[ 6.59671861e-01  1.00000000e+00 -4.30408366e-01  2.48132865e-01
 -1.08908857e-01  1.34382782e-04]",7.313377681995721
1,14,"[ 6.59671861e-01  1.00000000e+00 -4.30408366e-01  2.48132865e-01
 -1.08908857e-01  1.34382782e-04]",7.313377681995721
1,15,"[ 6.59671861e-01  1.00000000e+00 -4.30408366e-01  2.48132865e-01
 -1.08908857e-01  1.34382782e-04]",7.313377681995721
1,16,"[ 6.59671861e-01  1.00000000e+00 -4.30408366e-01  2.48132865e-01
 -1.08908857e-01  1.34382782e-04]",7.313377681995721
1,17,"[ 6.59671861e-01  1.00000000e+00 -4.30408366e-01  2.48132865e-01
 -1.08908857e-01  1.34382782e-04]",7.313377681995721
1,18,"[ 6.59671861e-01  1.00000000e+00 -4.30408366e-01  2.48132865e-01
 -1.08908857e-01  1.34382782e-04]",7.313377681995721
1,19,"[ 6.59671861e-01  1.00000000e+00 -4.30408366e-01  2.48132865e-01
 -1.08908857e-01  1.34382782e-04]",7.313377681995721
1,20,"[ 6.59671861e-01  1.00000000e+00 -4.30408366e-01  2.48132865e-01
 -1.08908857e-01  1.34382782e-04]",7.313377681995721
1,21,"[ 6.59671861e-01  1.00000000e+00 -4.30408366e-01  2.48132865e-01
 -1.08908857e-01  1.34382782e-04]",7.313377681995721
1,22,"[ 6.59671861e-01  1.00000000e+00 -4.30408366e-01  2.48132865e-01
 -1.08908857e-01  1.34382782e-04]",7.313377681995721
1,23,"[ 6.59671861e-01  1.00000000e+00 -4.30408366e-01  2.48132865e-01
 -1.08908857e-01  1.34382782e-04]",7.313377681995721
1,24,"[ 6.59671861e-01  1.00000000e+00 -4.30408366e-01  2.48132865e-01
 -1.08908857e-01  1.34382782e-04]",7.313377681995721
1,25,"[ 5.61323665e-01  1.00000000e+00 -5.27429680e-01  2.35753185e-01
 -9.20407507e-02  5.81742395e-04]",7.225952776370086
1,26,"[ 5.61323665e-01  1.00000000e+00 -5.27429680e-01  2.35753185e-01
 -9.20407507e-02  5.81742395e-04]",7.225952776370086
1,27,"[ 5.61323665e-01  1.00000000e+00 -5.27429680e-01  2.35753185e-01
 -9.20407507e-02  5.81742395e-04]",7.225952776370086
1,28,"[ 5.61323665e-01  1.00000000e+00 -5.27429680e-01  2.35753185e-01
 -9.20407507e-02  5.81742395e-04]",7.225952776370086
1,29,"[ 5.61323665e-01  1.00000000e+00 -5.27429680e-01  2.35753185e-01
 -9.20407507e-02  5.81742395e-04]",7.225952776370086
1,30,[ 0.65270089  1.         -0.42064768  0.21783429 -0.10761915  0.00101636],6.505026935018562
1,31,[ 0.65270089  1.         -0.42064768  0.21783429 -0.10761915  0.00101636],6.505026935018562
1,32,[ 0.65270089  1.         -0.42064768  0.21783429 -0.10761915  0.00101636],6.505026935018562
1,33,[ 0.65270089  1.         -0.42064768  0.21783429 -0.10761915  0.00101636],6.505026935018562
1,34,[ 0.65270089  1.         -0.42064768  0.21783429 -0.10761915  0.00101636],6.505026935018562
1,35,[ 0.65270089  1.         -0.42064768  0.21783429 -0.10761915  0.00101636],6.505026935018562
1,36,[ 0.65270089  1.         -0.42064768  0.21783429 -0.10761915  0.00101636],6.505026935018562
1,37,[ 0.65270089  1.         -0.42064768  0.21783429 -0.10761915  0.00101636],6.505026935018562
1,38,[ 0.65270089  1.         -0.42064768  0.21783429 -0.10761915  0.00101636],6.505026935018562
1,39,[ 0.65270089  1.         -0.42064768  0.21783429 -0.10761915  0.00101636],6.505026935018562
1,40,[ 0.65270089  1.         -0.42064768  0.21783429 -0.10761915  0.00101636],6.505026935018562
1,41,[ 0.65270089  1.         -0.42064768  0.21783429 -0.10761915  0.00101636],6.505026935018562
1,42,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,43,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,44,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,45,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,46,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,47,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,48,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,49,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,50,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,51,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,52,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,53,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,54,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,55,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,56,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,57,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,58,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,59,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,60,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,61,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,62,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,63,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,64,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,65,"[ 7.29955746e-01  9.91982978e-01 -4.37310744e-01  2.91093435e-01
 -1.26819841e-01  7.02311299e-04]",6.262627535471379
1,66,"[ 7.87996384e-01  1.00000000e+00 -4.90550995e-01  3.58479620e-01
 -1.01188688e-01  9.33714260e-04]",6.118050025661245
1,67,"[ 7.87996384e-01  1.00000000e+00 -4.90550995e-01  3.58479620e-01
 -1.01188688e-01  9.33714260e-04]",6.118050025661245
1,68,"[ 7.87996384e-01  1.00000000e+00 -4.90550995e-01  3.58479620e-01
 -1.01188688e-01  9.33714260e-04]",6.118050025661245
