Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.03557379  0.61756028 -0.3334862   0.70339588 -0.50075447  0.03285579],17.8027237447164
1,1,[-0.03933066  0.69001858 -0.28707117  0.64377099 -0.54502743  0.02893897],13.637573987156209
1,2,[ 0.04662369  0.61695965 -0.32536703  0.70035996 -0.53102382 -0.00207096],8.768583553666012
1,3,[-0.05496989  0.64218699 -0.23289641  0.60891448 -0.56061262  0.01247067],6.6564935596167185
1,4,[ 0.03264997  0.69642683 -0.19177184  0.55482886 -0.50246983  0.00594258],5.620419797064615
1,5,[ 0.02591654  0.71398068 -0.16904413  0.70369976 -0.4793421   0.00661447],4.763078642624846
1,6,[ 0.02591654  0.71398068 -0.16904413  0.70369976 -0.4793421   0.00661447],4.763078642624846
1,7,[-0.05353936  0.72092572 -0.14844771  0.77826158 -0.41585283  0.00937489],3.887140257758431
1,8,[-0.07778043  0.92458914 -0.04676809  0.86098214 -0.44881024  0.01639556],3.293130813523068
1,9,[-0.05349348  0.84307938  0.05090382  0.9585121  -0.38836562  0.01052109],2.9434378035456596
1,10,[-0.05349348  0.84307938  0.05090382  0.9585121  -0.38836562  0.01052109],2.9434378035456596
1,11,[-0.05349348  0.84307938  0.05090382  0.9585121  -0.38836562  0.01052109],2.9434378035456596
1,12,[-0.05912468  0.84912564  0.00465929  1.         -0.31336929  0.01313373],2.383887143371444
1,13,[-0.05912468  0.84912564  0.00465929  1.         -0.31336929  0.01313373],2.383887143371444
1,14,[-0.21171518  0.93979742 -0.05901762  1.         -0.22175323  0.01398819],2.3543667499994494
1,15,[-0.21171518  0.93979742 -0.05901762  1.         -0.22175323  0.01398819],2.3543667499994494
1,16,[-0.21171518  0.93979742 -0.05901762  1.         -0.22175323  0.01398819],2.3543667499994494
1,17,"[ 7.89192021e-02  9.37678912e-01  5.45131391e-04  9.57382443e-01
 -2.67634366e-01  1.62597079e-02]",2.2625495322170646
1,18,"[ 7.89192021e-02  9.37678912e-01  5.45131391e-04  9.57382443e-01
 -2.67634366e-01  1.62597079e-02]",2.2625495322170646
1,19,"[ 7.89192021e-02  9.37678912e-01  5.45131391e-04  9.57382443e-01
 -2.67634366e-01  1.62597079e-02]",2.2625495322170646
1,20,"[ 7.89192021e-02  9.37678912e-01  5.45131391e-04  9.57382443e-01
 -2.67634366e-01  1.62597079e-02]",2.2625495322170646
1,21,"[ 7.89192021e-02  9.37678912e-01  5.45131391e-04  9.57382443e-01
 -2.67634366e-01  1.62597079e-02]",2.2625495322170646
