Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.32755368 -0.96352274  0.68062467  0.72954257 -0.62684575  0.05008342],36.68574654368751
1,1,[ 0.53866344  0.72987248  0.60297414 -0.84731081 -0.77680735 -0.0149723 ],11.706243881575588
1,2,[ 0.22605403  0.86916499  0.51490544 -0.76885559 -0.73606133 -0.01757656],11.114955620659282
1,3,[ 0.55801503  0.81216547  0.79093945  0.84448996 -0.56915195 -0.01086516],5.856169911176617
1,4,[ 0.55801503  0.81216547  0.79093945  0.84448996 -0.56915195 -0.01086516],5.856169911176617
1,5,[ 0.55124744  0.78675668  0.84868716  0.75397928 -0.51317553 -0.01015662],5.701647739104893
1,6,[ 0.55124744  0.78675668  0.84868716  0.75397928 -0.51317553 -0.01015662],5.701647739104893
1,7,[ 0.49732918  0.79828025  0.86233787  0.72596511 -0.41526622 -0.0069418 ],5.581787950128678
1,8,[ 0.6463543   0.69121541  0.88664449  0.84411392 -0.4706037  -0.01051441],5.517569948385725
1,9,[ 0.6463543   0.69121541  0.88664449  0.84411392 -0.4706037  -0.01051441],5.517569948385725
1,10,[ 0.51162448  0.77256604  0.95260782  0.75571122 -0.46045536 -0.00957401],5.497717209195347
1,11,[ 0.51162448  0.77256604  0.95260782  0.75571122 -0.46045536 -0.00957401],5.497717209195347
1,12,[ 0.65038075  0.60513177  0.96867289  0.8580713  -0.41501993 -0.01276976],5.400425058847098
1,13,[ 0.65038075  0.60513177  0.96867289  0.8580713  -0.41501993 -0.01276976],5.400425058847098
1,14,[ 0.69624638  0.60288692  0.9441908   0.84797167 -0.4283101  -0.00945938],5.375417980748659
1,15,[ 0.77914613  0.5429024   1.          0.84212688 -0.34384885 -0.00809337],5.26794900615843
1,16,[ 0.77914613  0.5429024   1.          0.84212688 -0.34384885 -0.00809337],5.26794900615843
1,17,[ 0.58415814  0.52839794  0.96120974  0.84313269 -0.37490563 -0.01122249],5.241774474325756
1,18,[ 0.58415814  0.52839794  0.96120974  0.84313269 -0.37490563 -0.01122249],5.241774474325756
1,19,[ 0.67967764  0.52748337  0.93777315  0.90703381 -0.29261437 -0.009911  ],5.106171976834185
1,20,[ 0.67967764  0.52748337  0.93777315  0.90703381 -0.29261437 -0.009911  ],5.106171976834185
1,21,[ 0.67967764  0.52748337  0.93777315  0.90703381 -0.29261437 -0.009911  ],5.106171976834185
1,22,[ 0.67967764  0.52748337  0.93777315  0.90703381 -0.29261437 -0.009911  ],5.106171976834185
1,23,[ 0.67967764  0.52748337  0.93777315  0.90703381 -0.29261437 -0.009911  ],5.106171976834185
1,24,[ 0.54404541  0.64112279  0.9894132   0.943131   -0.31333672 -0.00917154],5.066461605042783
1,25,[ 0.54404541  0.64112279  0.9894132   0.943131   -0.31333672 -0.00917154],5.066461605042783
