Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.51334658 -0.01984666  0.52339974  0.6499584  -0.14449897  0.10745521],1.7669122577164738
1,1,[ 0.46895491  0.22921591 -0.19078716  0.06458781  0.86512464 -0.02469264],1.0216609064715028
1,2,[-0.43944408  0.05741962  0.64695626  0.64846732  0.6731114   0.00249694],0.736410172796325
1,3,[-0.43944408  0.05741962  0.64695626  0.64846732  0.6731114   0.00249694],0.736410172796325
1,4,[-0.33821754  0.15693612  0.56451585  0.66229764  0.77559033  0.02648554],0.6800306986420813
1,5,[-0.27872143  0.12806475  0.50088224  0.62150352  0.82241254  0.01263053],0.6412486568415093
1,6,[-0.20447243  0.17084133  0.76936531  0.6432722   0.60895491 -0.02430648],0.5959697954885587
1,7,[ 0.2404859   0.37998667  0.82762131  0.55801614  0.64775539 -0.06707207],0.5619056334256796
1,8,[ 0.25306236  0.43662627  0.79389392  0.503199    0.59389169 -0.04780303],0.5484120519684543
1,9,[ 0.15568789  0.31869306  0.94301316  0.36717074  0.82627266 -0.02727935],0.5472262091518855
1,10,[ 0.24374784  0.49700632  0.93158493  0.72909025  0.82514302 -0.04946547],0.5434163519594188
1,11,[ 0.05853546  0.36806252  0.87033436  0.43579682  0.81009617 -0.03917426],0.5362478000295304
1,12,[ 0.05853546  0.36806252  0.87033436  0.43579682  0.81009617 -0.03917426],0.5362478000295304
1,13,[ 0.01691868  0.43322722  0.7238887   0.39838019  0.77533059 -0.01962381],0.5292947663520678
1,14,[-0.01813855  0.4546121   0.69262268  0.48882504  0.80645738 -0.03281327],0.5269838911453045
1,15,[ 0.02496193  0.50800864  0.75691356  0.45349002  0.8312621  -0.04040352],0.5269644203881881
1,16,[ 0.10385074  0.58725402  0.74635668  0.35759969  0.84257927 -0.0330037 ],0.5238012666569483
1,17,[ 0.0608266   0.59413174  0.70625601  0.32237496  0.74650669 -0.02361241],0.522895767255625
1,18,[ 0.08489256  0.68006769  0.60718832  0.39824125  0.75075471 -0.03908263],0.5190892650312785
1,19,[ 0.05761135  0.67224562  0.64853883  0.35675571  0.73947233 -0.03877693],0.5188197396205341
1,20,[ 0.05761135  0.67224562  0.64853883  0.35675571  0.73947233 -0.03877693],0.5188197396205341
1,21,[ 0.05761135  0.67224562  0.64853883  0.35675571  0.73947233 -0.03877693],0.5188197396205341
1,22,[ 0.05761135  0.67224562  0.64853883  0.35675571  0.73947233 -0.03877693],0.5188197396205341
1,23,[ 0.05761135  0.67224562  0.64853883  0.35675571  0.73947233 -0.03877693],0.5188197396205341
1,24,[ 0.02060955  0.73241339  0.54514812  0.38624782  0.80833649 -0.03487514],0.5156577714248957
1,25,[ 0.02060955  0.73241339  0.54514812  0.38624782  0.80833649 -0.03487514],0.5156577714248957
1,26,[-0.03596165  0.74601205  0.59824647  0.36651461  0.74754483 -0.02645585],0.5153284678826371
1,27,[-0.03596165  0.74601205  0.59824647  0.36651461  0.74754483 -0.02645585],0.5153284678826371
1,28,[-0.03596165  0.74601205  0.59824647  0.36651461  0.74754483 -0.02645585],0.5153284678826371
1,29,[-0.03596165  0.74601205  0.59824647  0.36651461  0.74754483 -0.02645585],0.5153284678826371
1,30,[-0.03596165  0.74601205  0.59824647  0.36651461  0.74754483 -0.02645585],0.5153284678826371
1,31,[-0.03596165  0.74601205  0.59824647  0.36651461  0.74754483 -0.02645585],0.5153284678826371
1,32,[-0.03596165  0.74601205  0.59824647  0.36651461  0.74754483 -0.02645585],0.5153284678826371
1,33,[-0.03596165  0.74601205  0.59824647  0.36651461  0.74754483 -0.02645585],0.5153284678826371
1,34,[-0.03596165  0.74601205  0.59824647  0.36651461  0.74754483 -0.02645585],0.5153284678826371
1,35,[ 0.04558457  0.89118229  0.60030886  0.39838782  0.79976539 -0.03951036],0.5151991046155213
