Run,Generation,Best X Value,Best Fitness Value
1,0,[0.09943613 0.19539195 0.07789957 0.15485153 0.45493799 0.03428217],1.375283077850422
1,1,[0.04768663 0.19337703 0.08515309 0.10722034 0.48233615 0.00863893],0.7398812091544944
1,2,[0.02677751 0.24599383 0.16181172 0.34125462 0.39654621 0.01361567],0.6634146126917438
1,3,[-0.00057474  0.32965783  0.07596273  0.36595973  0.44339811  0.00598603],0.6087738407714997
1,4,[-0.06131639  0.26284925  0.25766382  0.37292859  0.46566394  0.00393592],0.5789593132182346
1,5,[-0.03740418  0.33977674  0.17379833  0.27892192  0.38806656 -0.00311277],0.5656673602193449
1,6,[-0.03740418  0.33977674  0.17379833  0.27892192  0.38806656 -0.00311277],0.5656673602193449
1,7,[-0.03740418  0.33977674  0.17379833  0.27892192  0.38806656 -0.00311277],0.5656673602193449
1,8,[-0.00246705  0.41834967  0.27057985  0.20019335  0.32536068 -0.00454395],0.550218304546822
1,9,[-0.07789137  0.51530842  0.33558049  0.23303301  0.26842218  0.00230886],0.5477926192993864
1,10,[-0.07789137  0.51530842  0.33558049  0.23303301  0.26842218  0.00230886],0.5477926192993864
1,11,"[-4.77950866e-02  4.68149635e-01  3.55729539e-01  3.17565970e-01
  3.15240962e-01 -4.31804287e-04]",0.5340897181946859
1,12,"[-4.77950866e-02  4.68149635e-01  3.55729539e-01  3.17565970e-01
  3.15240962e-01 -4.31804287e-04]",0.5340897181946859
1,13,"[-4.77950866e-02  4.68149635e-01  3.55729539e-01  3.17565970e-01
  3.15240962e-01 -4.31804287e-04]",0.5340897181946859
1,14,"[-4.77950866e-02  4.68149635e-01  3.55729539e-01  3.17565970e-01
  3.15240962e-01 -4.31804287e-04]",0.5340897181946859
1,15,"[-4.77950866e-02  4.68149635e-01  3.55729539e-01  3.17565970e-01
  3.15240962e-01 -4.31804287e-04]",0.5340897181946859
1,16,"[-4.77950866e-02  4.68149635e-01  3.55729539e-01  3.17565970e-01
  3.15240962e-01 -4.31804287e-04]",0.5340897181946859
1,17,"[-1.60917869e-02  5.20250468e-01  5.36122054e-01  3.71749278e-01
  3.46862174e-01 -3.95761727e-04]",0.5291529900034678
1,18,[-0.02917088  0.50827576  0.41783421  0.39374524  0.27174745 -0.00221473],0.528349244994679
1,19,[-0.05174332  0.36890779  0.6256141   0.38932077  0.18381396  0.0036624 ],0.5228861055850875
1,20,[-0.05174332  0.36890779  0.6256141   0.38932077  0.18381396  0.0036624 ],0.5228861055850875
1,21,[-0.05174332  0.36890779  0.6256141   0.38932077  0.18381396  0.0036624 ],0.5228861055850875
1,22,[-0.05174332  0.36890779  0.6256141   0.38932077  0.18381396  0.0036624 ],0.5228861055850875
1,23,[-0.05174332  0.36890779  0.6256141   0.38932077  0.18381396  0.0036624 ],0.5228861055850875
1,24,[-0.05174332  0.36890779  0.6256141   0.38932077  0.18381396  0.0036624 ],0.5228861055850875
1,25,[-0.05174332  0.36890779  0.6256141   0.38932077  0.18381396  0.0036624 ],0.5228861055850875
1,26,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,27,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,28,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,29,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,30,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,31,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,32,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,33,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,34,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,35,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,36,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,37,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,38,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,39,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,40,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,41,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,42,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,43,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,44,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,45,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,46,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,47,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,48,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,49,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,50,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,51,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,52,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,53,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,54,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,55,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,56,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,57,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,58,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,59,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,60,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,61,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,62,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,63,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,64,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,65,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,66,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,67,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,68,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,69,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,70,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,71,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,72,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,73,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,74,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,75,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,76,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,77,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,78,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,79,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,80,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,81,[-0.04651444  0.3223573   0.55529719  0.36569435  0.07665951  0.00114354],0.520197274755848
1,82,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,83,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,84,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,85,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,86,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,87,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,88,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,89,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,90,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,91,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,92,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,93,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,94,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,95,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,96,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,97,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,98,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
1,99,"[-4.18920328e-02  3.86836108e-01  5.44631046e-01  4.18277219e-01
  8.78631209e-02  1.70309655e-04]",0.5197985041441279
