Agent_ID,Kick_Time,Bearing_To_Focal,vx,vy
3,0.8,0.0,0.0,0.0
5,0.8,1.620921528,0.0,0.0
4,0.8,3.986261971,0.0,0.0
1,0.8,4.429135802,0.0,0.0
2,0.8,6.193203386,0.0,0.0
3,1.28,0.0,-0.0833,-0.0762
1,1.28,0.149990403,-0.0149,-0.0455
2,1.28,0.60293205,-0.0441,-0.0285
5,1.28,0.971813475,-0.0405,-0.0456
4,1.28,5.010887912,-0.0301,-0.0618
3,2.2,0.0,-0.0458,-0.0795
1,2.2,0.148226084,-0.0638,-0.0823
2,2.2,1.118266638,-0.0817,-0.0633
5,2.2,1.290714627,-0.0594,-0.0437
4,2.2,4.99670193,-0.0389,-0.1049
3,3.32,0.0,0.0471,-0.1627
2,3.32,0.987348557,0.0541,-0.1683
1,3.32,1.244884909,0.0102,-0.1477
5,3.32,2.005796614,-0.0385,-0.1344
4,3.32,5.235178066,0.0468,-0.133
3,3.68,0.0,0.1137,-0.033
2,3.68,1.816775991,0.065,-0.0419
5,3.68,2.346129703,0.088,-0.0723
1,3.68,2.582993338,0.0592,-0.0251
4,3.68,3.698218986,0.0374,-0.0404
3,4.08,0.0,0.0811,-0.0061
2,4.08,1.664273108,0.0887,-0.0083
5,4.08,2.594477572,0.0772,-0.0381
1,4.08,3.094536005,0.0561,-0.0322
4,4.08,3.68877438,0.0516,-0.0233
3,5.08,0.0,0.1661,0.0976
2,5.08,2.003204102,0.1577,0.0801
5,5.08,2.9211336,0.2063,0.0549
1,5.08,3.85799145,0.1741,0.0383
4,5.08,3.956191224,0.1635,0.0548
3,5.64,0.0,-0.0025,0.0794
2,5.64,1.453548112,0.015,0.0937
5,5.64,2.900128914,0.018,0.0754
1,5.64,4.297090758,0.0393,0.0845
4,5.64,4.345443093,0.0437,0.0587
3,7.72,0.0,-0.1519,0.1795
2,7.72,2.195021216,-0.1756,0.164
5,7.72,3.625097465,-0.1929,0.1373
4,7.72,4.916704845,-0.0929,0.2305
1,7.72,5.46250767,-0.0967,0.1951
3,8.84,0.0,-0.1754,-0.0387
4,8.84,0.110551278,-0.0856,0.0394
1,8.84,0.342271382,-0.1661,0.0115
2,8.84,1.126166176,-0.1303,-0.0096
5,8.84,5.674790794,-0.073,-0.0272
3,10.4,0.0,-0.0766,-0.103
4,10.4,0.553405783,-0.1229,-0.0791
1,10.4,0.789653457,-0.0953,-0.0944
2,10.4,2.774207448,-0.1346,-0.146
