Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.03854251  0.20987431 -0.53933082  0.55895013 -0.80529137  0.00176316],60.95273033266178
1,1,[-0.99332441 -0.83313321 -0.01746339  0.19202287 -0.29040588 -0.02432996],27.713809311866946
1,2,[ 0.90321452  0.49717934  0.58553517 -1.          0.51380318  0.01891168],19.822527698142334
1,3,[-1.         -0.92316162 -0.03496347  0.40885798 -0.2399111   0.00492219],18.512821394509523
1,4,[-1.         -0.92316162 -0.03496347  0.40885798 -0.2399111   0.00492219],18.512821394509523
1,5,[-0.97428725 -0.96004632  0.02805176  0.31952501  0.4565192   0.00827571],13.972095100000196
1,6,[-0.98280131  0.55290257  0.53360265 -0.87361375  0.68386708  0.02743018],11.980286687715173
1,7,[-1.          0.49053611  0.45717679 -0.84263216  0.72298239  0.0198448 ],10.233886536633758
1,8,[-0.87292345  0.43365825  0.52494937 -0.87475652  0.75399129  0.01761993],9.853738509490546
1,9,[-0.96467392  0.38956252  0.45022051 -0.83438034  0.84618035  0.01678083],8.39369833897734
1,10,[-0.96467392  0.38956252  0.45022051 -0.83438034  0.84618035  0.01678083],8.39369833897734
1,11,[-0.93427557  0.31192054  0.50853546 -0.77931087  0.93756274  0.02161914],6.836297009318158
1,12,[-0.93427557  0.31192054  0.50853546 -0.77931087  0.93756274  0.02161914],6.836297009318158
1,13,[-0.90072097  0.2345185   0.51125205 -0.79119563  1.          0.023128  ],6.415240700658544
1,14,[-0.90072097  0.2345185   0.51125205 -0.79119563  1.          0.023128  ],6.415240700658544
1,15,[-0.85489167  0.35810572  0.52135308 -0.68284717  0.99099139  0.02313283],5.762043851895272
1,16,[-0.92362673  0.30953991  0.5887639  -0.60638531  1.          0.02214495],5.494218540076695
1,17,[-0.92362673  0.30953991  0.5887639  -0.60638531  1.          0.02214495],5.494218540076695
1,18,[-0.92362673  0.30953991  0.5887639  -0.60638531  1.          0.02214495],5.494218540076695
1,19,[-0.90503298  0.22581494  0.54994391 -0.60804805  1.          0.01783827],5.490014334903204
1,20,[-0.82239917  0.27609834  0.52379331 -0.58872525  1.          0.01977317],5.182679694408461
1,21,[-0.82116295  0.23191869  0.55701662 -0.51677062  1.          0.02153081],5.011357019832766
1,22,[-0.82116295  0.23191869  0.55701662 -0.51677062  1.          0.02153081],5.011357019832766
1,23,[-0.82116295  0.23191869  0.55701662 -0.51677062  1.          0.02153081],5.011357019832766
1,24,[-0.80673829  0.29050632  0.62241567 -0.44525723  0.97336103  0.01635174],4.479702982863782
1,25,[-0.80673829  0.29050632  0.62241567 -0.44525723  0.97336103  0.01635174],4.479702982863782
1,26,[-0.80673829  0.29050632  0.62241567 -0.44525723  0.97336103  0.01635174],4.479702982863782
1,27,[-0.74923236  0.36194599  0.67710115 -0.37294653  1.          0.01424645],3.8762070434385016
1,28,[-0.74923236  0.36194599  0.67710115 -0.37294653  1.          0.01424645],3.8762070434385016
1,29,[-0.74923236  0.36194599  0.67710115 -0.37294653  1.          0.01424645],3.8762070434385016
1,30,[-0.65287133  0.44292687  0.73683585 -0.34568717  1.          0.01205699],3.554651016173959
1,31,[-0.65287133  0.44292687  0.73683585 -0.34568717  1.          0.01205699],3.554651016173959
