Run,Generation,Best X Value,Best Fitness Value
1,0,[0.67618983 0.32132729 0.79843589 0.93950432 0.79882062 0.74648229],1.710550039204436
1,1,[0.63283047 0.39289439 0.85287415 0.95328998 0.76541895 0.83177171],1.5881284420859114
1,2,[0.61303342 0.47376693 0.85530439 0.88324121 0.73121409 0.6283646 ],1.4556710405156568
1,3,[0.47819197 0.53555181 0.75444702 0.85102423 0.84473999 0.6685082 ],1.3772450344254368
1,4,[0.50194177 0.62904936 0.823242   0.85592925 0.78219982 0.73690025],1.2972922556572208
1,5,[0.49560544 0.66323308 0.78824231 0.80378296 0.77909115 0.48968319],1.2741984627369767
1,6,[0.44694473 0.71874476 1.         0.89316934 0.74455759 0.70167734],1.2323138684636377
1,7,[0.30940685 0.72084855 0.82365937 0.77914034 0.809203   0.57251917],1.1946857892085776
1,8,[0.34331955 0.85883455 0.96505587 0.80865173 0.69056949 0.72250692],1.1756948653275263
1,9,[0.21449699 0.8413339  0.8524413  0.70355195 0.73105851 0.443952  ],1.1370616804961526
1,10,[0.13747717 0.82018419 0.9484094  0.78583222 0.6665373  0.50168043],1.1280125541232071
1,11,[0.14911759 0.9141507  0.98991368 0.76121161 0.72632517 0.82294764],1.1113435948451897
1,12,[0.05864429 0.8710058  0.97331952 0.75748915 0.7194139  0.91115163],1.095301416809411
1,13,[0.05864429 0.8710058  0.97331952 0.75748915 0.7194139  0.91115163],1.095301416809411
1,14,[-0.01171842  0.82363824  0.90791814  0.74214091  0.72989345  0.96470286],1.0924001435544328
1,15,[-0.01171842  0.82363824  0.90791814  0.74214091  0.72989345  0.96470286],1.0924001435544328
1,16,[-0.01171842  0.82363824  0.90791814  0.74214091  0.72989345  0.96470286],1.0924001435544328
1,17,[0.00518474 0.89350727 1.         0.72665178 0.68712027 0.81214794],1.0921830650271855
1,18,[0.00518474 0.89350727 1.         0.72665178 0.68712027 0.81214794],1.0921830650271855
1,19,[0.00518474 0.89350727 1.         0.72665178 0.68712027 0.81214794],1.0921830650271855
1,20,[0.00518474 0.89350727 1.         0.72665178 0.68712027 0.81214794],1.0921830650271855
1,21,[0.02150814 0.84367113 1.         0.78078728 0.73590879 0.78023813],1.0920699964871405
1,22,[0.02150814 0.84367113 1.         0.78078728 0.73590879 0.78023813],1.0920699964871405
1,23,[0.01386553 0.90306591 0.99685822 0.79812834 0.76573162 0.92150665],1.089439474123668
1,24,[0.01386553 0.90306591 0.99685822 0.79812834 0.76573162 0.92150665],1.089439474123668
1,25,[0.01386553 0.90306591 0.99685822 0.79812834 0.76573162 0.92150665],1.089439474123668
1,26,[0.01386553 0.90306591 0.99685822 0.79812834 0.76573162 0.92150665],1.089439474123668
1,27,[0.01386553 0.90306591 0.99685822 0.79812834 0.76573162 0.92150665],1.089439474123668
1,28,[0.01386553 0.90306591 0.99685822 0.79812834 0.76573162 0.92150665],1.089439474123668
1,29,[0.01386553 0.90306591 0.99685822 0.79812834 0.76573162 0.92150665],1.089439474123668
1,30,[-0.00389603  0.85635005  0.93745848  0.74403688  0.7293533   0.88133302],1.0892767836464046
1,31,[0.00458766 0.8612053  1.         0.79732623 0.74917072 0.87402107],1.0888548893398011
1,32,[0.00458766 0.8612053  1.         0.79732623 0.74917072 0.87402107],1.0888548893398011
1,33,[0.00458766 0.8612053  1.         0.79732623 0.74917072 0.87402107],1.0888548893398011
1,34,[0.00458766 0.8612053  1.         0.79732623 0.74917072 0.87402107],1.0888548893398011
1,35,[0.00458766 0.8612053  1.         0.79732623 0.74917072 0.87402107],1.0888548893398011
1,36,[0.00458766 0.8612053  1.         0.79732623 0.74917072 0.87402107],1.0888548893398011
1,37,[0.00458766 0.8612053  1.         0.79732623 0.74917072 0.87402107],1.0888548893398011
1,38,[-0.00295643  0.7838298   0.8535803   0.6724664   0.64494951  0.79283914],1.0888073995808853
1,39,[-0.00295643  0.7838298   0.8535803   0.6724664   0.64494951  0.79283914],1.0888073995808853
1,40,[-0.00295643  0.7838298   0.8535803   0.6724664   0.64494951  0.79283914],1.0888073995808853
1,41,[-0.00295643  0.7838298   0.8535803   0.6724664   0.64494951  0.79283914],1.0888073995808853
1,42,[-0.00295643  0.7838298   0.8535803   0.6724664   0.64494951  0.79283914],1.0888073995808853
