Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.68407346  0.8032365  -0.01345195  0.12124809  0.23366883  0.01689422],7.212088465555194
1,1,[ 0.68375099  0.84664927 -0.01226099  0.16965449  0.15971506 -0.000903  ],5.6839492703831365
1,2,[-0.88907167  0.91040304  0.86285474 -0.23332742  0.0921946  -0.02260425],4.798690925044915
1,3,[ 0.71924198  0.92547105 -0.0591808   0.26535065  0.07406082  0.01662464],4.104422873889882
1,4,[ 0.74612104  0.96935187 -0.13350407  0.35429817  0.01872774  0.00970798],2.7203039472770527
1,5,[ 0.74612104  0.96935187 -0.13350407  0.35429817  0.01872774  0.00970798],2.7203039472770527
1,6,[ 0.74612104  0.96935187 -0.13350407  0.35429817  0.01872774  0.00970798],2.7203039472770527
1,7,[ 0.74612104  0.96935187 -0.13350407  0.35429817  0.01872774  0.00970798],2.7203039472770527
1,8,[ 0.74612104  0.96935187 -0.13350407  0.35429817  0.01872774  0.00970798],2.7203039472770527
1,9,[ 0.66619776  0.96943898 -0.1784607   0.45084133  0.05363688  0.01156237],2.3585235135063582
1,10,[ 0.66619776  0.96943898 -0.1784607   0.45084133  0.05363688  0.01156237],2.3585235135063582
1,11,[ 0.65359756  0.98177765 -0.08825913  0.44940058  0.09270075  0.01075289],2.1936216247383644
1,12,[ 0.65359756  0.98177765 -0.08825913  0.44940058  0.09270075  0.01075289],2.1936216247383644
1,13,[ 0.65359756  0.98177765 -0.08825913  0.44940058  0.09270075  0.01075289],2.1936216247383644
1,14,[ 0.65359756  0.98177765 -0.08825913  0.44940058  0.09270075  0.01075289],2.1936216247383644
1,15,[ 0.65359756  0.98177765 -0.08825913  0.44940058  0.09270075  0.01075289],2.1936216247383644
1,16,[ 0.65359756  0.98177765 -0.08825913  0.44940058  0.09270075  0.01075289],2.1936216247383644
1,17,[ 0.65359756  0.98177765 -0.08825913  0.44940058  0.09270075  0.01075289],2.1936216247383644
1,18,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,19,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,20,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,21,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,22,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,23,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,24,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,25,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,26,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,27,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,28,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,29,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,30,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,31,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,32,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,33,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,34,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,35,[ 0.59087721  0.87354388 -0.10947686  0.5175075   0.14373506  0.0102559 ],2.0055368714590744
1,36,[ 0.53150201  0.69295518 -0.01635041  0.49298118  0.22235016  0.00655037],1.921647875305681
1,37,[ 0.5253338   0.90363986 -0.09191118  0.57202339  0.14611055  0.01322694],1.885629454802315
1,38,[ 0.5253338   0.90363986 -0.09191118  0.57202339  0.14611055  0.01322694],1.885629454802315
1,39,[0.36418489 0.65227511 0.03576931 0.51541648 0.33079064 0.00598874],1.7525329453754035
1,40,[0.36418489 0.65227511 0.03576931 0.51541648 0.33079064 0.00598874],1.7525329453754035
1,41,[0.36418489 0.65227511 0.03576931 0.51541648 0.33079064 0.00598874],1.7525329453754035
1,42,[0.36418489 0.65227511 0.03576931 0.51541648 0.33079064 0.00598874],1.7525329453754035
1,43,[0.34863473 0.74622758 0.06149218 0.51924209 0.29124791 0.01057792],1.6424651473236673
