Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.63598543 -0.90822298 -0.44561797  0.41120065 -0.69740705 -0.00630481],41.796038395169965
1,1,[ 0.78776142  0.05623533 -0.27343397  0.42337778  0.32118847  0.00362815],15.729475987974798
1,2,[ 0.78776142  0.05623533 -0.27343397  0.42337778  0.32118847  0.00362815],15.729475987974798
1,3,[-0.8276534   0.45090426  0.31115884  0.38738452 -0.74064282  0.00092923],7.5747336074605895
1,4,[-0.8276534   0.45090426  0.31115884  0.38738452 -0.74064282  0.00092923],7.5747336074605895
1,5,"[-8.42716764e-01  3.32483554e-01  3.19486199e-01  3.99072541e-01
 -5.67860486e-01 -3.58582363e-04]",7.1984535420413085
1,6,[-0.89222767  0.53690057  0.45992738  0.32093887 -0.62079136 -0.00899508],7.124634410145388
1,7,[-0.89222767  0.53690057  0.45992738  0.32093887 -0.62079136 -0.00899508],7.124634410145388
1,8,[-0.89222767  0.53690057  0.45992738  0.32093887 -0.62079136 -0.00899508],7.124634410145388
1,9,[-0.91951245  0.61517007  0.55979896  0.31206608 -0.56816232 -0.00824502],6.214153243233544
1,10,[-0.91951245  0.61517007  0.55979896  0.31206608 -0.56816232 -0.00824502],6.214153243233544
1,11,[-0.91951245  0.61517007  0.55979896  0.31206608 -0.56816232 -0.00824502],6.214153243233544
1,12,[-0.8983559   0.68992941  0.61206006  0.28918517 -0.54157721  0.00436749],6.075369309787178
1,13,[-0.89704073  0.65378203  0.57188495  0.31959968 -0.46822616 -0.00656762],5.478498193444172
1,14,[-0.89704073  0.65378203  0.57188495  0.31959968 -0.46822616 -0.00656762],5.478498193444172
1,15,[-0.88190573  0.69434157  0.63018898  0.41925255 -0.40533044 -0.00346833],4.597096294266912
1,16,[-0.88190573  0.69434157  0.63018898  0.41925255 -0.40533044 -0.00346833],4.597096294266912
1,17,[-0.88190573  0.69434157  0.63018898  0.41925255 -0.40533044 -0.00346833],4.597096294266912
1,18,[-0.88190573  0.69434157  0.63018898  0.41925255 -0.40533044 -0.00346833],4.597096294266912
1,19,[-0.88190573  0.69434157  0.63018898  0.41925255 -0.40533044 -0.00346833],4.597096294266912
1,20,[-0.88190573  0.69434157  0.63018898  0.41925255 -0.40533044 -0.00346833],4.597096294266912
1,21,[-0.88190573  0.69434157  0.63018898  0.41925255 -0.40533044 -0.00346833],4.597096294266912
1,22,[-1.          0.74242991  0.72953684  0.55223329 -0.42341901 -0.00547189],4.448578265108492
1,23,[-0.93493541  0.75544603  0.68866081  0.6077345  -0.47222203 -0.00138904],4.385811856786784
1,24,[-0.9276333   0.72765352  0.67381293  0.62749273 -0.40591845 -0.00238762],4.1785139942993395
1,25,[-0.9276333   0.72765352  0.67381293  0.62749273 -0.40591845 -0.00238762],4.1785139942993395
1,26,[-0.82279665  0.85855343  0.71270271  0.70524307 -0.40776924 -0.00608971],3.8438483000027936
1,27,[-0.82279665  0.85855343  0.71270271  0.70524307 -0.40776924 -0.00608971],3.8438483000027936
1,28,[-0.82279665  0.85855343  0.71270271  0.70524307 -0.40776924 -0.00608971],3.8438483000027936
1,29,[-0.82279665  0.85855343  0.71270271  0.70524307 -0.40776924 -0.00608971],3.8438483000027936
1,30,[-0.72803414  0.89772625  0.70592879  0.73780044 -0.45098921 -0.00412672],3.7464921139101004
1,31,[-0.72803414  0.89772625  0.70592879  0.73780044 -0.45098921 -0.00412672],3.7464921139101004
1,32,[-0.84213257  0.72923319  0.81598243  0.53116528 -0.23730111 -0.00371818],3.4189345364445853
1,33,[-0.75315883  0.78605602  0.90142897  0.60902497 -0.22816078 -0.00110913],3.1603024640334527
1,34,[-0.71045767  0.88588052  0.98515585  0.67577521 -0.28117015 -0.0041221 ],3.0569676017814946
1,35,[-0.71045767  0.88588052  0.98515585  0.67577521 -0.28117015 -0.0041221 ],3.0569676017814946
1,36,[-0.63611327  0.91952082  0.9408149   0.70717854 -0.21376584 -0.00388103],2.8374862983656195
1,37,[-0.63611327  0.91952082  0.9408149   0.70717854 -0.21376584 -0.00388103],2.8374862983656195
1,38,[-0.63611327  0.91952082  0.9408149   0.70717854 -0.21376584 -0.00388103],2.8374862983656195
1,39,[-0.63611327  0.91952082  0.9408149   0.70717854 -0.21376584 -0.00388103],2.8374862983656195
1,40,[-0.6496227   0.93479845  0.99167662  0.82430852 -0.20340266 -0.00803314],2.827827836547029
1,41,[-0.6496227   0.93479845  0.99167662  0.82430852 -0.20340266 -0.00803314],2.827827836547029
1,42,[-0.6496227   0.93479845  0.99167662  0.82430852 -0.20340266 -0.00803314],2.827827836547029
1,43,[-0.6496227   0.93479845  0.99167662  0.82430852 -0.20340266 -0.00803314],2.827827836547029
1,44,[-0.58695547  0.9290805   0.9448467   0.69147037 -0.17032709 -0.00308119],2.757873335620908
1,45,[-0.58695547  0.9290805   0.9448467   0.69147037 -0.17032709 -0.00308119],2.757873335620908
1,46,[-0.58695547  0.9290805   0.9448467   0.69147037 -0.17032709 -0.00308119],2.757873335620908
1,47,[-0.60515944  0.84348335  0.99668712  0.88428413 -0.1430851  -0.00336274],2.5653126117764384
1,48,[-0.60515944  0.84348335  0.99668712  0.88428413 -0.1430851  -0.00336274],2.5653126117764384
1,49,[-0.56301756  0.82163474  0.98848276  0.86862002 -0.04462704 -0.00299622],2.345901225430991
1,50,[-0.56301756  0.82163474  0.98848276  0.86862002 -0.04462704 -0.00299622],2.345901225430991
1,51,[-0.56301756  0.82163474  0.98848276  0.86862002 -0.04462704 -0.00299622],2.345901225430991
1,52,[-0.61888252  0.76348521  0.85376018  0.94501855 -0.00956307 -0.00206366],2.2090430610446266
1,53,[-0.61888252  0.76348521  0.85376018  0.94501855 -0.00956307 -0.00206366],2.2090430610446266
1,54,[-0.61888252  0.76348521  0.85376018  0.94501855 -0.00956307 -0.00206366],2.2090430610446266
1,55,[-0.61888252  0.76348521  0.85376018  0.94501855 -0.00956307 -0.00206366],2.2090430610446266
1,56,[-0.61888252  0.76348521  0.85376018  0.94501855 -0.00956307 -0.00206366],2.2090430610446266
1,57,"[-5.81354706e-01  7.03748215e-01  1.00000000e+00  1.00000000e+00
 -6.13855020e-04 -3.75139552e-03]",2.1671304024312557
1,58,"[-5.81354706e-01  7.03748215e-01  1.00000000e+00  1.00000000e+00
 -6.13855020e-04 -3.75139552e-03]",2.1671304024312557
1,59,"[-5.81354706e-01  7.03748215e-01  1.00000000e+00  1.00000000e+00
 -6.13855020e-04 -3.75139552e-03]",2.1671304024312557
1,60,"[-5.81354706e-01  7.03748215e-01  1.00000000e+00  1.00000000e+00
 -6.13855020e-04 -3.75139552e-03]",2.1671304024312557
1,61,[-0.64748197  0.80406493  0.98970396  0.9523241   0.02045603 -0.00459971],2.151002102102997
1,62,[-0.64748197  0.80406493  0.98970396  0.9523241   0.02045603 -0.00459971],2.151002102102997
1,63,[-0.64748197  0.80406493  0.98970396  0.9523241   0.02045603 -0.00459971],2.151002102102997
1,64,[-0.67942266  0.74744607  0.96103207  1.          0.09359973 -0.00549276],2.0964614036510687
1,65,[-0.61176591  0.58466474  0.87944124  0.92326438  0.05706032 -0.00407106],2.0847987311855913
1,66,"[-6.10516938e-01  6.45324076e-01  8.04496972e-01  9.37750057e-01
  1.35821739e-01  2.83579211e-04]",1.944337223523206
1,67,"[-6.10516938e-01  6.45324076e-01  8.04496972e-01  9.37750057e-01
  1.35821739e-01  2.83579211e-04]",1.944337223523206
1,68,"[-6.10516938e-01  6.45324076e-01  8.04496972e-01  9.37750057e-01
  1.35821739e-01  2.83579211e-04]",1.944337223523206
1,69,"[-6.10516938e-01  6.45324076e-01  8.04496972e-01  9.37750057e-01
  1.35821739e-01  2.83579211e-04]",1.944337223523206
