Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.02531529  0.35894276  0.8985656   0.88733352  0.43580328 -0.52379986],1.5738693149886478
1,1,[ 0.11440278  0.41488444  0.80646743  0.82214383  0.53282118 -0.48929581],1.2572582277995177
1,2,[-0.07167506  0.46494325  0.80210813  0.8049947   0.48341861 -0.54338592],1.2206477602464212
1,3,[ 0.0497887   0.48876161  0.75849673  0.69645167  0.57599868 -0.54866385],1.1571073325994785
1,4,[ 0.05219549  0.60463385  0.81116661  0.72914237  0.66646341 -0.36059654],1.131927091446684
1,5,[-0.02526704  0.6237352   0.74039602  0.69108288  0.61334007 -0.32133623],1.116490554900715
1,6,[-0.02526704  0.6237352   0.74039602  0.69108288  0.61334007 -0.32133623],1.116490554900715
1,7,[-0.02526704  0.6237352   0.74039602  0.69108288  0.61334007 -0.32133623],1.116490554900715
1,8,[-0.03478071  0.58335232  0.71446221  0.67784719  0.61000542 -0.39686698],1.110537507236497
1,9,[-0.03478071  0.58335232  0.71446221  0.67784719  0.61000542 -0.39686698],1.110537507236497
1,10,[-0.03478071  0.58335232  0.71446221  0.67784719  0.61000542 -0.39686698],1.110537507236497
1,11,[-0.03478071  0.58335232  0.71446221  0.67784719  0.61000542 -0.39686698],1.110537507236497
1,12,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,13,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,14,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,15,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,16,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,17,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,18,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,19,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,20,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,21,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,22,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,23,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,24,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,25,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,26,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,27,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,28,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,29,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,30,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,31,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,32,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,33,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,34,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,35,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,36,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,37,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,38,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,39,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,40,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,41,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,42,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
1,43,[-0.02217095  0.59680361  0.68138043  0.6206983   0.60282024 -0.41950247],1.1093626917149702
