Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.5397379   0.85066086 -0.1052725  -0.59133771  0.95252074  0.05337121],46.02380000000004
1,1,[ 0.75276377 -0.31195881  0.6251468  -0.02518468  0.86366611 -0.02225581],35.17010000000002
1,2,[ 0.57940075 -0.58960046  0.83023531  1.          0.75430106 -0.03718862],29.17280000000001
1,3,[ 0.49616435 -0.55455002  0.858581    0.90436472  0.67926889 -0.00552007],23.7429
1,4,[ 0.49616435 -0.55455002  0.858581    0.90436472  0.67926889 -0.00552007],23.7429
1,5,[ 0.52432544 -0.47221904  0.93169523  0.83340541  0.65099006  0.00451231],23.450900000000004
1,6,[ 0.52432544 -0.47221904  0.93169523  0.83340541  0.65099006  0.00451231],23.450900000000004
1,7,[ 0.45980446 -0.3783928   0.92936707  0.92371647  0.73144174 -0.01493514],23.415399999999998
1,8,[ 0.48081555 -0.34786751  0.84829478  1.          0.81529375 -0.00244554],22.495499999999996
1,9,[ 0.40868983 -0.25123768  0.82942205  0.78995434  0.66277236  0.00202133],22.34749999999999
1,10,[ 0.40868983 -0.25123768  0.82942205  0.78995434  0.66277236  0.00202133],22.34749999999999
1,11,[ 0.40868983 -0.25123768  0.82942205  0.78995434  0.66277236  0.00202133],22.34749999999999
1,12,[ 0.34627103 -0.26292516  1.          0.95868903  0.87650405  0.00914931],21.66559999999999
1,13,[ 0.34627103 -0.26292516  1.          0.95868903  0.87650405  0.00914931],21.66559999999999
1,14,[ 0.30493883 -0.18651115  0.69236663  1.          0.90508242  0.00937397],21.46389999999999
1,15,[ 0.30493883 -0.18651115  0.69236663  1.          0.90508242  0.00937397],21.46389999999999
1,16,[ 0.23618005 -0.12198428  0.61208367  1.          0.98053791  0.0087538 ],21.065099999999994
1,17,[ 0.14001757 -0.04538443  0.65369061  1.          0.92001607  0.02226705],20.88069999999999
1,18,[0.1551588  0.00260623 0.6171866  0.92950697 0.99344238 0.00314993],20.69449999999999
1,19,[0.09458163 0.0383463  0.60669991 0.95462825 1.         0.00393813],20.54889999999999
1,20,[0.09458163 0.0383463  0.60669991 0.95462825 1.         0.00393813],20.54889999999999
1,21,[0.02981848 0.14837819 0.71564864 0.90879581 0.94436121 0.02387037],20.213399999999996
1,22,[0.02981848 0.14837819 0.71564864 0.90879581 0.94436121 0.02387037],20.213399999999996
1,23,[0.02981848 0.14837819 0.71564864 0.90879581 0.94436121 0.02387037],20.213399999999996
1,24,[0.0040743  0.19433167 0.68156089 1.         0.99826916 0.02307204],20.0943
1,25,[0.0040743  0.19433167 0.68156089 1.         0.99826916 0.02307204],20.0943
1,26,[0.0040743  0.19433167 0.68156089 1.         0.99826916 0.02307204],20.0943
1,27,[0.0040743  0.19433167 0.68156089 1.         0.99826916 0.02307204],20.0943
1,28,[-0.04418895  0.24699039  0.72161992  1.          1.          0.01981983],20.073099999999997
1,29,[-0.02338314  0.27491192  0.68705096  1.          0.96512533  0.02015876],20.00540000000002
1,30,[-0.02338314  0.27491192  0.68705096  1.          0.96512533  0.02015876],20.00540000000002
1,31,[-0.01785079  0.33753491  0.72834245  1.          0.92849535  0.02651816],19.994
1,32,[-0.01785079  0.33753491  0.72834245  1.          0.92849535  0.02651816],19.994
1,33,[-0.01785079  0.33753491  0.72834245  1.          0.92849535  0.02651816],19.994
1,34,[-0.01545172  0.34567721  0.7026928   0.90011516  1.          0.02741039],19.923699999999986
1,35,[-0.01545172  0.34567721  0.7026928   0.90011516  1.          0.02741039],19.923699999999986
1,36,[-0.05326561  0.41670596  0.54196703  1.          0.94783609  0.01851297],19.83429999999998
1,37,[-0.05326561  0.41670596  0.54196703  1.          0.94783609  0.01851297],19.83429999999998
1,38,[-0.05326561  0.41670596  0.54196703  1.          0.94783609  0.01851297],19.83429999999998
1,39,[0.04072332 0.50183969 0.59045268 0.98261806 1.         0.01322449],19.792599999999993
1,40,[0.04072332 0.50183969 0.59045268 0.98261806 1.         0.01322449],19.792599999999993
1,41,[0.04072332 0.50183969 0.59045268 0.98261806 1.         0.01322449],19.792599999999993
1,42,[-0.01806891  0.51123842  0.52255152  0.91052864  1.          0.01644122],19.685299999999998
1,43,[-0.01806891  0.51123842  0.52255152  0.91052864  1.          0.01644122],19.685299999999998
1,44,[-0.01806891  0.51123842  0.52255152  0.91052864  1.          0.01644122],19.685299999999998
1,45,[-0.01806891  0.51123842  0.52255152  0.91052864  1.          0.01644122],19.685299999999998
1,46,[-0.0111256   0.57233281  0.52059642  0.94302107  0.98404293  0.01444007],19.68519999999999
1,47,[-0.10012716  0.6425732   0.45891743  0.94753186  0.98022836  0.02322346],19.610600000000005
1,48,[-0.10012716  0.6425732   0.45891743  0.94753186  0.98022836  0.02322346],19.610600000000005
1,49,[-0.10012716  0.6425732   0.45891743  0.94753186  0.98022836  0.02322346],19.610600000000005
1,50,[-0.08402154  0.73121964  0.43682771  0.94452715  0.98107292  0.0319693 ],19.6081
1,51,[-0.14609671  0.71297059  0.41903702  0.89970711  0.94938403  0.03061583],19.6013
1,52,[-0.14609671  0.71297059  0.41903702  0.89970711  0.94938403  0.03061583],19.6013
1,53,[-0.13658034  0.80197875  0.34113608  1.          1.          0.02236565],19.553799999999978
1,54,[-0.13658034  0.80197875  0.34113608  1.          1.          0.02236565],19.553799999999978
1,55,[-0.06097627  0.69896088  0.38449689  0.905798    0.9618987   0.02181222],19.517000000000007
1,56,[-0.12005117  0.72345562  0.25550916  0.90149088  0.94808971  0.0213825 ],19.515699999999985
1,57,[-0.03085495  0.63568917  0.28399309  0.85104565  0.87372523  0.01707059],19.514399999999995
1,58,[-0.09025853  0.82416214  0.27570961  0.97578105  0.92107203  0.02048402],19.4854
1,59,[-0.09025853  0.82416214  0.27570961  0.97578105  0.92107203  0.02048402],19.4854
1,60,[-0.09025853  0.82416214  0.27570961  0.97578105  0.92107203  0.02048402],19.4854
1,61,[-0.06350635  0.77568107  0.35110601  0.85984999  0.93561356  0.02097341],19.460299999999993
1,62,[-0.06350635  0.77568107  0.35110601  0.85984999  0.93561356  0.02097341],19.460299999999993
1,63,[-0.06350635  0.77568107  0.35110601  0.85984999  0.93561356  0.02097341],19.460299999999993
1,64,[-0.00849052  0.70588745  0.21250849  0.72504088  0.99529811  0.01582168],19.439000000000007
1,65,[-0.00849052  0.70588745  0.21250849  0.72504088  0.99529811  0.01582168],19.439000000000007
1,66,[-0.00849052  0.70588745  0.21250849  0.72504088  0.99529811  0.01582168],19.439000000000007
1,67,[-0.00849052  0.70588745  0.21250849  0.72504088  0.99529811  0.01582168],19.439000000000007
