Experiment_ID;Agent_ID;Kick_Time;X;Y
1;1;1.2;-0.203;-0.082
1;1;1.88;-0.2094;0.0622
1;1;3.0;-0.0796;0.1772
1;1;3.8;0.0203;0.1886
1;1;5.36;0.1279;0.134
1;1;6.0;0.1421;0.0518
1;1;6.48;0.1176;-0.0017
1;1;6.88;0.0693;-0.0399
1;1;7.76;0.0099;-0.1351
1;1;8.68;-0.0358;-0.2132
1;1;9.24;-0.1054;-0.1913
1;1;9.72;-0.1703;-0.1345
1;1;10.48;-0.2091;-0.0189
1;1;11.28;-0.1669;0.0928
1;1;12.44;-0.0374;0.132
1;1;12.92;-0.0136;0.1375
1;1;13.56;0.05;0.1549
1;1;14.24;0.1083;0.1322
1;1;15.48;0.1331;-0.037
1;1;16.92;-0.0264;-0.1609
1;1;17.4;-0.0586;-0.1664
1;1;18.44;-0.1671;-0.1309
1;1;19.2;-0.1533;-0.0851
1;1;19.88;-0.1528;-0.0832
1;2;1.2;-0.1346;-0.1237
1;2;1.88;-0.1532;0.0122
1;2;3.0;-0.1327;0.1398
1;2;3.8;-0.0242;0.1923
1;2;5.36;0.1349;0.0405
1;2;6.0;0.1434;0.0092
1;2;6.48;0.1448;0.0015
1;2;6.88;0.1264;-0.0221
1;2;7.76;0.052;-0.1016
1;2;8.68;0.0383;-0.1495
1;2;9.24;-0.0454;-0.1515
1;2;9.72;-0.0988;-0.1124
1;2;10.48;-0.1239;-0.076
1;2;11.28;-0.1307;0.0342
1;2;12.44;-0.0265;0.0918
1;2;12.92;-0.0135;0.0967
1;2;13.56;0.0063;0.1032
1;2;14.24;0.0579;0.0717
1;2;15.48;0.0773;-0.1496
1;2;16.92;-0.1459;-0.1725
1;2;17.4;-0.1769;-0.1116
1;2;18.44;-0.2051;-0.0805
1;2;19.2;-0.1752;-0.0531
1;2;19.88;-0.1721;0.0379
1;3;1.2;-0.1705;-0.0147
1;3;1.88;-0.1671;0.0751
1;3;3.0;-0.0731;0.1331
1;3;3.8;0.0412;0.1484
1;3;5.36;0.1798;0.0178
1;3;6.0;0.19;-0.0214
1;3;6.48;0.1858;-0.0389
1;3;6.88;0.1764;-0.0533
1;3;7.76;0.1042;-0.1421
1;3;8.68;0.0377;-0.2003
1;3;9.24;-0.0534;-0.1991
1;3;9.72;-0.1465;-0.1233
1;3;10.48;-0.1506;-0.018
1;3;11.28;-0.1589;0.0148
1;3;12.44;-0.1187;0.1157
1;3;12.92;-0.0703;0.1581
1;3;13.56;0.0155;0.1947
1;3;14.24;0.1017;0.1516
1;3;15.48;0.1611;-0.0742
1;3;16.92;-0.152;-0.147
1;3;17.4;-0.1872;-0.0824
1;3;18.44;-0.2223;0.0412
1;3;19.2;-0.1892;0.0636
1;3;19.88;-0.1688;0.0983
1;4;1.2;-0.1144;-0.1386
1;4;1.88;-0.1317;-0.0452
1;4;3.0;-0.1153;0.1037
1;4;3.8;-0.0246;0.1355
1;4;5.36;0.1676;0.0453
1;4;6.0;0.1739;-0.007
1;4;6.48;0.1468;-0.0498
1;4;6.88;0.1103;-0.0831
1;4;7.76;0.0597;-0.1595
1;4;8.68;-0.0116;-0.2002
1;4;9.24;-0.0714;-0.2105
1;4;9.72;-0.1381;-0.1457
1;4;10.48;-0.1676;-0.079
1;4;11.28;-0.1746;-0.0309
1;4;12.44;-0.0912;0.0318
1;4;12.92;-0.0469;0.0518
1;4;13.56;0.0339;0.0753
