Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.33160719  0.96848847  0.59126343 -0.8394909   0.94926476 -0.20377619],73.01200000000001
1,1,[ 0.31912039  0.91595333  0.67393369 -0.81634995  1.         -0.13273285],53.222399999999965
1,2,[ 0.37575518  0.96910293  0.74004657 -0.94150623  0.88696556 -0.06798496],35.614899999999984
1,3,[ 0.33252913  0.86847907  0.81846277 -0.72626657  1.         -0.01512818],20.573600000000006
1,4,[ 0.33252913  0.86847907  0.81846277 -0.72626657  1.         -0.01512818],20.573600000000006
1,5,[ 0.25711393  0.84794237  0.87121267 -0.65340531  1.         -0.0124759 ],20.066799999999994
1,6,[ 0.25711393  0.84794237  0.87121267 -0.65340531  1.         -0.0124759 ],20.066799999999994
1,7,[ 0.25711393  0.84794237  0.87121267 -0.65340531  1.         -0.0124759 ],20.066799999999994
1,8,"[ 2.51197202e-01  9.48990017e-01  9.69627240e-01 -7.78627936e-01
  1.00000000e+00  6.84927199e-04]",20.02359999999999
1,9,"[ 2.51197202e-01  9.48990017e-01  9.69627240e-01 -7.78627936e-01
  1.00000000e+00  6.84927199e-04]",20.02359999999999
1,10,[ 0.32183025  0.88473342  0.88191998 -0.71033148  0.92269847 -0.01501961],19.91670000000001
1,11,[ 0.32183025  0.88473342  0.88191998 -0.71033148  0.92269847 -0.01501961],19.91670000000001
1,12,[ 0.32183025  0.88473342  0.88191998 -0.71033148  0.92269847 -0.01501961],19.91670000000001
1,13,[ 0.36960641  0.83121403  0.9436771  -0.67907186  0.98783037 -0.01504399],19.7563
1,14,[ 0.16283926  0.94610027  0.99286127 -0.66405212  0.90723825  0.00716861],19.491800000000005
1,15,"[ 2.43739280e-01  8.20131718e-01  9.61018471e-01 -6.36456965e-01
  9.23626321e-01 -4.00228847e-04]",19.3313
1,16,"[ 2.43739280e-01  8.20131718e-01  9.61018471e-01 -6.36456965e-01
  9.23626321e-01 -4.00228847e-04]",19.3313
1,17,[ 0.26584294  0.93796579  0.9680607  -0.65340187  0.99555783 -0.00458747],18.97249999999998
1,18,[ 0.26584294  0.93796579  0.9680607  -0.65340187  0.99555783 -0.00458747],18.97249999999998
1,19,[ 0.26584294  0.93796579  0.9680607  -0.65340187  0.99555783 -0.00458747],18.97249999999998
1,20,[ 0.26584294  0.93796579  0.9680607  -0.65340187  0.99555783 -0.00458747],18.97249999999998
1,21,[ 0.26584294  0.93796579  0.9680607  -0.65340187  0.99555783 -0.00458747],18.97249999999998
1,22,[ 0.21063535  0.94661504  0.9127779  -0.66071394  0.86630017 -0.00329488],18.79710000000001
1,23,[ 0.21063535  0.94661504  0.9127779  -0.66071394  0.86630017 -0.00329488],18.79710000000001
1,24,"[ 2.01192356e-01  8.80872852e-01  9.95446585e-01 -5.59165785e-01
  8.65984907e-01  8.77067440e-04]",18.381499999999985
1,25,"[ 2.01192356e-01  8.80872852e-01  9.95446585e-01 -5.59165785e-01
  8.65984907e-01  8.77067440e-04]",18.381499999999985
1,26,[ 0.16253238  0.92328183  1.         -0.5080049   0.8023916   0.00138353],17.901199999999985
1,27,[ 0.16253238  0.92328183  1.         -0.5080049   0.8023916   0.00138353],17.901199999999985
