Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.75308264 -0.28273302  0.37359538  0.67474731  0.48271732 -0.00694392],36.69199999999997
1,1,[0.70345504 0.76228006 0.84927878 0.53059758 0.67740416 0.03879183],25.0843
1,2,[-0.19655533  0.20249457  0.4336214   0.74004497  0.42015353  0.02507488],22.084899999999994
1,3,[ 0.61312561  0.79009899  0.75833647  0.62007297  0.6550363  -0.01181147],21.568399999999993
1,4,[ 0.59466353  0.73053905  0.90119181  0.70062956  0.65335282 -0.01446129],21.362199999999994
1,5,[ 0.54014685  0.85777525  0.85064586  0.55199125  0.70575869 -0.01073025],21.047699999999985
1,6,[0.46763545 0.93144359 0.8935372  0.52746842 0.67132841 0.00295123],20.592099999999984
1,7,[ 0.37574385  0.90482359  0.92060018  0.51370832  0.70280408 -0.00728651],20.394899999999996
1,8,[ 0.37574385  0.90482359  0.92060018  0.51370832  0.70280408 -0.00728651],20.394899999999996
1,9,[ 0.33217962  0.90444258  0.95533832  0.55584389  0.67009784 -0.00274561],20.181999999999984
1,10,[0.35053319 0.97766674 0.94880602 0.57425686 0.6848159  0.01136948],20.164999999999992
1,11,[0.35053319 0.97766674 0.94880602 0.57425686 0.6848159  0.01136948],20.164999999999992
1,12,[0.2457514  0.84925498 1.         0.54771823 0.58230239 0.00734937],19.83300000000001
1,13,[0.2105086  0.89896777 1.         0.53561046 0.51378995 0.00695965],19.708900000000003
1,14,[0.2105086  0.89896777 1.         0.53561046 0.51378995 0.00695965],19.708900000000003
1,15,[0.2105086  0.89896777 1.         0.53561046 0.51378995 0.00695965],19.708900000000003
1,16,[0.17649153 0.98646652 0.97758591 0.54542405 0.59269288 0.02005347],19.695699999999988
1,17,[0.11065071 1.         1.         0.48575331 0.52663754 0.01114318],19.61269999999998
1,18,[0.12006674 0.87927295 0.94292587 0.46633384 0.43440608 0.02472221],19.58359999999999
1,19,[0.05758935 0.89498745 1.         0.39783235 0.39137913 0.02734214],19.455800000000007
1,20,[0.05758935 0.89498745 1.         0.39783235 0.39137913 0.02734214],19.455800000000007
1,21,[0.05758935 0.89498745 1.         0.39783235 0.39137913 0.02734214],19.455800000000007
1,22,[0.1230545  0.82938729 1.         0.39516118 0.36756903 0.01366192],19.419599999999985
1,23,[0.07045567 0.77853107 1.         0.47297306 0.31522315 0.02026397],19.361800000000006
1,24,[0.07045567 0.77853107 1.         0.47297306 0.31522315 0.02026397],19.361800000000006
1,25,[0.07045567 0.77853107 1.         0.47297306 0.31522315 0.02026397],19.361800000000006
1,26,[0.07045567 0.77853107 1.         0.47297306 0.31522315 0.02026397],19.361800000000006
1,27,[0.07045567 0.77853107 1.         0.47297306 0.31522315 0.02026397],19.361800000000006
1,28,[0.07045567 0.77853107 1.         0.47297306 0.31522315 0.02026397],19.361800000000006
1,29,[0.07045567 0.77853107 1.         0.47297306 0.31522315 0.02026397],19.361800000000006
1,30,[0.07045567 0.77853107 1.         0.47297306 0.31522315 0.02026397],19.361800000000006
1,31,[0.07045567 0.77853107 1.         0.47297306 0.31522315 0.02026397],19.361800000000006
1,32,[0.02010773 0.69278072 0.99345257 0.53287633 0.19539377 0.01599293],19.346600000000013
1,33,[0.10085242 0.70970236 1.         0.48128926 0.17398737 0.01252055],19.33269999999999
1,34,[0.10085242 0.70970236 1.         0.48128926 0.17398737 0.01252055],19.33269999999999
1,35,[0.10085242 0.70970236 1.         0.48128926 0.17398737 0.01252055],19.33269999999999
1,36,[0.10085242 0.70970236 1.         0.48128926 0.17398737 0.01252055],19.33269999999999
1,37,[0.10085242 0.70970236 1.         0.48128926 0.17398737 0.01252055],19.33269999999999
1,38,[0.01781187 0.6107388  1.         0.4396937  0.27336478 0.01871115],19.290999999999983
1,39,[0.01781187 0.6107388  1.         0.4396937  0.27336478 0.01871115],19.290999999999983
1,40,[0.01781187 0.6107388  1.         0.4396937  0.27336478 0.01871115],19.290999999999983
1,41,[-0.00303156  0.66877341  0.99130689  0.32166636  0.10547706  0.02556126],19.280699999999996
1,42,[-0.00303156  0.66877341  0.99130689  0.32166636  0.10547706  0.02556126],19.280699999999996
1,43,[-0.00303156  0.66877341  0.99130689  0.32166636  0.10547706  0.02556126],19.280699999999996
1,44,[-0.00303156  0.66877341  0.99130689  0.32166636  0.10547706  0.02556126],19.280699999999996
1,45,[-0.00303156  0.66877341  0.99130689  0.32166636  0.10547706  0.02556126],19.280699999999996
1,46,[0.07367053 0.64433243 1.         0.41929889 0.12401077 0.02103152],19.228000000000005
1,47,[0.07367053 0.64433243 1.         0.41929889 0.12401077 0.02103152],19.228000000000005
1,48,[0.07367053 0.64433243 1.         0.41929889 0.12401077 0.02103152],19.228000000000005
1,49,[0.07367053 0.64433243 1.         0.41929889 0.12401077 0.02103152],19.228000000000005
1,50,[0.0283815  0.53729729 0.96756631 0.29438117 0.08622181 0.01225949],19.204499999999996
1,51,[0.03415358 0.51486808 1.         0.25113364 0.09662699 0.02007472],19.0647
1,52,[0.03415358 0.51486808 1.         0.25113364 0.09662699 0.02007472],19.0647
1,53,[0.07965929 0.39646395 1.         0.25855566 0.08148475 0.01061728],19.028899999999986
1,54,[0.07965929 0.39646395 1.         0.25855566 0.08148475 0.01061728],19.028899999999986
1,55,[0.07965929 0.39646395 1.         0.25855566 0.08148475 0.01061728],19.028899999999986
1,56,[0.07965929 0.39646395 1.         0.25855566 0.08148475 0.01061728],19.028899999999986
1,57,[0.07965929 0.39646395 1.         0.25855566 0.08148475 0.01061728],19.028899999999986
1,58,[0.07965929 0.39646395 1.         0.25855566 0.08148475 0.01061728],19.028899999999986
1,59,[0.07965929 0.39646395 1.         0.25855566 0.08148475 0.01061728],19.028899999999986
1,60,[0.07965929 0.39646395 1.         0.25855566 0.08148475 0.01061728],19.028899999999986
1,61,[0.07965929 0.39646395 1.         0.25855566 0.08148475 0.01061728],19.028899999999986
1,62,[ 0.05517784  0.36014709  0.99657851  0.2386385  -0.0693376   0.02100937],19.016699999999986
1,63,[ 0.05517784  0.36014709  0.99657851  0.2386385  -0.0693376   0.02100937],19.016699999999986
1,64,[ 0.05517784  0.36014709  0.99657851  0.2386385  -0.0693376   0.02100937],19.016699999999986
1,65,[ 0.05517784  0.36014709  0.99657851  0.2386385  -0.0693376   0.02100937],19.016699999999986
1,66,[ 0.05517784  0.36014709  0.99657851  0.2386385  -0.0693376   0.02100937],19.016699999999986
1,67,[ 0.05517784  0.36014709  0.99657851  0.2386385  -0.0693376   0.02100937],19.016699999999986
1,68,[ 0.05517784  0.36014709  0.99657851  0.2386385  -0.0693376   0.02100937],19.016699999999986
1,69,[0.06063988 0.35464354 1.         0.22525081 0.06557536 0.00877837],19.006499999999992
