Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.74491193  0.78995276 -0.2100367   0.23406004  0.81977592  0.03243161],31.97569999999999
1,1,[-0.94813868  1.          0.29167104  1.         -0.20004967  0.05338584],27.813800000000004
1,2,[0.35224845 0.66203393 0.06027941 0.0840151  0.89046301 0.00104845],23.745799999999992
1,3,[ 0.20289513  0.68938392  0.10798822 -0.0317773   1.         -0.00366797],22.982699999999994
1,4,[0.22036336 0.76988013 0.08511208 0.14723939 0.93407236 0.00744657],21.984199999999987
1,5,[0.22036336 0.76988013 0.08511208 0.14723939 0.93407236 0.00744657],21.984199999999987
1,6,[0.08146823 0.83104429 0.2378078  0.02707736 0.89103699 0.02136282],21.1114
1,7,[0.08146823 0.83104429 0.2378078  0.02707736 0.89103699 0.02136282],21.1114
1,8,[0.09964013 0.96807237 0.14467482 0.02037137 0.82316109 0.00534653],21.023799999999984
1,9,[0.07894146 1.         0.27921474 0.05759601 0.8410976  0.00653127],20.556000000000008
1,10,[0.07894146 1.         0.27921474 0.05759601 0.8410976  0.00653127],20.556000000000008
1,11,[0.07991177 1.         0.26160693 0.15737242 0.80002806 0.01438348],20.33989999999998
1,12,[0.11095551 0.78503963 0.31872001 0.1242254  0.74566703 0.0112195 ],20.319600000000005
1,13,[0.01897404 1.         0.29277779 0.22553928 0.7911126  0.01316936],20.251599999999986
1,14,[0.03005606 0.92626882 0.41452365 0.19646989 0.66266663 0.0294061 ],19.960899999999995
1,15,[0.03005606 0.92626882 0.41452365 0.19646989 0.66266663 0.0294061 ],19.960899999999995
1,16,[0.02126793 0.85000944 0.56421382 0.10846939 0.66204693 0.02022647],19.677499999999988
1,17,[0.02126793 0.85000944 0.56421382 0.10846939 0.66204693 0.02022647],19.677499999999988
1,18,[0.02126793 0.85000944 0.56421382 0.10846939 0.66204693 0.02022647],19.677499999999988
1,19,[0.02126793 0.85000944 0.56421382 0.10846939 0.66204693 0.02022647],19.677499999999988
1,20,[0.02126793 0.85000944 0.56421382 0.10846939 0.66204693 0.02022647],19.677499999999988
1,21,[0.02126793 0.85000944 0.56421382 0.10846939 0.66204693 0.02022647],19.677499999999988
