Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.85244554  0.55531256  0.90240951  0.51534246  0.28478077 -0.32330587],133.8561
1,1,[-0.80395611  0.36614757 -0.16459918  0.70128543 -0.45677906 -0.04115792],122.34260000000006
1,2,[-0.98214571  0.65155888  0.93147873  0.48576945 -0.51991228 -0.01768587],46.93309999999999
1,3,[-0.97411978  0.76727638  0.80824239  0.33781524  0.34131563 -0.03240015],41.44219999999999
1,4,[-0.67934131  0.43742806  0.72079669  0.52186249  0.26603643 -0.01267669],35.845099999999995
1,5,[-0.58418366  0.41675637  0.86587022  0.51227139  0.26960527 -0.00378204],33.79880000000002
1,6,[-0.49981889  0.34292943  0.82860369  0.52707021  0.33477257 -0.02711774],33.42100000000001
1,7,[-0.40329617  0.41696169  0.80984247  0.50467374  0.39624414 -0.02338104],29.960900000000006
1,8,[-0.33704079  0.50229667  0.85471556  0.46058445  0.39061438 -0.0206324 ],26.15099999999999
1,9,[-0.33704079  0.50229667  0.85471556  0.46058445  0.39061438 -0.0206324 ],26.15099999999999
1,10,[-0.2918006   0.3523598   0.82307447  0.67370722  0.30740061 -0.01966636],25.264099999999992
1,11,[-0.2918006   0.3523598   0.82307447  0.67370722  0.30740061 -0.01966636],25.264099999999992
1,12,[-0.22219307  0.32677052  0.84087638  0.64358822  0.21758031 -0.00909189],24.355699999999988
1,13,[-0.29363949  0.67594944  0.81854086  0.47047213  0.46584168 -0.01647375],22.73489999999997
1,14,[-0.07603614  0.67397325  0.74433979  0.53614042  0.56332193 -0.03540791],21.747800000000005
1,15,[-0.02096641  0.76884621  0.67415957  0.61980612  0.6532306  -0.0032572 ],19.79439999999998
1,16,[-0.02096641  0.76884621  0.67415957  0.61980612  0.6532306  -0.0032572 ],19.79439999999998
1,17,[ 0.01979829  0.73572301  0.74529859  0.4967188   0.63504129 -0.01248588],19.184999999999995
1,18,[ 0.06398215  0.59207185  0.62259094  0.63733933  0.56878435 -0.01453693],19.11839999999998
1,19,[ 0.06398215  0.59207185  0.62259094  0.63733933  0.56878435 -0.01453693],19.11839999999998
1,20,[ 0.06398215  0.59207185  0.62259094  0.63733933  0.56878435 -0.01453693],19.11839999999998
1,21,[ 0.06398215  0.59207185  0.62259094  0.63733933  0.56878435 -0.01453693],19.11839999999998
1,22,[ 0.06398215  0.59207185  0.62259094  0.63733933  0.56878435 -0.01453693],19.11839999999998
1,23,[ 0.08227049  0.59420387  0.46653168  0.48058249  0.83891048 -0.01451914],18.847899999999978
1,24,[ 0.08227049  0.59420387  0.46653168  0.48058249  0.83891048 -0.01451914],18.847899999999978
1,25,[ 0.08227049  0.59420387  0.46653168  0.48058249  0.83891048 -0.01451914],18.847899999999978
1,26,[ 0.08227049  0.59420387  0.46653168  0.48058249  0.83891048 -0.01451914],18.847899999999978
1,27,[ 0.08227049  0.59420387  0.46653168  0.48058249  0.83891048 -0.01451914],18.847899999999978
1,28,[ 0.08227049  0.59420387  0.46653168  0.48058249  0.83891048 -0.01451914],18.847899999999978
1,29,[ 0.00987968  0.59553359  0.43208254  0.54417631  0.86591799 -0.01313046],18.68099999999998
1,30,[ 0.00987968  0.59553359  0.43208254  0.54417631  0.86591799 -0.01313046],18.68099999999998
1,31,[ 0.04533445  0.65519049  0.35144335  0.36833952  0.78265881 -0.01507942],18.65919999999999
1,32,[ 0.0011055   0.55300648  0.36081153  0.62293867  0.80486481 -0.0141595 ],18.568800000000003
1,33,[ 0.0011055   0.55300648  0.36081153  0.62293867  0.80486481 -0.0141595 ],18.568800000000003
1,34,[ 0.0011055   0.55300648  0.36081153  0.62293867  0.80486481 -0.0141595 ],18.568800000000003
1,35,[-0.04246576  0.55767122  0.2322875   0.6628961   0.77594943 -0.01123786],18.443299999999983
1,36,[-0.04246576  0.55767122  0.2322875   0.6628961   0.77594943 -0.01123786],18.443299999999983
1,37,[ 0.01351954  0.62133474  0.19397667  0.70554768  0.71642134 -0.01295748],18.269400000000005
1,38,[ 0.01351954  0.62133474  0.19397667  0.70554768  0.71642134 -0.01295748],18.269400000000005
1,39,[ 0.02100923  0.70373211  0.14029434  0.6145878   0.85847503 -0.01404146],18.16339999999999
1,40,[ 0.02100923  0.70373211  0.14029434  0.6145878   0.85847503 -0.01404146],18.16339999999999
1,41,[ 0.02100923  0.70373211  0.14029434  0.6145878   0.85847503 -0.01404146],18.16339999999999
1,42,[ 0.02100923  0.70373211  0.14029434  0.6145878   0.85847503 -0.01404146],18.16339999999999
1,43,[-0.04316241  0.77535739  0.12460625  0.51626958  0.85819532 -0.01522752],17.967999999999986
1,44,[-0.10370384  0.79128689  0.05755832  0.66009616  0.70839158 -0.01595139],17.7258
1,45,[-0.10370384  0.79128689  0.05755832  0.66009616  0.70839158 -0.01595139],17.7258
1,46,[-0.10370384  0.79128689  0.05755832  0.66009616  0.70839158 -0.01595139],17.7258
1,47,[-0.10370384  0.79128689  0.05755832  0.66009616  0.70839158 -0.01595139],17.7258
1,48,[-0.10370384  0.79128689  0.05755832  0.66009616  0.70839158 -0.01595139],17.7258
1,49,[-0.10370384  0.79128689  0.05755832  0.66009616  0.70839158 -0.01595139],17.7258
1,50,[-0.10370384  0.79128689  0.05755832  0.66009616  0.70839158 -0.01595139],17.7258
1,51,[-0.10370384  0.79128689  0.05755832  0.66009616  0.70839158 -0.01595139],17.7258
1,52,[ 0.00487722  0.82147657  0.0315381   0.6441606   0.72393684 -0.01590214],17.688200000000002
1,53,[-0.07660141  0.78746574 -0.03219195  0.6353338   0.62669162 -0.00856733],17.620700000000024
1,54,[-0.0094585   0.70891081 -0.00481397  0.62026109  0.62203215 -0.0147889 ],17.6183
1,55,[-0.09461665  0.84004814 -0.09750501  0.63414119  0.72096587 -0.01572047],17.50799999999998
1,56,[-0.09461665  0.84004814 -0.09750501  0.63414119  0.72096587 -0.01572047],17.50799999999998
1,57,[-0.09461665  0.84004814 -0.09750501  0.63414119  0.72096587 -0.01572047],17.50799999999998
1,58,[-0.09461665  0.84004814 -0.09750501  0.63414119  0.72096587 -0.01572047],17.50799999999998
1,59,[-0.09461665  0.84004814 -0.09750501  0.63414119  0.72096587 -0.01572047],17.50799999999998
1,60,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,61,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,62,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,63,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,64,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,65,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,66,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,67,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,68,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,69,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,70,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,71,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,72,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,73,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,74,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,75,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,76,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,77,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,78,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,79,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,80,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,81,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,82,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,83,[-0.05004885  0.82001091 -0.04939088  0.59142577  0.69316455 -0.0133582 ],17.444799999999976
1,84,[-0.04698632  0.8052473  -0.11136899  0.52473334  0.62886398 -0.01142724],17.363499999999988
1,85,[-0.04698632  0.8052473  -0.11136899  0.52473334  0.62886398 -0.01142724],17.363499999999988
1,86,[-0.04698632  0.8052473  -0.11136899  0.52473334  0.62886398 -0.01142724],17.363499999999988
1,87,[-0.04698632  0.8052473  -0.11136899  0.52473334  0.62886398 -0.01142724],17.363499999999988
1,88,[-0.01331844  0.86480854 -0.11998014  0.64647687  0.60600869 -0.0113589 ],17.334199999999996
1,89,[-0.01331844  0.86480854 -0.11998014  0.64647687  0.60600869 -0.0113589 ],17.334199999999996
1,90,[-0.01331844  0.86480854 -0.11998014  0.64647687  0.60600869 -0.0113589 ],17.334199999999996
1,91,[-0.01331844  0.86480854 -0.11998014  0.64647687  0.60600869 -0.0113589 ],17.334199999999996
1,92,[-0.01331844  0.86480854 -0.11998014  0.64647687  0.60600869 -0.0113589 ],17.334199999999996
1,93,[-0.01331844  0.86480854 -0.11998014  0.64647687  0.60600869 -0.0113589 ],17.334199999999996
1,94,[-0.01331844  0.86480854 -0.11998014  0.64647687  0.60600869 -0.0113589 ],17.334199999999996
1,95,[-0.01331844  0.86480854 -0.11998014  0.64647687  0.60600869 -0.0113589 ],17.334199999999996
1,96,[-0.01331844  0.86480854 -0.11998014  0.64647687  0.60600869 -0.0113589 ],17.334199999999996
1,97,[-0.01331844  0.86480854 -0.11998014  0.64647687  0.60600869 -0.0113589 ],17.334199999999996
1,98,[-0.01331844  0.86480854 -0.11998014  0.64647687  0.60600869 -0.0113589 ],17.334199999999996
1,99,[-0.01331844  0.86480854 -0.11998014  0.64647687  0.60600869 -0.0113589 ],17.334199999999996
2,0,[-0.80099773  0.63161014  0.79099975  0.20484595  0.46773861 -0.00427037],39.33779999999998
2,1,[ 0.01016721  0.53745474 -0.32701091  0.88392196  1.          0.02563306],33.826600000000035
2,2,[-0.08000487  0.52133067 -0.4047037   0.9160986   1.         -0.01818835],19.120400000000007
2,3,[-0.08000487  0.52133067 -0.4047037   0.9160986   1.         -0.01818835],19.120400000000007
2,4,[-0.04719169  0.53146042 -0.19361121  0.9357749   0.93944498 -0.02398788],18.4857
2,5,[-0.13866655  0.5819496  -0.31182921  0.82045715  1.         -0.01098532],18.161299999999986
2,6,[-0.02404668  0.5852715  -0.29296927  0.99791311  1.         -0.01600602],18.083900000000003
2,7,[ 0.01682792  0.60435744 -0.22763633  0.86756074  0.9840838  -0.01474347],17.99729999999998
2,8,[-0.07291764  0.72794245 -0.20032554  1.          0.96151399 -0.02249834],17.808499999999995
2,9,[-0.06652759  0.73614643 -0.28417253  0.94346318  0.96327362 -0.01454432],17.50969999999999
2,10,[-0.06652759  0.73614643 -0.28417253  0.94346318  0.96327362 -0.01454432],17.50969999999999
2,11,[ 0.00549407  0.81968131 -0.34274893  0.9078223   0.92599134 -0.01247465],17.37550000000001
2,12,[ 0.00549407  0.81968131 -0.34274893  0.9078223   0.92599134 -0.01247465],17.37550000000001
2,13,[ 0.00549407  0.81968131 -0.34274893  0.9078223   0.92599134 -0.01247465],17.37550000000001
2,14,[ 0.00549407  0.81968131 -0.34274893  0.9078223   0.92599134 -0.01247465],17.37550000000001
2,15,[ 0.00549407  0.81968131 -0.34274893  0.9078223   0.92599134 -0.01247465],17.37550000000001
2,16,[ 0.00549407  0.81968131 -0.34274893  0.9078223   0.92599134 -0.01247465],17.37550000000001
2,17,[ 0.00549407  0.81968131 -0.34274893  0.9078223   0.92599134 -0.01247465],17.37550000000001
2,18,[ 0.00549407  0.81968131 -0.34274893  0.9078223   0.92599134 -0.01247465],17.37550000000001
2,19,[ 0.00549407  0.81968131 -0.34274893  0.9078223   0.92599134 -0.01247465],17.37550000000001
2,20,[ 0.00756257  0.95243949 -0.34920237  0.95411314  0.95753353 -0.01392086],17.217999999999993
2,21,[ 0.00756257  0.95243949 -0.34920237  0.95411314  0.95753353 -0.01392086],17.217999999999993
2,22,[ 0.00756257  0.95243949 -0.34920237  0.95411314  0.95753353 -0.01392086],17.217999999999993
