Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.99332241  0.64521126 -0.16111143  0.41368339  0.20526838  0.06900878],1.6384928637916962
1,1,[-0.09690031 -0.46895557  0.34406219  0.66558469  0.4907406  -0.02113251],1.4129926333320841
1,2,[-0.39429     0.15833954  0.53167473  0.26540578  0.88884279  0.15215075],0.9888402621631595
1,3,[-0.49377005  0.2317965   0.61523448  0.35334231  0.94541472  0.1360483 ],0.8540461027296696
1,4,"[3.64159712e-04 9.77387936e-02 5.57824424e-01 2.79882155e-01
 7.50452991e-01 2.03585566e-02]",0.6170499841646162
1,5,[0.02906498 0.08591123 0.64895288 0.19913811 0.67863544 0.00287978],0.5877707852284432
1,6,[-0.07489001  0.26244797  0.57942248  0.19885552  0.73135601  0.00973179],0.5561959340741508
1,7,[-0.02514025  0.29492771  0.50571825  0.19944503  0.6413953   0.00772881],0.5542108663682804
1,8,[-0.02514025  0.29492771  0.50571825  0.19944503  0.6413953   0.00772881],0.5542108663682804
1,9,[-0.02789985  0.27407292  0.38793526  0.32744764  0.74188652 -0.00671787],0.5431386902847763
1,10,[-0.01250465  0.26796146  0.48538438  0.22646673  0.66031089 -0.01265755],0.540444010900757
1,11,[ 0.00309446  0.35981461  0.4728866   0.34734218  0.65108017 -0.02540533],0.5401161386204815
1,12,[ 0.00309446  0.35981461  0.4728866   0.34734218  0.65108017 -0.02540533],0.5401161386204815
1,13,[ 0.00309446  0.35981461  0.4728866   0.34734218  0.65108017 -0.02540533],0.5401161386204815
1,14,[ 0.00309446  0.35981461  0.4728866   0.34734218  0.65108017 -0.02540533],0.5401161386204815
1,15,[ 0.00309446  0.35981461  0.4728866   0.34734218  0.65108017 -0.02540533],0.5401161386204815
1,16,[ 0.0342816   0.42862753  0.454867    0.31667552  0.67716796 -0.01801274],0.534623528510028
1,17,[ 0.0342816   0.42862753  0.454867    0.31667552  0.67716796 -0.01801274],0.534623528510028
1,18,[ 0.0342816   0.42862753  0.454867    0.31667552  0.67716796 -0.01801274],0.534623528510028
1,19,[-0.03810849  0.52621646  0.38975624  0.21015591  0.71046767 -0.0150261 ],0.5306320620727658
1,20,[-0.03810849  0.52621646  0.38975624  0.21015591  0.71046767 -0.0150261 ],0.5306320620727658
1,21,[-0.03810849  0.52621646  0.38975624  0.21015591  0.71046767 -0.0150261 ],0.5306320620727658
1,22,[-0.03810849  0.52621646  0.38975624  0.21015591  0.71046767 -0.0150261 ],0.5306320620727658
1,23,[-0.03810849  0.52621646  0.38975624  0.21015591  0.71046767 -0.0150261 ],0.5306320620727658
1,24,[-0.03810849  0.52621646  0.38975624  0.21015591  0.71046767 -0.0150261 ],0.5306320620727658
1,25,[-0.03810849  0.52621646  0.38975624  0.21015591  0.71046767 -0.0150261 ],0.5306320620727658
1,26,[-0.03810849  0.52621646  0.38975624  0.21015591  0.71046767 -0.0150261 ],0.5306320620727658
1,27,"[-2.46307009e-05  6.17772214e-01  3.99635344e-01  2.38758575e-01
  7.69708596e-01 -1.81813595e-02]",0.5285342888610532
1,28,[-0.04370842  0.58855437  0.38057167  0.21200745  0.61954529 -0.00713733],0.5283391466836788
1,29,[-0.04370842  0.58855437  0.38057167  0.21200745  0.61954529 -0.00713733],0.5283391466836788
1,30,[-0.01541255  0.60765927  0.38525948  0.3076042   0.68667556 -0.01791741],0.5275467606305926
1,31,[-0.01541255  0.60765927  0.38525948  0.3076042   0.68667556 -0.01791741],0.5275467606305926
1,32,[-0.01541255  0.60765927  0.38525948  0.3076042   0.68667556 -0.01791741],0.5275467606305926
1,33,[-0.01541255  0.60765927  0.38525948  0.3076042   0.68667556 -0.01791741],0.5275467606305926
1,34,[-0.01541255  0.60765927  0.38525948  0.3076042   0.68667556 -0.01791741],0.5275467606305926
1,35,[-0.01541255  0.60765927  0.38525948  0.3076042   0.68667556 -0.01791741],0.5275467606305926
1,36,[-0.01541255  0.60765927  0.38525948  0.3076042   0.68667556 -0.01791741],0.5275467606305926
1,37,[-0.01541255  0.60765927  0.38525948  0.3076042   0.68667556 -0.01791741],0.5275467606305926
1,38,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,39,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,40,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,41,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,42,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,43,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,44,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,45,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,46,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,47,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,48,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,49,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,50,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,51,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,52,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,53,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,54,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,55,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,56,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,57,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,58,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,59,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,60,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,61,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,62,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,63,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,64,[-0.00584417  0.80979777  0.51690801  0.36218312  0.72230949 -0.0169179 ],0.526698108307365
1,65,[-0.00686379  0.91837505  0.55175603  0.32561497  0.82865104 -0.01930924],0.5266394993688489
1,66,[-0.00686379  0.91837505  0.55175603  0.32561497  0.82865104 -0.01930924],0.5266394993688489
1,67,[-0.00686379  0.91837505  0.55175603  0.32561497  0.82865104 -0.01930924],0.5266394993688489
1,68,[-0.00686379  0.91837505  0.55175603  0.32561497  0.82865104 -0.01930924],0.5266394993688489
1,69,[-0.00686379  0.91837505  0.55175603  0.32561497  0.82865104 -0.01930924],0.5266394993688489
1,70,[-0.00686379  0.91837505  0.55175603  0.32561497  0.82865104 -0.01930924],0.5266394993688489
1,71,[-0.00686379  0.91837505  0.55175603  0.32561497  0.82865104 -0.01930924],0.5266394993688489
1,72,[-0.00686379  0.91837505  0.55175603  0.32561497  0.82865104 -0.01930924],0.5266394993688489
1,73,[-0.00686379  0.91837505  0.55175603  0.32561497  0.82865104 -0.01930924],0.5266394993688489
1,74,[-0.00686379  0.91837505  0.55175603  0.32561497  0.82865104 -0.01930924],0.5266394993688489
