Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.27339568  0.43355649 -0.11968083  0.2716212   0.36265654  0.10543916],1.0982974582759697
1,1,[ 0.30813762  0.4576593  -0.1299781   0.20451749  0.44293883  0.01570832],0.8995570487606994
1,2,[ 0.2181039   0.49249573 -0.05825771  0.40955509  0.45633427  0.01804826],0.6839844439304174
1,3,[ 0.15366912  0.42439402 -0.02752528  0.36971254  0.43017363  0.00993988],0.6364501565004501
1,4,[ 0.06554862  0.46660442  0.06271391  0.30050496  0.50672069 -0.00462841],0.57006852693211
1,5,[-0.02319251  0.53396752  0.12354606  0.28116375  0.52754182  0.02689836],0.5506659508437721
1,6,[-0.06934523  0.54716224  0.11227452  0.35494005  0.56276216  0.00674866],0.5430858851064805
1,7,[-0.06934523  0.54716224  0.11227452  0.35494005  0.56276216  0.00674866],0.5430858851064805
1,8,[-0.01811867  0.50526123  0.18818151  0.27276706  0.42984296  0.00731622],0.5351460765645802
1,9,[-0.01811867  0.50526123  0.18818151  0.27276706  0.42984296  0.00731622],0.5351460765645802
1,10,[-0.01811867  0.50526123  0.18818151  0.27276706  0.42984296  0.00731622],0.5351460765645802
1,11,[-0.01811867  0.50526123  0.18818151  0.27276706  0.42984296  0.00731622],0.5351460765645802
1,12,[-0.01811867  0.50526123  0.18818151  0.27276706  0.42984296  0.00731622],0.5351460765645802
1,13,[-0.01811867  0.50526123  0.18818151  0.27276706  0.42984296  0.00731622],0.5351460765645802
1,14,[-0.01811867  0.50526123  0.18818151  0.27276706  0.42984296  0.00731622],0.5351460765645802
1,15,[-0.04859132  0.52117361  0.28676896  0.38227624  0.50461172  0.00216836],0.5342749202568089
1,16,[-0.04859132  0.52117361  0.28676896  0.38227624  0.50461172  0.00216836],0.5342749202568089
1,17,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
1,18,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
1,19,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
1,20,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
1,21,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
1,22,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
1,23,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
1,24,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
1,25,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
1,26,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
1,27,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
1,28,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
1,29,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
1,30,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
1,31,[-0.04309235  0.53203386  0.29319586  0.23179166  0.40102385  0.00723924],0.5317173767377691
