Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.42867506  0.02910103 -0.15177823  0.99533754  0.4275796   0.02487735],5.538877643730262
1,1,[-0.49115613  0.00229453 -0.06923846  1.          0.4701157   0.01911504],4.60395266054185
1,2,[-0.49115613  0.00229453 -0.06923846  1.          0.4701157   0.01911504],4.60395266054185
1,3,[-0.49115613  0.00229453 -0.06923846  1.          0.4701157   0.01911504],4.60395266054185
1,4,[-0.49115613  0.00229453 -0.06923846  1.          0.4701157   0.01911504],4.60395266054185
1,5,[-0.49115613  0.00229453 -0.06923846  1.          0.4701157   0.01911504],4.60395266054185
1,6,[-0.5047984  -0.01427994  0.03015518  0.91948451  0.54636383  0.02081541],3.978693326288307
1,7,[-0.5047984  -0.01427994  0.03015518  0.91948451  0.54636383  0.02081541],3.978693326288307
1,8,[-0.5047984  -0.01427994  0.03015518  0.91948451  0.54636383  0.02081541],3.978693326288307
1,9,[-0.5047984  -0.01427994  0.03015518  0.91948451  0.54636383  0.02081541],3.978693326288307
1,10,[-0.45753288 -0.00441994  0.06418565  1.          0.581115    0.02412332],3.8863481695137394
1,11,[-0.48480567 -0.0372739   0.10175704  1.          0.66025134  0.02595691],3.7597507324941977
1,12,[-0.48480567 -0.0372739   0.10175704  1.          0.66025134  0.02595691],3.7597507324941977
1,13,[-0.48480567 -0.0372739   0.10175704  1.          0.66025134  0.02595691],3.7597507324941977
1,14,[-0.48480567 -0.0372739   0.10175704  1.          0.66025134  0.02595691],3.7597507324941977
1,15,[-0.48480567 -0.0372739   0.10175704  1.          0.66025134  0.02595691],3.7597507324941977
1,16,[-0.48480567 -0.0372739   0.10175704  1.          0.66025134  0.02595691],3.7597507324941977
1,17,[-0.48480567 -0.0372739   0.10175704  1.          0.66025134  0.02595691],3.7597507324941977
1,18,[-0.51566417  0.13646327  0.15497347  0.9470757   0.55419667  0.01588469],3.0873073134103994
1,19,[-0.50341045  0.23581679  0.16470985  0.90835159  0.48005025  0.00748145],3.004326087899376
1,20,[-0.50341045  0.23581679  0.16470985  0.90835159  0.48005025  0.00748145],3.004326087899376
1,21,[-0.50341045  0.23581679  0.16470985  0.90835159  0.48005025  0.00748145],3.004326087899376
1,22,[-0.50341045  0.23581679  0.16470985  0.90835159  0.48005025  0.00748145],3.004326087899376
1,23,[-0.50341045  0.23581679  0.16470985  0.90835159  0.48005025  0.00748145],3.004326087899376
1,24,[-0.43489489  0.19666177  0.13556554  0.95053393  0.55101391  0.01354617],2.937635769888725
1,25,[-0.43489489  0.19666177  0.13556554  0.95053393  0.55101391  0.01354617],2.937635769888725
1,26,[-0.43489489  0.19666177  0.13556554  0.95053393  0.55101391  0.01354617],2.937635769888725
1,27,[-0.43489489  0.19666177  0.13556554  0.95053393  0.55101391  0.01354617],2.937635769888725
1,28,[-0.43489489  0.19666177  0.13556554  0.95053393  0.55101391  0.01354617],2.937635769888725
1,29,[-0.4522545   0.27587905  0.18620294  0.97165537  0.50734567  0.0084527 ],2.760609936485028
1,30,[-0.4522545   0.27587905  0.18620294  0.97165537  0.50734567  0.0084527 ],2.760609936485028
1,31,[-0.4522545   0.27587905  0.18620294  0.97165537  0.50734567  0.0084527 ],2.760609936485028
1,32,[-0.4522545   0.27587905  0.18620294  0.97165537  0.50734567  0.0084527 ],2.760609936485028
1,33,[-0.4522545   0.27587905  0.18620294  0.97165537  0.50734567  0.0084527 ],2.760609936485028
1,34,[-0.4522545   0.27587905  0.18620294  0.97165537  0.50734567  0.0084527 ],2.760609936485028
1,35,[-0.4522545   0.27587905  0.18620294  0.97165537  0.50734567  0.0084527 ],2.760609936485028
1,36,[-0.44176338  0.263257    0.21563294  1.          0.61525916  0.01113083],2.7383625678513837
1,37,[-0.35350437  0.3346205   0.20337868  0.87483935  0.55751523  0.01436705],2.3889216300309606
1,38,[-0.27240982  0.39276304  0.2478071   0.8657915   0.46427949  0.00445117],2.097592462349772
1,39,[-0.27240982  0.39276304  0.2478071   0.8657915   0.46427949  0.00445117],2.097592462349772
1,40,[-0.18950492  0.37343577  0.28556575  0.83143487  0.66917917  0.01707063],1.8752819300362993
1,41,[-0.18950492  0.37343577  0.28556575  0.83143487  0.66917917  0.01707063],1.8752819300362993
