Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.27547137  0.81403736 -0.72341108  0.32968065  0.43433458  0.07818805],35.45790884728868
1,1,[-0.35514606  0.81590705 -0.76126775  0.31436309  0.34205154  0.01594059],10.939162943907727
1,2,[-0.3844151   0.7279479  -0.82756612  0.35995521  0.2960927   0.02690901],10.408760421766369
1,3,[-0.3844151   0.7279479  -0.82756612  0.35995521  0.2960927   0.02690901],10.408760421766369
1,4,[-0.28741718  0.82161847 -0.74376549  0.1818024   0.5536436   0.03555885],10.39691598310734
1,5,[-0.76282699 -0.94248082  0.59127186  0.68393083  0.77253294 -0.00261253],9.358105916056799
1,6,"[-8.60649671e-01 -9.48507314e-01  6.59256469e-01  7.26855791e-01
  8.14271945e-01  6.24830957e-04]",8.598321172336254
1,7,[-0.9121158  -0.93118211  0.69375696  0.77306312  0.89175958 -0.00153511],8.408852003415427
1,8,[-0.84481843 -0.83529116  0.77495646  0.70743101  0.74080826 -0.01362097],7.356790087474611
1,9,[-0.84481843 -0.83529116  0.77495646  0.70743101  0.74080826 -0.01362097],7.356790087474611
1,10,"[-9.38356662e-01 -7.99478013e-01  8.17646723e-01  8.44351144e-01
  7.39084365e-01 -7.43401346e-04]",6.458879890876675
1,11,[-0.84036856 -0.74405583  0.88823316  0.80222312  0.67455836 -0.01161709],5.911844797670745
1,12,[-0.84036856 -0.74405583  0.88823316  0.80222312  0.67455836 -0.01161709],5.911844797670745
1,13,[-0.81711767 -0.67381114  0.9335979   0.82039908  0.73414454 -0.01180444],5.508503839455216
1,14,[-0.81711767 -0.67381114  0.9335979   0.82039908  0.73414454 -0.01180444],5.508503839455216
1,15,[-0.81711767 -0.67381114  0.9335979   0.82039908  0.73414454 -0.01180444],5.508503839455216
1,16,[-0.74000214 -0.61182036  0.9333868   0.64397534  0.80594782 -0.00861959],5.498659872424937
1,17,[-0.81860819 -0.5994061   0.98039075  0.77941715  0.73462867 -0.00663223],4.975720631409828
1,18,[-0.83384983 -0.58094461  0.95861148  0.74787913  0.70338617 -0.00608768],4.972686357208659
1,19,[-0.83384983 -0.58094461  0.95861148  0.74787913  0.70338617 -0.00608768],4.972686357208659
1,20,[-0.91610091 -0.45439671  1.          0.83411553  0.74372991 -0.01184016],4.482275067007119
1,21,[-0.91610091 -0.45439671  1.          0.83411553  0.74372991 -0.01184016],4.482275067007119
1,22,[-0.91610091 -0.45439671  1.          0.83411553  0.74372991 -0.01184016],4.482275067007119
1,23,[-0.91610091 -0.45439671  1.          0.83411553  0.74372991 -0.01184016],4.482275067007119
1,24,[-0.88792061 -0.30641587  1.          0.77753489  0.70631478 -0.00121923],3.991574150260257
1,25,[-0.88792061 -0.30641587  1.          0.77753489  0.70631478 -0.00121923],3.991574150260257
1,26,[-0.88478595 -0.20819872  0.98010222  0.85682361  0.76676111  0.00175923],3.720017765198161
1,27,[-0.88478595 -0.20819872  0.98010222  0.85682361  0.76676111  0.00175923],3.720017765198161
1,28,[-0.88478595 -0.20819872  0.98010222  0.85682361  0.76676111  0.00175923],3.720017765198161
1,29,[-0.9122845  -0.27824181  1.          0.94589513  0.74011404 -0.00819692],3.7002637865011963
1,30,[-0.9122845  -0.27824181  1.          0.94589513  0.74011404 -0.00819692],3.7002637865011963
1,31,[-0.9122845  -0.27824181  1.          0.94589513  0.74011404 -0.00819692],3.7002637865011963
1,32,[-0.87722818 -0.18674309  0.9917388   0.9702379   0.59647889 -0.0140556 ],3.6657024780516494
1,33,[-0.87722818 -0.18674309  0.9917388   0.9702379   0.59647889 -0.0140556 ],3.6657024780516494
1,34,[-0.79270468 -0.27251719  0.97195411  0.85344523  0.74324435 -0.00468256],3.6534711981340466
1,35,[-0.89516337 -0.09916651  0.96562581  0.91874917  0.63401945 -0.00305875],3.3971787207739754
1,36,[-0.85999168 -0.10056129  0.97625148  1.          0.61269999 -0.01250245],3.272267198519261
1,37,[-0.85999168 -0.10056129  0.97625148  1.          0.61269999 -0.01250245],3.272267198519261
1,38,[-0.85999168 -0.10056129  0.97625148  1.          0.61269999 -0.01250245],3.272267198519261
1,39,[-0.98169997 -0.09109378  1.          0.95829026  0.71856916 -0.0040777 ],3.248235325217676
1,40,[-0.79215353 -0.06957206  1.          0.91982528  0.68650561 -0.00458212],2.953545929124039
1,41,[-0.79215353 -0.06957206  1.          0.91982528  0.68650561 -0.00458212],2.953545929124039
1,42,[-0.79754411  0.00664207  1.          0.99614443  0.67636382 -0.0107783 ],2.7001330944561412
1,43,[-0.79754411  0.00664207  1.          0.99614443  0.67636382 -0.0107783 ],2.7001330944561412
1,44,[-0.79754411  0.00664207  1.          0.99614443  0.67636382 -0.0107783 ],2.7001330944561412
1,45,[-0.79754411  0.00664207  1.          0.99614443  0.67636382 -0.0107783 ],2.7001330944561412
1,46,[-0.79754411  0.00664207  1.          0.99614443  0.67636382 -0.0107783 ],2.7001330944561412
1,47,[-0.79754411  0.00664207  1.          0.99614443  0.67636382 -0.0107783 ],2.7001330944561412
1,48,[-0.79754411  0.00664207  1.          0.99614443  0.67636382 -0.0107783 ],2.7001330944561412
1,49,[-0.79754411  0.00664207  1.          0.99614443  0.67636382 -0.0107783 ],2.7001330944561412
1,50,[-0.71513016  0.07053568  1.          1.          0.61045361 -0.01233869],2.68523466460172
1,51,[-0.71513016  0.07053568  1.          1.          0.61045361 -0.01233869],2.68523466460172
1,52,[-0.71513016  0.07053568  1.          1.          0.61045361 -0.01233869],2.68523466460172
1,53,[-0.8062261   0.02984375  1.          1.          0.74472108 -0.00746048],2.591510076097159
1,54,[-0.70793888  0.08677629  1.          1.          0.64680476 -0.00871884],2.5169145660593126
1,55,[-0.70793888  0.08677629  1.          1.          0.64680476 -0.00871884],2.5169145660593126
1,56,[-0.70793888  0.08677629  1.          1.          0.64680476 -0.00871884],2.5169145660593126
1,57,[-0.70793888  0.08677629  1.          1.          0.64680476 -0.00871884],2.5169145660593126
1,58,[-0.81423532  0.18277036  1.          0.89112853  0.89029465  0.00162586],2.435705285519366
1,59,[-0.81423532  0.18277036  1.          0.89112853  0.89029465  0.00162586],2.435705285519366
1,60,"[-7.33492632e-01  1.62978578e-01  1.00000000e+00  9.26851410e-01
  8.71639705e-01 -9.20008704e-04]",2.348526282154136
1,61,"[-7.33492632e-01  1.62978578e-01  1.00000000e+00  9.26851410e-01
  8.71639705e-01 -9.20008704e-04]",2.348526282154136
1,62,"[-7.33492632e-01  1.62978578e-01  1.00000000e+00  9.26851410e-01
  8.71639705e-01 -9.20008704e-04]",2.348526282154136
1,63,"[-7.33492632e-01  1.62978578e-01  1.00000000e+00  9.26851410e-01
  8.71639705e-01 -9.20008704e-04]",2.348526282154136
1,64,[-0.68847364  0.15672439  1.          0.89745175  0.71544363 -0.00723712],2.322644542312
1,65,[-0.68847364  0.15672439  1.          0.89745175  0.71544363 -0.00723712],2.322644542312
1,66,[-0.68847364  0.15672439  1.          0.89745175  0.71544363 -0.00723712],2.322644542312
1,67,[-0.78793418  0.2465226   1.          0.98311072  0.92392501 -0.002423  ],2.2651370015034558
1,68,[-0.78793418  0.2465226   1.          0.98311072  0.92392501 -0.002423  ],2.2651370015034558
1,69,[-0.57529353  0.18661189  1.          0.89398534  0.74917588 -0.00853812],2.0807810263879847
1,70,[-0.57529353  0.18661189  1.          0.89398534  0.74917588 -0.00853812],2.0807810263879847
1,71,[-0.57529353  0.18661189  1.          0.89398534  0.74917588 -0.00853812],2.0807810263879847
1,72,[-0.57529353  0.18661189  1.          0.89398534  0.74917588 -0.00853812],2.0807810263879847
1,73,[-0.57529353  0.18661189  1.          0.89398534  0.74917588 -0.00853812],2.0807810263879847
1,74,[-0.57529353  0.18661189  1.          0.89398534  0.74917588 -0.00853812],2.0807810263879847
1,75,[-0.61484676  0.49971573  0.91613946  1.          0.88565163 -0.00527764],1.9060222573854024
