Run,Generation,Best X Value,Best Fitness Value
1,0,[0.2050847  0.06270281 0.90436369 0.5344748  0.75806326 0.24067171],118.60559999999997
1,1,[0.14580936 0.02839908 0.83653775 0.54246138 0.85386143 0.15036409],77.34240000000007
1,2,[0.16160838 0.10376843 0.83772911 0.53175608 0.91739655 0.05514142],29.541599999999995
1,3,[0.08058635 0.04577068 0.84216287 0.542389   0.93582922 0.01741025],21.337400000000006
1,4,[0.08053803 0.10965827 1.         0.53939317 0.70307977 0.00557893],19.952099999999994
1,5,[0.01578468 0.17298235 0.95509902 0.5927227  0.66374683 0.01455473],19.51509999999999
1,6,[0.01578468 0.17298235 0.95509902 0.5927227  0.66374683 0.01455473],19.51509999999999
1,7,[0.01578468 0.17298235 0.95509902 0.5927227  0.66374683 0.01455473],19.51509999999999
1,8,[0.07224336 0.23933818 1.         0.53267232 0.67703416 0.01741285],19.269800000000004
1,9,[0.07224336 0.23933818 1.         0.53267232 0.67703416 0.01741285],19.269800000000004
1,10,[0.07224336 0.23933818 1.         0.53267232 0.67703416 0.01741285],19.269800000000004
1,11,[0.07224336 0.23933818 1.         0.53267232 0.67703416 0.01741285],19.269800000000004
1,12,[0.07224336 0.23933818 1.         0.53267232 0.67703416 0.01741285],19.269800000000004
1,13,[0.0207206  0.26346311 1.         0.43779127 0.60053633 0.01379815],18.6298
1,14,[0.0207206  0.26346311 1.         0.43779127 0.60053633 0.01379815],18.6298
1,15,[0.08508783 0.31126882 1.         0.4172983  0.50860074 0.00654779],18.506799999999995
1,16,[0.08508783 0.31126882 1.         0.4172983  0.50860074 0.00654779],18.506799999999995
1,17,[0.08508783 0.31126882 1.         0.4172983  0.50860074 0.00654779],18.506799999999995
1,18,[0.08508783 0.31126882 1.         0.4172983  0.50860074 0.00654779],18.506799999999995
1,19,[0.11959107 0.37980386 0.91148628 0.33893735 0.4863654  0.01306662],18.256700000000002
1,20,[0.06416174 0.25686158 1.         0.35492036 0.4479665  0.00992125],18.02970000000001
1,21,[0.06416174 0.25686158 1.         0.35492036 0.4479665  0.00992125],18.02970000000001
1,22,[0.06416174 0.25686158 1.         0.35492036 0.4479665  0.00992125],18.02970000000001
1,23,[0.05613159 0.34594911 1.         0.3213443  0.38337479 0.01009892],17.52590000000001
1,24,[0.06054728 0.34139482 1.         0.24974867 0.39356204 0.01120856],17.399600000000007
1,25,[0.06054728 0.34139482 1.         0.24974867 0.39356204 0.01120856],17.399600000000007
1,26,[0.0519051  0.36094782 1.         0.25892395 0.29011591 0.01267843],17.160700000000002
1,27,[0.0519051  0.36094782 1.         0.25892395 0.29011591 0.01267843],17.160700000000002
