Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.485235    0.21126403 -0.25409314  0.78724311  0.77416702 -0.06308744],30.653699999999976
1,1,[ 0.40300887  0.28118059 -0.23208791  0.70433604  0.70187236  0.00503022],29.21699999999999
1,2,[ 0.35843182  0.37897221 -0.17996939  0.61843825  0.62598222  0.00668593],27.37450000000002
1,3,[ 0.27886641  0.39351295 -0.10631631  0.64301074  0.66774668  0.06064862],26.425500000000014
1,4,[ 0.2268137   0.49655192 -0.14526851  0.75510475  0.713619    0.05235379],24.808200000000006
1,5,[ 0.17280087  0.50263282 -0.04597645  0.60553564  0.80433704  0.0613107 ],22.806399999999982
1,6,[ 0.17280087  0.50263282 -0.04597645  0.60553564  0.80433704  0.0613107 ],22.806399999999982
1,7,[ 0.18500711  0.51454247 -0.10505413  0.68770992  0.58009833 -0.07330431],22.143699999999985
1,8,[0.09317456 0.77295483 0.05330521 0.75223945 0.67163351 0.0255803 ],21.500199999999996
1,9,[0.02251334 0.86512024 0.12814745 0.67506242 0.65082031 0.01654703],20.8976
1,10,[ 0.03021867  0.91559751  0.20674154  0.61175284  0.68206941 -0.03029152],20.504399999999983
1,11,[0.00220274 0.95839406 0.28402107 0.64521675 0.60540723 0.00325736],20.109700000000007
1,12,[0.02367781 0.89153565 0.32625244 0.58975961 0.62674393 0.02750524],19.851100000000002
1,13,[ 0.09971727  0.953413    0.33344624  0.55960096  0.52211465 -0.08185604],18.812600000000018
1,14,[ 0.09971727  0.953413    0.33344624  0.55960096  0.52211465 -0.08185604],18.812600000000018
1,15,[ 0.09971727  0.953413    0.33344624  0.55960096  0.52211465 -0.08185604],18.812600000000018
1,16,[ 0.09971727  0.953413    0.33344624  0.55960096  0.52211465 -0.08185604],18.812600000000018
1,17,[ 0.10022475  1.          0.38317469  0.3553257   0.37867781 -0.00710607],18.690699999999993
1,18,[ 0.10022475  1.          0.38317469  0.3553257   0.37867781 -0.00710607],18.690699999999993
1,19,[ 0.06472851  0.74935499  0.46230462  0.29137028  0.30461472 -0.01089421],18.471799999999998
1,20,[ 0.00165332  0.99632954  0.43279459  0.50698527  0.39438039 -0.0830233 ],17.92930000000001
1,21,[ 0.00165332  0.99632954  0.43279459  0.50698527  0.39438039 -0.0830233 ],17.92930000000001
1,22,[ 0.06322858  0.9600465   0.58744486  0.22331732  0.07073796 -0.02983103],17.6226
1,23,[0.05367942 0.82830501 0.66142779 0.14080836 0.10166773 0.0400287 ],17.29929999999999
1,24,[0.15442475 1.         0.58545759 0.19299284 0.09078446 0.06112698],17.022499999999994
1,25,[0.15442475 1.         0.58545759 0.19299284 0.09078446 0.06112698],17.022499999999994
1,26,[0.15442475 1.         0.58545759 0.19299284 0.09078446 0.06112698],17.022499999999994
1,27,[ 0.09799706  0.96769401  0.59387368  0.09928553  0.02459165 -0.03188358],16.805799999999998
1,28,[ 0.09799706  0.96769401  0.59387368  0.09928553  0.02459165 -0.03188358],16.805799999999998
1,29,[ 0.09799706  0.96769401  0.59387368  0.09928553  0.02459165 -0.03188358],16.805799999999998
1,30,[ 0.09799706  0.96769401  0.59387368  0.09928553  0.02459165 -0.03188358],16.805799999999998
1,31,[ 0.09799706  0.96769401  0.59387368  0.09928553  0.02459165 -0.03188358],16.805799999999998
1,32,[ 0.09799706  0.96769401  0.59387368  0.09928553  0.02459165 -0.03188358],16.805799999999998
1,33,[ 0.09799706  0.96769401  0.59387368  0.09928553  0.02459165 -0.03188358],16.805799999999998
1,34,[ 0.09799706  0.96769401  0.59387368  0.09928553  0.02459165 -0.03188358],16.805799999999998
1,35,[ 0.09799706  0.96769401  0.59387368  0.09928553  0.02459165 -0.03188358],16.805799999999998
1,36,[ 0.09799706  0.96769401  0.59387368  0.09928553  0.02459165 -0.03188358],16.805799999999998
1,37,[ 0.09799706  0.96769401  0.59387368  0.09928553  0.02459165 -0.03188358],16.805799999999998
1,38,[ 0.09799706  0.96769401  0.59387368  0.09928553  0.02459165 -0.03188358],16.805799999999998
1,39,[ 0.01162048  0.79990909  0.67233178  0.03573979 -0.06405153  0.05480695],16.314499999999985
1,40,[ 0.01162048  0.79990909  0.67233178  0.03573979 -0.06405153  0.05480695],16.314499999999985
1,41,[ 0.01162048  0.79990909  0.67233178  0.03573979 -0.06405153  0.05480695],16.314499999999985
1,42,[ 0.01162048  0.79990909  0.67233178  0.03573979 -0.06405153  0.05480695],16.314499999999985
1,43,[ 0.01162048  0.79990909  0.67233178  0.03573979 -0.06405153  0.05480695],16.314499999999985
1,44,[ 0.01162048  0.79990909  0.67233178  0.03573979 -0.06405153  0.05480695],16.314499999999985
1,45,[-0.00840921  0.83964381  0.95487193 -0.04141522  0.02944503 -0.03429096],16.062299999999997
1,46,[ 0.02236093  0.71431909  0.9265538   0.06049854 -0.08436168 -0.02569807],16.048799999999986
1,47,[ 0.09274766  0.5270704   0.89883796 -0.22022433  0.12999423 -0.01796864],15.912700000000006
1,48,[ 0.09274766  0.5270704   0.89883796 -0.22022433  0.12999423 -0.01796864],15.912700000000006
1,49,[ 0.09274766  0.5270704   0.89883796 -0.22022433  0.12999423 -0.01796864],15.912700000000006
1,50,[ 0.01480034  0.86634551  0.91950731 -0.23301546  0.17124263 -0.02953941],15.772699999999993
1,51,[ 0.01480034  0.86634551  0.91950731 -0.23301546  0.17124263 -0.02953941],15.772699999999993
1,52,[ 0.01480034  0.86634551  0.91950731 -0.23301546  0.17124263 -0.02953941],15.772699999999993
1,53,[ 0.01480034  0.86634551  0.91950731 -0.23301546  0.17124263 -0.02953941],15.772699999999993
1,54,[ 0.01480034  0.86634551  0.91950731 -0.23301546  0.17124263 -0.02953941],15.772699999999993
1,55,[ 0.01480034  0.86634551  0.91950731 -0.23301546  0.17124263 -0.02953941],15.772699999999993
1,56,[ 0.01480034  0.86634551  0.91950731 -0.23301546  0.17124263 -0.02953941],15.772699999999993
1,57,[ 0.01480034  0.86634551  0.91950731 -0.23301546  0.17124263 -0.02953941],15.772699999999993
1,58,[ 0.01480034  0.86634551  0.91950731 -0.23301546  0.17124263 -0.02953941],15.772699999999993
1,59,[ 0.01480034  0.86634551  0.91950731 -0.23301546  0.17124263 -0.02953941],15.772699999999993
1,60,[ 0.04534281  0.57184043  0.99213718 -0.17417674  0.21142387  0.0304067 ],15.71919999999999
1,61,[ 0.04534281  0.57184043  0.99213718 -0.17417674  0.21142387  0.0304067 ],15.71919999999999
1,62,[ 0.04534281  0.57184043  0.99213718 -0.17417674  0.21142387  0.0304067 ],15.71919999999999
1,63,[ 0.04534281  0.57184043  0.99213718 -0.17417674  0.21142387  0.0304067 ],15.71919999999999
1,64,[ 0.04534281  0.57184043  0.99213718 -0.17417674  0.21142387  0.0304067 ],15.71919999999999
1,65,[ 0.04534281  0.57184043  0.99213718 -0.17417674  0.21142387  0.0304067 ],15.71919999999999
1,66,[ 0.04534281  0.57184043  0.99213718 -0.17417674  0.21142387  0.0304067 ],15.71919999999999
1,67,[ 0.04534281  0.57184043  0.99213718 -0.17417674  0.21142387  0.0304067 ],15.71919999999999
1,68,[ 0.04534281  0.57184043  0.99213718 -0.17417674  0.21142387  0.0304067 ],15.71919999999999
1,69,[ 0.12096074  0.6013143   0.95886223 -0.22697505  0.09382659  0.01619401],15.5433
1,70,[ 0.12096074  0.6013143   0.95886223 -0.22697505  0.09382659  0.01619401],15.5433
1,71,[ 0.12096074  0.6013143   0.95886223 -0.22697505  0.09382659  0.01619401],15.5433
1,72,[ 0.12096074  0.6013143   0.95886223 -0.22697505  0.09382659  0.01619401],15.5433
1,73,[ 0.12096074  0.6013143   0.95886223 -0.22697505  0.09382659  0.01619401],15.5433
1,74,[ 0.12096074  0.6013143   0.95886223 -0.22697505  0.09382659  0.01619401],15.5433
1,75,[ 0.12096074  0.6013143   0.95886223 -0.22697505  0.09382659  0.01619401],15.5433
1,76,[ 0.12096074  0.6013143   0.95886223 -0.22697505  0.09382659  0.01619401],15.5433
1,77,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,78,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,79,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,80,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,81,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,82,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,83,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,84,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,85,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,86,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,87,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,88,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,89,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,90,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,91,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,92,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,93,[ 0.18191263  0.56828158  0.95236002 -0.19514766 -0.03945032  0.04186128],15.467099999999995
1,94,[ 0.13007077  0.57404075  0.96449523 -0.20603913  0.03651095 -0.0566092 ],15.195199999999991
1,95,[ 0.13007077  0.57404075  0.96449523 -0.20603913  0.03651095 -0.0566092 ],15.195199999999991
1,96,[ 0.13007077  0.57404075  0.96449523 -0.20603913  0.03651095 -0.0566092 ],15.195199999999991
1,97,[ 0.13007077  0.57404075  0.96449523 -0.20603913  0.03651095 -0.0566092 ],15.195199999999991
1,98,[ 0.13007077  0.57404075  0.96449523 -0.20603913  0.03651095 -0.0566092 ],15.195199999999991
1,99,[ 0.13007077  0.57404075  0.96449523 -0.20603913  0.03651095 -0.0566092 ],15.195199999999991
2,0,[0.4195118  0.34316485 0.47564779 0.9609074  0.73742452 0.06128176],23.715000000000007
2,1,[0.33544035 0.42585283 0.46884236 0.99505363 0.70930778 0.08173441],22.55739999999999
2,2,[0.09651753 0.39980076 0.83183944 0.17349381 0.75423343 0.0331062 ],19.703200000000002
2,3,[0.09651753 0.39980076 0.83183944 0.17349381 0.75423343 0.0331062 ],19.703200000000002
2,4,[0.01110266 0.44400014 0.98268552 0.10616468 0.610383   0.06067606],18.9229
2,5,[-0.02057187  0.40598602  1.          0.03310681  0.6303922   0.06312928],18.115100000000012
2,6,[ 0.06769209  0.49210521  0.99448436  0.02590873  0.57560626 -0.0312286 ],17.743399999999998
2,7,[-0.02301459  0.51883667  1.         -0.06736886  0.57092437 -0.03630524],17.655400000000007
2,8,[ 0.07262401  0.45152267  0.97364201 -0.12254745  0.5238061  -0.02643823],17.3866
2,9,[ 0.07262401  0.45152267  0.97364201 -0.12254745  0.5238061  -0.02643823],17.3866
2,10,[ 0.04583368  0.5631648   0.98956603 -0.15627827  0.43468335 -0.04959011],17.227799999999995
2,11,[ 0.09386224  0.48485495  1.         -0.01777133  0.35800465  0.04146319],16.581300000000006
2,12,[ 0.00538985  0.62197392  1.         -0.045984    0.41021239 -0.02578735],16.413899999999998
2,13,[ 0.0597427   0.65643992  1.         -0.2583642   0.27700015  0.01499842],16.39619999999999
2,14,[ 0.0597427   0.65643992  1.         -0.2583642   0.27700015  0.01499842],16.39619999999999
2,15,"[ 3.94530517e-02  5.75995374e-01  9.21581954e-01 -2.21008765e-01
  2.46052697e-01  9.19429069e-04]",16.257899999999992
2,16,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,17,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,18,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,19,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,20,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,21,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,22,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,23,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,24,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,25,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,26,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,27,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,28,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,29,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,30,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,31,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,32,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,33,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,34,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,35,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,36,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,37,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,38,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,39,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,40,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,41,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,42,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,43,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,44,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,45,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,46,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,47,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,48,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,49,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,50,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,51,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,52,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,53,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,54,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,55,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,56,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,57,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,58,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,59,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,60,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,61,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,62,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,63,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,64,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,65,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,66,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,67,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,68,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,69,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,70,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,71,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,72,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,73,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,74,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,75,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,76,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,77,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,78,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,79,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,80,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,81,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,82,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,83,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
2,84,[ 0.02318968  0.64025691  0.94550392 -0.14467584  0.23280411 -0.04735832],15.36319999999999
