Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.0694993  -0.99775677  0.4795423   0.8568366   0.84071507 -0.09683743],2.4482530222470613
1,1,[-0.92234163  1.          0.58614139 -0.03436354  0.18514179  0.15886116],1.9659913231546584
1,2,[-0.90877253  1.          0.57579683 -0.01288943  0.28510668  0.06729338],1.2234632783394706
1,3,[-0.80615701  1.          0.47904428  0.95706863  0.92443765  0.07006318],0.8707383900360313
1,4,[-0.84782727  1.          0.45920028  0.96033076  0.89124406 -0.01796614],0.7918344346513324
1,5,[-0.68865712  0.93683877  0.62340098  1.          0.80093826 -0.00997609],0.702713758847405
1,6,[-0.59147368  0.99894745  0.65808921  1.          0.88215586  0.02613518],0.6723751153164721
1,7,[-0.6261086   0.9821647   0.7293885   0.99607075  0.93553931 -0.01901106],0.6694814773728478
1,8,[-0.52784854  1.          0.73197255  0.97154025  0.87364439 -0.02024634],0.6344055429353408
1,9,[-0.51208736  0.99813195  0.79221533  0.99025468  0.90885341 -0.00245368],0.6149416656302533
1,10,[-0.39625531  1.          0.88111403  0.92103679  0.75479449 -0.03341963],0.5970559110980797
1,11,[-0.35722514  1.          0.85486156  0.83943762  0.75758541 -0.00785926],0.5618829059525897
1,12,[-0.29265208  1.          0.75826782  0.7463394   0.73992047 -0.01841898],0.5601356854273412
1,13,[-0.29347836  0.97492688  0.91525625  0.93530978  0.8524183  -0.01017181],0.5537834692069166
1,14,[-0.24564369  0.89979007  0.75357323  0.77210047  0.60783228  0.00453108],0.5362348407271591
1,15,[-0.24564369  0.89979007  0.75357323  0.77210047  0.60783228  0.00453108],0.5362348407271591
1,16,[-0.1979922   0.98008234  0.80001979  0.68856095  0.6599221  -0.0057504 ],0.5219123085877623
1,17,[-0.1979922   0.98008234  0.80001979  0.68856095  0.6599221  -0.0057504 ],0.5219123085877623
1,18,[-0.1979922   0.98008234  0.80001979  0.68856095  0.6599221  -0.0057504 ],0.5219123085877623
1,19,[-0.13877919  0.87091409  0.77022267  0.64218144  0.6034864  -0.00973789],0.5190631559257995
1,20,[-0.13877919  0.87091409  0.77022267  0.64218144  0.6034864  -0.00973789],0.5190631559257995
1,21,[-0.04876788  0.84685402  0.8721231   0.83997579  0.49420723  0.0030217 ],0.5058871363853394
1,22,[-0.04876788  0.84685402  0.8721231   0.83997579  0.49420723  0.0030217 ],0.5058871363853394
1,23,"[-1.05126778e-01  1.00000000e+00  9.19550188e-01  6.07936150e-01
  5.50669499e-01 -9.65961953e-04]",0.49343372129232055
1,24,"[-1.05126778e-01  1.00000000e+00  9.19550188e-01  6.07936150e-01
  5.50669499e-01 -9.65961953e-04]",0.49343372129232055
1,25,"[-1.05126778e-01  1.00000000e+00  9.19550188e-01  6.07936150e-01
  5.50669499e-01 -9.65961953e-04]",0.49343372129232055
1,26,"[-1.39320622e-01  1.00000000e+00  9.01308135e-01  6.87326070e-01
  4.69789981e-01 -9.68805360e-04]",0.49039333258090984
1,27,[-0.08061652  0.93867537  0.84634457  0.52815774  0.46949008  0.00696431],0.4903658051671179
1,28,"[-1.01088645e-01  9.39615004e-01  9.31435169e-01  7.49725533e-01
  4.05153592e-01  8.90291351e-04]",0.4866862901881313
1,29,[-0.12211404  0.94340292  0.91928421  0.48312042  0.43750564 -0.00740628],0.48661531842527544
1,30,[-0.04160869  0.96371749  0.97678776  0.57791392  0.39709074  0.00867586],0.483856496830329
1,31,"[-5.73728616e-02  9.65508143e-01  9.43083059e-01  5.20189002e-01
  3.85608671e-01 -7.77458963e-04]",0.4760102623966451
1,32,[-0.02918253  0.99165876  0.90540992  0.49055739  0.32376749  0.0079841 ],0.47448788278658144
1,33,[ 0.00957182  0.90672383  0.96368996  0.47235821  0.22764088 -0.00609999],0.4716324582480213
1,34,[-0.01253957  0.93424483  0.88405837  0.4503495   0.29109195  0.00287534],0.47126645589967636
1,35,[-0.01253957  0.93424483  0.88405837  0.4503495   0.29109195  0.00287534],0.47126645589967636
1,36,[-0.09306055  1.          0.83172094  0.46884398  0.19128832 -0.00175976],0.45564035512424295
1,37,[-0.09306055  1.          0.83172094  0.46884398  0.19128832 -0.00175976],0.45564035512424295
1,38,[-0.09306055  1.          0.83172094  0.46884398  0.19128832 -0.00175976],0.45564035512424295
1,39,[-0.09306055  1.          0.83172094  0.46884398  0.19128832 -0.00175976],0.45564035512424295
1,40,[-0.09306055  1.          0.83172094  0.46884398  0.19128832 -0.00175976],0.45564035512424295
1,41,[-0.09306055  1.          0.83172094  0.46884398  0.19128832 -0.00175976],0.45564035512424295
1,42,[-0.05667876  0.92261346  1.          0.32818169  0.12613836 -0.00237668],0.4488211284488857
1,43,[-0.05667876  0.92261346  1.          0.32818169  0.12613836 -0.00237668],0.4488211284488857
1,44,[-0.05667876  0.92261346  1.          0.32818169  0.12613836 -0.00237668],0.4488211284488857
1,45,[-0.06053516  0.92588891  0.90285548  0.29020802  0.14802232 -0.00283533],0.4486889419418553
1,46,[-0.09081905  0.96069028  1.          0.23163292  0.03292758  0.00814092],0.4446729113581132
1,47,[-0.09081905  0.96069028  1.          0.23163292  0.03292758  0.00814092],0.4446729113581132
1,48,"[-8.27807677e-02  9.38573149e-01  9.12119093e-01  3.01125240e-01
  8.53883840e-02 -8.19207092e-04]",0.442871177746554
1,49,[-0.05283208  0.9687215   1.          0.38111701 -0.00426469 -0.00239842],0.4396112198601688
1,50,[-0.05283208  0.9687215   1.          0.38111701 -0.00426469 -0.00239842],0.4396112198601688
1,51,[-0.05283208  0.9687215   1.          0.38111701 -0.00426469 -0.00239842],0.4396112198601688
1,52,[ 0.02102499  0.9950002   0.94394004  0.260904   -0.06345055  0.00202526],0.4391479701184153
1,53,[ 0.02102499  0.9950002   0.94394004  0.260904   -0.06345055  0.00202526],0.4391479701184153
1,54,[-0.00266596  1.          0.98837171  0.3165785  -0.08112333 -0.00259735],0.43901080360553424
1,55,[-0.00266596  1.          0.98837171  0.3165785  -0.08112333 -0.00259735],0.43901080360553424
1,56,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,57,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,58,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,59,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,60,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,61,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,62,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,63,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,64,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,65,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,66,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,67,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,68,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,69,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,70,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,71,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,72,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,73,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,74,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,75,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,76,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,77,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,78,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,79,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,80,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,81,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,82,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,83,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,84,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,85,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,86,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,87,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,88,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,89,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,90,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,91,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,92,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,93,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,94,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,95,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,96,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,97,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,98,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
1,99,[-0.07491347  0.9606925   0.93791324  0.29428395  0.00988319 -0.00178118],0.4367168037747351
2,0,[ 0.74971181  0.71623145  0.79030589 -0.47621825  0.11971513  0.00176703],1.3096713916737768
2,1,[ 0.68762266  0.71891386  0.81315379 -0.48250961  0.15240695 -0.01680665],1.2980539150584525
2,2,[ 0.65258359  0.73821209  0.8460641   0.9016849   0.33869443 -0.02454507],0.6812623939479024
2,3,[0.58897769 0.74293218 0.87945412 0.81772386 0.28036154 0.00089335],0.6268504630986312
2,4,[0.60174261 0.82207284 0.88878817 0.72293541 0.18770059 0.00938481],0.6250553511635805
2,5,[0.51234193 0.83117007 0.96260011 0.81585496 0.18760696 0.006311  ],0.5874844047333835
2,6,[0.42085759 0.89336689 0.9983915  0.88740536 0.10643676 0.01070023],0.558194523934537
2,7,[0.42085759 0.89336689 0.9983915  0.88740536 0.10643676 0.01070023],0.558194523934537
2,8,[ 0.36620947  0.95249909  1.          0.85566075  0.19336733 -0.01426382],0.5449807244885982
2,9,"[ 2.81380886e-01  8.40140740e-01  1.00000000e+00  9.34180717e-01
  3.21711358e-01 -1.93426597e-04]",0.5371451904980779
2,10,[ 0.34361822  0.91563109  0.92527984  0.83481922  0.11633949 -0.00595944],0.5339879226509059
2,11,[ 0.18650791  0.9500332   0.97542374  0.94748302  0.07504875 -0.02197624],0.5217620578725568
2,12,[ 0.15053467  0.91762418  1.          0.90777032 -0.01472784 -0.01357572],0.4974350102580881
