Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.2652329   0.17643195  0.69336062  0.55904033  0.75180626 -0.05499266],0.600293869668244
1,1,[ 0.19063778  0.20624381  0.76030527  0.5841374   0.71401614 -0.0329848 ],0.5796693551130507
1,2,[ 0.28303468  0.30560226  0.67296705  0.6802581   0.73210149 -0.05087037],0.5746432238743676
1,3,[ 0.2657529   0.40424683  0.58244518  0.61451732  0.71941297 -0.05141775],0.5648835773333523
1,4,[ 0.2657529   0.40424683  0.58244518  0.61451732  0.71941297 -0.05141775],0.5648835773333523
1,5,[ 0.23177069  0.31896443  0.7548364   0.80318611  0.55767061 -0.04352819],0.5480314100137481
1,6,[ 0.13475078  0.44465799  0.63039129  0.76771107  0.6333825  -0.05044432],0.5450339061179077
1,7,[ 0.05259531  0.47005196  0.68628286  0.72020787  0.66806612 -0.03974385],0.53704502397988
1,8,[ 0.12003176  0.4862942   0.7273342   0.69136645  0.58077477 -0.02937048],0.5249751662059944
1,9,[ 0.00227875  0.51713636  0.80844217  0.78266669  0.47716798 -0.01642536],0.514246622293641
1,10,[ 0.19677365  0.5873409   0.88123618  0.64052888  0.44146998 -0.05588528],0.5028424809670277
1,11,[ 0.14552881  0.5439972   0.85464598  0.57793265  0.39831035 -0.02977976],0.4931340180215905
1,12,[ 0.14552881  0.5439972   0.85464598  0.57793265  0.39831035 -0.02977976],0.4931340180215905
1,13,[ 0.23877828  0.66188985  0.94425558  0.765719    0.32761522 -0.04115398],0.48674956651647633
1,14,[ 0.23877828  0.66188985  0.94425558  0.765719    0.32761522 -0.04115398],0.48674956651647633
1,15,[ 0.21050629  0.6141096   0.87858409  0.62351534  0.22142031 -0.02619187],0.48072852721121706
1,16,[ 0.27078785  0.66937923  0.84109451  0.58130753  0.19219699 -0.03329213],0.47535974298014116
1,17,[ 0.18044138  0.60411009  0.97597897  0.65548556  0.10927743 -0.04067461],0.4686221911384465
1,18,[ 0.22660594  0.59057246  1.          0.55702364  0.01358709 -0.03453904],0.4620015009486341
1,19,[ 0.22660594  0.59057246  1.          0.55702364  0.01358709 -0.03453904],0.4620015009486341
1,20,[ 0.16152875  0.66307299  0.91831771  0.48794697 -0.03675515 -0.02425968],0.4463031206965354
1,21,[ 0.16152875  0.66307299  0.91831771  0.48794697 -0.03675515 -0.02425968],0.4463031206965354
1,22,[ 0.08506785  0.70292854  1.          0.56583996 -0.08922908 -0.02913624],0.44305043733702243
1,23,[ 0.08506785  0.70292854  1.          0.56583996 -0.08922908 -0.02913624],0.44305043733702243
1,24,[-0.04879403  0.75915272  0.8740801   0.52124211 -0.07357584 -0.02317337],0.4398675352821676
1,25,[-0.03026207  0.75124013  0.77791658  0.58962008 -0.05144382 -0.02213212],0.438402784405082
1,26,[-0.03026207  0.75124013  0.77791658  0.58962008 -0.05144382 -0.02213212],0.438402784405082
1,27,[-0.03026207  0.75124013  0.77791658  0.58962008 -0.05144382 -0.02213212],0.438402784405082
1,28,[-0.02264919  0.71889296  0.80425386  0.47279413 -0.02948963 -0.01769675],0.43288758331938637
1,29,[-0.02264919  0.71889296  0.80425386  0.47279413 -0.02948963 -0.01769675],0.43288758331938637
1,30,[-0.02264919  0.71889296  0.80425386  0.47279413 -0.02948963 -0.01769675],0.43288758331938637
1,31,[-0.01415437  0.97444079  0.74111611  0.4573795   0.04310843 -0.0178792 ],0.4328043213548022
1,32,[-0.01415437  0.97444079  0.74111611  0.4573795   0.04310843 -0.0178792 ],0.4328043213548022
1,33,[ 0.02745242  0.92505514  0.75185101  0.54888791 -0.05393578 -0.02754944],0.42979581908265757
1,34,[-0.02241612  0.71502775  0.71519868  0.38611973 -0.04284444 -0.01711436],0.4274928835255068
1,35,[ 0.00418785  0.70223205  0.79209892  0.30536423 -0.06568148 -0.01970542],0.4244922123861503
1,36,[ 0.00418785  0.70223205  0.79209892  0.30536423 -0.06568148 -0.01970542],0.4244922123861503
1,37,[ 0.00418785  0.70223205  0.79209892  0.30536423 -0.06568148 -0.01970542],0.4244922123861503
1,38,[ 0.00418785  0.70223205  0.79209892  0.30536423 -0.06568148 -0.01970542],0.4244922123861503
1,39,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,40,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,41,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,42,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,43,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,44,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,45,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,46,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,47,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,48,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,49,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,50,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,51,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,52,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,53,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
1,54,[-0.00984831  0.75834405  0.76555067  0.23250722 -0.05549563 -0.01872553],0.4205196926724877
