Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.77799808  0.78588816 -0.0847452  -0.63133347  0.92861914 -0.05939825],19.02690021397237
1,1,"[ 2.49063961e-02  5.70404642e-01  5.65482068e-01  2.46160744e-01
  1.87830487e-01 -2.30238429e-04]",1.383808104517041
1,2,"[ 2.49063961e-02  5.70404642e-01  5.65482068e-01  2.46160744e-01
  1.87830487e-01 -2.30238429e-04]",1.383808104517041
1,3,"[ 2.49063961e-02  5.70404642e-01  5.65482068e-01  2.46160744e-01
  1.87830487e-01 -2.30238429e-04]",1.383808104517041
1,4,"[ 2.49063961e-02  5.70404642e-01  5.65482068e-01  2.46160744e-01
  1.87830487e-01 -2.30238429e-04]",1.383808104517041
1,5,"[-7.23385443e-02  6.04016019e-01  5.93440586e-01  3.69544944e-01
  2.97494692e-01 -1.09385966e-04]",1.3046992956482324
1,6,"[-7.23385443e-02  6.04016019e-01  5.93440586e-01  3.69544944e-01
  2.97494692e-01 -1.09385966e-04]",1.3046992956482324
1,7,"[-7.23385443e-02  6.04016019e-01  5.93440586e-01  3.69544944e-01
  2.97494692e-01 -1.09385966e-04]",1.3046992956482324
1,8,[ 0.21027774  0.54968065  0.64101578  0.36474944  0.28436376 -0.00191538],1.2148565652863084
1,9,[ 0.21027774  0.54968065  0.64101578  0.36474944  0.28436376 -0.00191538],1.2148565652863084
1,10,[ 0.21027774  0.54968065  0.64101578  0.36474944  0.28436376 -0.00191538],1.2148565652863084
1,11,[ 0.21027774  0.54968065  0.64101578  0.36474944  0.28436376 -0.00191538],1.2148565652863084
1,12,[ 0.16080612  0.55458212  0.71251306  0.40198649  0.3060321  -0.00127464],1.1475530893660977
1,13,[ 0.16080612  0.55458212  0.71251306  0.40198649  0.3060321  -0.00127464],1.1475530893660977
1,14,[ 0.16080612  0.55458212  0.71251306  0.40198649  0.3060321  -0.00127464],1.1475530893660977
1,15,[ 0.16080612  0.55458212  0.71251306  0.40198649  0.3060321  -0.00127464],1.1475530893660977
1,16,[ 0.16080612  0.55458212  0.71251306  0.40198649  0.3060321  -0.00127464],1.1475530893660977
1,17,[ 0.16080612  0.55458212  0.71251306  0.40198649  0.3060321  -0.00127464],1.1475530893660977
1,18,[ 0.16080612  0.55458212  0.71251306  0.40198649  0.3060321  -0.00127464],1.1475530893660977
1,19,[ 0.16080612  0.55458212  0.71251306  0.40198649  0.3060321  -0.00127464],1.1475530893660977
1,20,[ 0.16080612  0.55458212  0.71251306  0.40198649  0.3060321  -0.00127464],1.1475530893660977
1,21,[ 0.16080612  0.55458212  0.71251306  0.40198649  0.3060321  -0.00127464],1.1475530893660977
1,22,"[ 1.05500624e-01  7.17572845e-01  7.37662165e-01  5.21253726e-01
  4.65738548e-01 -7.17184546e-04]",1.1316416052709704
1,23,"[ 1.05500624e-01  7.17572845e-01  7.37662165e-01  5.21253726e-01
  4.65738548e-01 -7.17184546e-04]",1.1316416052709704
1,24,[ 0.07896205  0.68465417  0.78861425  0.52074671  0.48498254 -0.00107772],1.087228436555508
1,25,[ 0.07896205  0.68465417  0.78861425  0.52074671  0.48498254 -0.00107772],1.087228436555508
1,26,[ 0.07896205  0.68465417  0.78861425  0.52074671  0.48498254 -0.00107772],1.087228436555508
1,27,[ 0.07896205  0.68465417  0.78861425  0.52074671  0.48498254 -0.00107772],1.087228436555508
1,28,[ 0.07896205  0.68465417  0.78861425  0.52074671  0.48498254 -0.00107772],1.087228436555508
1,29,[ 0.07896205  0.68465417  0.78861425  0.52074671  0.48498254 -0.00107772],1.087228436555508
1,30,[ 0.07896205  0.68465417  0.78861425  0.52074671  0.48498254 -0.00107772],1.087228436555508
1,31,[ 0.07896205  0.68465417  0.78861425  0.52074671  0.48498254 -0.00107772],1.087228436555508
1,32,[ 0.07896205  0.68465417  0.78861425  0.52074671  0.48498254 -0.00107772],1.087228436555508
1,33,[ 0.07896205  0.68465417  0.78861425  0.52074671  0.48498254 -0.00107772],1.087228436555508
1,34,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,35,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,36,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,37,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,38,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,39,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,40,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,41,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,42,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,43,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,44,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,45,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,46,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,47,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,48,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,49,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,50,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,51,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,52,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,53,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,54,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,55,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,56,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,57,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,58,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,59,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,60,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,61,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,62,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,63,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,64,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,65,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,66,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,67,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,68,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,69,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,70,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,71,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,72,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,73,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,74,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,75,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,76,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
1,77,[ 0.07889233  0.48125238  0.69992867  0.40583931  0.34201362 -0.00227027],1.0713235880061294
