Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.63836244 -0.0106049   0.99601494 -0.05273742  0.16329909 -0.00919013],9.695468032702236
1,1,[ 0.91768912 -0.03672662 -0.45117705  0.89716431  0.86319037 -0.00337591],9.506669771170507
1,2,[ 0.91768912 -0.03672662 -0.45117705  0.89716431  0.86319037 -0.00337591],9.506669771170507
1,3,[ 0.91768912 -0.03672662 -0.45117705  0.89716431  0.86319037 -0.00337591],9.506669771170507
1,4,"[-6.56651414e-01  5.78483290e-02  1.00000000e+00  2.18503375e-02
  1.74745098e-01 -8.99953962e-07]",8.841971465101542
1,5,[-0.62434173  0.06147024  0.98537441  0.02852563  0.26866982 -0.00240468],7.796853148632969
1,6,[-0.62434173  0.06147024  0.98537441  0.02852563  0.26866982 -0.00240468],7.796853148632969
1,7,[ 0.92710621 -0.00409723 -0.55016707  0.94570687  0.90441513  0.00812987],6.14360613610524
1,8,[ 0.92710621 -0.00409723 -0.55016707  0.94570687  0.90441513  0.00812987],6.14360613610524
1,9,[ 0.92710621 -0.00409723 -0.55016707  0.94570687  0.90441513  0.00812987],6.14360613610524
1,10,[ 0.92710621 -0.00409723 -0.55016707  0.94570687  0.90441513  0.00812987],6.14360613610524
1,11,[ 0.99695196  0.04532062 -0.47588165  1.          0.95988443  0.00856819],5.42110890540279
1,12,[ 0.99695196  0.04532062 -0.47588165  1.          0.95988443  0.00856819],5.42110890540279
1,13,[ 0.95869542  0.08709875 -0.39442819  0.90041039  0.94596575  0.00629133],4.949930268420187
1,14,[ 0.95869542  0.08709875 -0.39442819  0.90041039  0.94596575  0.00629133],4.949930268420187
1,15,[ 0.95869542  0.08709875 -0.39442819  0.90041039  0.94596575  0.00629133],4.949930268420187
1,16,"[ 8.66715761e-01  1.86902726e-01 -3.17034140e-01  8.24841884e-01
  9.75724205e-01  2.19469450e-05]",4.799040101817274
1,17,"[ 8.66715761e-01  1.86902726e-01 -3.17034140e-01  8.24841884e-01
  9.75724205e-01  2.19469450e-05]",4.799040101817274
1,18,"[ 8.66715761e-01  1.86902726e-01 -3.17034140e-01  8.24841884e-01
  9.75724205e-01  2.19469450e-05]",4.799040101817274
1,19,"[ 8.66715761e-01  1.86902726e-01 -3.17034140e-01  8.24841884e-01
  9.75724205e-01  2.19469450e-05]",4.799040101817274
1,20,[ 0.94843643  0.09781232 -0.21911981  0.80231318  0.89886368  0.00374725],4.409490675035799
1,21,[ 0.88751977  0.2102722  -0.22938788  0.91301347  0.93424377  0.00687378],3.972069941276977
1,22,[ 0.88751977  0.2102722  -0.22938788  0.91301347  0.93424377  0.00687378],3.972069941276977
1,23,[ 0.84471516  0.20354694 -0.14877372  0.92326501  0.94546617  0.00518764],3.7516976842794914
1,24,[ 0.84471516  0.20354694 -0.14877372  0.92326501  0.94546617  0.00518764],3.7516976842794914
1,25,[ 0.84471516  0.20354694 -0.14877372  0.92326501  0.94546617  0.00518764],3.7516976842794914
1,26,[ 0.84471516  0.20354694 -0.14877372  0.92326501  0.94546617  0.00518764],3.7516976842794914
1,27,[ 0.77316515  0.30739658 -0.14706193  0.70754874  0.86856717  0.0035444 ],3.4273206247206565
1,28,[ 0.77316515  0.30739658 -0.14706193  0.70754874  0.86856717  0.0035444 ],3.4273206247206565
