Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.90335058  0.80462729  0.4566231  -0.87200722 -0.21037906 -0.11049581],124.74203057658794
1,1,[ 0.4760641  -0.2765777   0.55795637  0.60608487 -0.12145918  0.00787971],10.04540236963786
1,2,[ 0.39113494 -0.20072338  0.50319921  0.63820143 -0.14412766  0.01311299],9.967820881923629
1,3,[-0.87256997  0.73511865  0.59890629  0.49100764 -0.27231783  0.00228809],8.402477754658412
1,4,[-1.          0.77986534  0.23464011  0.48879735  0.27971021  0.00905549],4.497891112656146
1,5,[-1.          0.77986534  0.23464011  0.48879735  0.27971021  0.00905549],4.497891112656146
1,6,[-1.          0.77986534  0.23464011  0.48879735  0.27971021  0.00905549],4.497891112656146
1,7,[-1.          0.77986534  0.23464011  0.48879735  0.27971021  0.00905549],4.497891112656146
1,8,[-1.          0.77986534  0.23464011  0.48879735  0.27971021  0.00905549],4.497891112656146
1,9,[-1.          0.8665399   0.20193655  0.56732802  0.23810074  0.01067541],4.353126357998843
1,10,[-1.          0.94143624  0.22529876  0.54778346  0.20877331  0.01034445],4.334129212109214
1,11,[-0.90871659  0.62529517  0.21156246  0.58561404  0.44027862  0.01184338],4.060443869676986
1,12,[-0.82548162  0.60981906  0.24821193  0.58769055  0.39200405  0.00930188],3.7742862900580114
1,13,[-0.82548162  0.60981906  0.24821193  0.58769055  0.39200405  0.00930188],3.7742862900580114
1,14,[-0.82548162  0.60981906  0.24821193  0.58769055  0.39200405  0.00930188],3.7742862900580114
1,15,[-0.82548162  0.60981906  0.24821193  0.58769055  0.39200405  0.00930188],3.7742862900580114
1,16,[-0.760166    0.6882424   0.25784061  0.65366246  0.47740625  0.00521299],3.3466518646597603
1,17,[-0.760166    0.6882424   0.25784061  0.65366246  0.47740625  0.00521299],3.3466518646597603
1,18,[-0.760166    0.6882424   0.25784061  0.65366246  0.47740625  0.00521299],3.3466518646597603
1,19,[-0.760166    0.6882424   0.25784061  0.65366246  0.47740625  0.00521299],3.3466518646597603
1,20,[-0.76361322  0.64947999  0.20360564  0.73968515  0.52474303  0.00599279],3.310782926358169
1,21,[-0.69853932  0.63311219  0.26236007  0.66034448  0.58337935  0.00316187],3.1080147518426604
1,22,[-0.69853932  0.63311219  0.26236007  0.66034448  0.58337935  0.00316187],3.1080147518426604
1,23,[-0.69853932  0.63311219  0.26236007  0.66034448  0.58337935  0.00316187],3.1080147518426604
1,24,[-0.72290228  0.65934759  0.28793634  0.56071512  0.59365512  0.00328769],3.0975534091374195
1,25,[-0.72290228  0.65934759  0.28793634  0.56071512  0.59365512  0.00328769],3.0975534091374195
1,26,[-0.72290228  0.65934759  0.28793634  0.56071512  0.59365512  0.00328769],3.0975534091374195
1,27,[-0.78337372  0.71247046  0.27223679  0.69019993  0.73736178  0.0065915 ],2.8752758384949972
1,28,[-0.78337372  0.71247046  0.27223679  0.69019993  0.73736178  0.0065915 ],2.8752758384949972
1,29,[-0.71748631  0.78924737  0.3047576   0.61614488  0.68640437  0.0053614 ],2.683329500308581
1,30,[-0.71748631  0.78924737  0.3047576   0.61614488  0.68640437  0.0053614 ],2.683329500308581
1,31,[-0.71748631  0.78924737  0.3047576   0.61614488  0.68640437  0.0053614 ],2.683329500308581
1,32,[-0.62538657  0.78756297  0.24729875  0.54071527  0.67671417  0.00573697],2.5252011988499468
1,33,[-0.62538657  0.78756297  0.24729875  0.54071527  0.67671417  0.00573697],2.5252011988499468
1,34,[-0.62538657  0.78756297  0.24729875  0.54071527  0.67671417  0.00573697],2.5252011988499468
1,35,[-0.62538657  0.78756297  0.24729875  0.54071527  0.67671417  0.00573697],2.5252011988499468
1,36,[-0.62538657  0.78756297  0.24729875  0.54071527  0.67671417  0.00573697],2.5252011988499468
1,37,[-0.62555036  0.8589064   0.26070382  0.74828622  0.69364045  0.00696237],2.314479982945195
1,38,[-0.62555036  0.8589064   0.26070382  0.74828622  0.69364045  0.00696237],2.314479982945195
1,39,[-0.62555036  0.8589064   0.26070382  0.74828622  0.69364045  0.00696237],2.314479982945195
1,40,[-0.48477613  0.78885821  0.2577378   0.80648973  0.66718627  0.0108767 ],2.1512988970030986
1,41,[-0.48477613  0.78885821  0.2577378   0.80648973  0.66718627  0.0108767 ],2.1512988970030986
1,42,[-0.31368681  0.85637907  0.23459919  0.92585563  0.70166783  0.00624671],1.866482310290003
1,43,[-0.31368681  0.85637907  0.23459919  0.92585563  0.70166783  0.00624671],1.866482310290003
1,44,[-0.33673118  0.70547487  0.39630259  0.74886571  0.6853443   0.00205316],1.7592799872135922
1,45,[-0.31323754  0.6941171   0.48171069  0.8341698   0.78004989  0.00730365],1.6774544075620594
1,46,[-0.31323754  0.6941171   0.48171069  0.8341698   0.78004989  0.00730365],1.6774544075620594
1,47,[-0.31323754  0.6941171   0.48171069  0.8341698   0.78004989  0.00730365],1.6774544075620594
1,48,[-0.31323754  0.6941171   0.48171069  0.8341698   0.78004989  0.00730365],1.6774544075620594
1,49,[-0.31323754  0.6941171   0.48171069  0.8341698   0.78004989  0.00730365],1.6774544075620594
1,50,[-0.31323754  0.6941171   0.48171069  0.8341698   0.78004989  0.00730365],1.6774544075620594
1,51,[-0.30309802  0.60551406  0.51301978  0.91394129  0.75441731  0.00558596],1.590645669854338
1,52,[-0.30309802  0.60551406  0.51301978  0.91394129  0.75441731  0.00558596],1.590645669854338
1,53,[-0.30309802  0.60551406  0.51301978  0.91394129  0.75441731  0.00558596],1.590645669854338
1,54,[-0.33052563  0.6673717   0.57826243  0.87336737  0.80703271  0.00361666],1.5665919783968871
1,55,[-0.33052563  0.6673717   0.57826243  0.87336737  0.80703271  0.00361666],1.5665919783968871
1,56,[-0.33052563  0.6673717   0.57826243  0.87336737  0.80703271  0.00361666],1.5665919783968871
1,57,[-0.33052563  0.6673717   0.57826243  0.87336737  0.80703271  0.00361666],1.5665919783968871
1,58,[-0.33052563  0.6673717   0.57826243  0.87336737  0.80703271  0.00361666],1.5665919783968871
1,59,[-0.33052563  0.6673717   0.57826243  0.87336737  0.80703271  0.00361666],1.5665919783968871
1,60,[-0.33052563  0.6673717   0.57826243  0.87336737  0.80703271  0.00361666],1.5665919783968871
1,61,[-0.33052563  0.6673717   0.57826243  0.87336737  0.80703271  0.00361666],1.5665919783968871
1,62,[-0.33052563  0.6673717   0.57826243  0.87336737  0.80703271  0.00361666],1.5665919783968871
1,63,[-0.23871631  0.72084797  0.59413065  0.77854876  0.83954199  0.00085639],1.3857897809718043
1,64,[-0.23871631  0.72084797  0.59413065  0.77854876  0.83954199  0.00085639],1.3857897809718043
1,65,[-0.23871631  0.72084797  0.59413065  0.77854876  0.83954199  0.00085639],1.3857897809718043
1,66,[-0.22750644  0.77359767  0.61468614  0.80270658  0.84450579  0.00109071],1.349274809520348
1,67,[-0.22750644  0.77359767  0.61468614  0.80270658  0.84450579  0.00109071],1.349274809520348
1,68,[-0.18150132  0.72905328  0.54673322  0.83777     0.85373531  0.00242961],1.3272046059409626
1,69,[-0.18150132  0.72905328  0.54673322  0.83777     0.85373531  0.00242961],1.3272046059409626
1,70,[-0.18150132  0.72905328  0.54673322  0.83777     0.85373531  0.00242961],1.3272046059409626
1,71,[-0.18786968  0.67790731  0.6375284   0.74903236  0.74655114  0.00197219],1.303399805219433
1,72,"[-1.72449196e-01  8.33678966e-01  6.44506587e-01  7.07142097e-01
  9.07209187e-01 -4.27585666e-04]",1.2648034822030076
1,73,"[-1.72449196e-01  8.33678966e-01  6.44506587e-01  7.07142097e-01
  9.07209187e-01 -4.27585666e-04]",1.2648034822030076
1,74,"[-1.72449196e-01  8.33678966e-01  6.44506587e-01  7.07142097e-01
  9.07209187e-01 -4.27585666e-04]",1.2648034822030076
1,75,"[-1.72449196e-01  8.33678966e-01  6.44506587e-01  7.07142097e-01
  9.07209187e-01 -4.27585666e-04]",1.2648034822030076
1,76,"[-1.72449196e-01  8.33678966e-01  6.44506587e-01  7.07142097e-01
  9.07209187e-01 -4.27585666e-04]",1.2648034822030076
1,77,"[-1.72449196e-01  8.33678966e-01  6.44506587e-01  7.07142097e-01
  9.07209187e-01 -4.27585666e-04]",1.2648034822030076
1,78,"[-1.72449196e-01  8.33678966e-01  6.44506587e-01  7.07142097e-01
  9.07209187e-01 -4.27585666e-04]",1.2648034822030076
1,79,"[-1.72449196e-01  8.33678966e-01  6.44506587e-01  7.07142097e-01
  9.07209187e-01 -4.27585666e-04]",1.2648034822030076
1,80,"[-1.72449196e-01  8.33678966e-01  6.44506587e-01  7.07142097e-01
  9.07209187e-01 -4.27585666e-04]",1.2648034822030076
1,81,"[-1.72449196e-01  8.33678966e-01  6.44506587e-01  7.07142097e-01
  9.07209187e-01 -4.27585666e-04]",1.2648034822030076
1,82,"[-1.72449196e-01  8.33678966e-01  6.44506587e-01  7.07142097e-01
  9.07209187e-01 -4.27585666e-04]",1.2648034822030076
1,83,"[-1.72449196e-01  8.33678966e-01  6.44506587e-01  7.07142097e-01
  9.07209187e-01 -4.27585666e-04]",1.2648034822030076
