Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.40853506  0.39096457  0.52344932 -0.13869007 -0.5176051  -0.00447817],21.258254410545828
1,1,[ 0.40853506  0.39096457  0.52344932 -0.13869007 -0.5176051  -0.00447817],21.258254410545828
1,2,[ 0.29641527  0.40013802  0.52019233 -0.06587547 -0.53379352  0.00119818],17.587690777206284
1,3,[-0.7673019  -0.81221853 -0.85659358  0.83755397  0.78444753  0.02379704],15.293935869138238
1,4,[ 0.5174354   0.43816531  0.54423473 -0.11985444 -0.34305103  0.00363656],11.674094894894994
1,5,[ 0.49412367  0.46210627  0.61486107 -0.07086543 -0.24611463  0.00302474],8.371792600898553
1,6,[ 0.49412367  0.46210627  0.61486107 -0.07086543 -0.24611463  0.00302474],8.371792600898553
1,7,[ 0.41398005  0.54915941  0.5323049  -0.02576445 -0.1591672   0.00560842],6.538333185250525
1,8,[ 0.41398005  0.54915941  0.5323049  -0.02576445 -0.1591672   0.00560842],6.538333185250525
1,9,"[ 3.42738948e-01  5.49115961e-01  6.95618124e-01 -2.46313493e-02
 -1.33882687e-01  5.52430116e-04]",4.939316624834993
1,10,"[ 3.42738948e-01  5.49115961e-01  6.95618124e-01 -2.46313493e-02
 -1.33882687e-01  5.52430116e-04]",4.939316624834993
1,11,[ 0.2983898   0.61213548  0.77447914  0.01598956 -0.18547057  0.00105296],4.890562219530576
1,12,[ 0.29055225  0.57961043  0.73660389  0.15569595 -0.11106395 -0.00076827],3.7147287123595643
1,13,[ 0.3111357   0.64928172  0.68803003  0.17459319 -0.03859584  0.00107701],2.6916468658235515
1,14,"[2.20425916e-01 7.41705631e-01 7.49279179e-01 2.12121587e-01
 2.67760458e-02 7.14154939e-04]",2.2265009989788513
1,15,"[2.20425916e-01 7.41705631e-01 7.49279179e-01 2.12121587e-01
 2.67760458e-02 7.14154939e-04]",2.2265009989788513
1,16,"[2.20425916e-01 7.41705631e-01 7.49279179e-01 2.12121587e-01
 2.67760458e-02 7.14154939e-04]",2.2265009989788513
1,17,"[2.20425916e-01 7.41705631e-01 7.49279179e-01 2.12121587e-01
 2.67760458e-02 7.14154939e-04]",2.2265009989788513
1,18,[0.2411627  0.71370101 0.76911798 0.28074808 0.03895348 0.00093547],2.0743371920715843
1,19,[ 0.14379922  0.65715583  0.77529364  0.21648966  0.06445111 -0.00145762],2.0417082059564007
1,20,[ 0.14379922  0.65715583  0.77529364  0.21648966  0.06445111 -0.00145762],2.0417082059564007
1,21,[ 0.14379922  0.65715583  0.77529364  0.21648966  0.06445111 -0.00145762],2.0417082059564007
1,22,[ 0.14379922  0.65715583  0.77529364  0.21648966  0.06445111 -0.00145762],2.0417082059564007
1,23,[ 0.14379922  0.65715583  0.77529364  0.21648966  0.06445111 -0.00145762],2.0417082059564007
1,24,[ 0.14379922  0.65715583  0.77529364  0.21648966  0.06445111 -0.00145762],2.0417082059564007
1,25,[ 0.14379922  0.65715583  0.77529364  0.21648966  0.06445111 -0.00145762],2.0417082059564007
