Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.94450713  0.31667511 -0.21152415  0.98549324 -0.33926807 -0.0089941 ],64.36610000000003
1,1,[ 0.39305652  0.76514773  0.65515623  1.         -0.30947518 -0.03179669],22.387400000000007
1,2,[ 0.39305652  0.76514773  0.65515623  1.         -0.30947518 -0.03179669],22.387400000000007
1,3,[ 0.47140904  0.78524158  0.61371398  0.9547744  -0.23621424  0.00293973],21.11579999999998
1,4,[ 0.42851678  0.65510957  0.73999507  0.99419952 -0.14559688 -0.0197125 ],20.567000000000004
1,5,[ 0.42851678  0.65510957  0.73999507  0.99419952 -0.14559688 -0.0197125 ],20.567000000000004
1,6,[ 0.31591082  0.64894661  0.68067541  0.93073048 -0.12962727 -0.00693237],20.2409
1,7,[ 0.23030173  0.70843058  0.7458011   0.91975069 -0.1081795   0.00113097],20.0418
1,8,[ 0.29270711  0.61044466  0.84503617  0.8516694  -0.19968327 -0.00377002],20.03209999999998
1,9,[ 0.15675203  0.6190959   0.78335429  0.98362941 -0.10126273  0.00723099],19.909500000000005
1,10,[ 0.16574019  0.57987639  0.85342273  0.93034743 -0.01990296 -0.00443191],19.828800000000005
1,11,[ 0.16574019  0.57987639  0.85342273  0.93034743 -0.01990296 -0.00443191],19.828800000000005
1,12,[ 0.16574019  0.57987639  0.85342273  0.93034743 -0.01990296 -0.00443191],19.828800000000005
1,13,[ 0.16574019  0.57987639  0.85342273  0.93034743 -0.01990296 -0.00443191],19.828800000000005
1,14,[ 0.16574019  0.57987639  0.85342273  0.93034743 -0.01990296 -0.00443191],19.828800000000005
1,15,[ 0.16574019  0.57987639  0.85342273  0.93034743 -0.01990296 -0.00443191],19.828800000000005
1,16,[-0.0623289   0.61656724  0.57461217  1.         -0.19173535  0.0046515 ],19.758400000000005
1,17,[-0.0623289   0.61656724  0.57461217  1.         -0.19173535  0.0046515 ],19.758400000000005
1,18,[0.10484171 0.48335015 1.         0.81597053 0.0283129  0.00821495],19.662099999999988
1,19,"[ 1.45660729e-01  5.35162745e-01  1.00000000e+00  7.63732065e-01
 -2.55845618e-02 -5.95633547e-04]",19.64140000000002
1,20,"[ 1.45660729e-01  5.35162745e-01  1.00000000e+00  7.63732065e-01
 -2.55845618e-02 -5.95633547e-04]",19.64140000000002
1,21,[-0.02216404  0.81780024  0.5347309   0.87927916 -0.19593542  0.01613921],19.61930000000002
1,22,[-0.08352885  0.79892873  0.61934498  0.75279899 -0.00156866  0.01433817],19.609999999999992
1,23,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,24,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,25,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,26,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,27,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,28,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,29,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,30,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,31,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,32,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,33,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,34,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,35,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,36,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,37,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,38,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,39,[-0.11725889  0.81277857  0.64271375  0.77319313 -0.05705491  0.0185516 ],19.515600000000006
1,40,[-0.05294686  0.82763406  0.57963629  0.84773194 -0.08561861  0.01626006],19.405699999999996
1,41,[-0.05294686  0.82763406  0.57963629  0.84773194 -0.08561861  0.01626006],19.405699999999996
1,42,[-0.05294686  0.82763406  0.57963629  0.84773194 -0.08561861  0.01626006],19.405699999999996
1,43,[-0.05294686  0.82763406  0.57963629  0.84773194 -0.08561861  0.01626006],19.405699999999996
1,44,[-0.05294686  0.82763406  0.57963629  0.84773194 -0.08561861  0.01626006],19.405699999999996
1,45,[-0.05294686  0.82763406  0.57963629  0.84773194 -0.08561861  0.01626006],19.405699999999996
1,46,[-0.05294686  0.82763406  0.57963629  0.84773194 -0.08561861  0.01626006],19.405699999999996
1,47,[-0.05294686  0.82763406  0.57963629  0.84773194 -0.08561861  0.01626006],19.405699999999996
1,48,[-0.05294686  0.82763406  0.57963629  0.84773194 -0.08561861  0.01626006],19.405699999999996
1,49,[-0.05294686  0.82763406  0.57963629  0.84773194 -0.08561861  0.01626006],19.405699999999996
1,50,[-0.05294686  0.82763406  0.57963629  0.84773194 -0.08561861  0.01626006],19.405699999999996
1,51,[-0.05294686  0.82763406  0.57963629  0.84773194 -0.08561861  0.01626006],19.405699999999996
1,52,[-0.05294686  0.82763406  0.57963629  0.84773194 -0.08561861  0.01626006],19.405699999999996
1,53,[-0.10520259  0.9148639   0.67568873  0.88987331 -0.03828269  0.0222108 ],19.362699999999986
1,54,[-0.10520259  0.9148639   0.67568873  0.88987331 -0.03828269  0.0222108 ],19.362699999999986
1,55,[-0.10520259  0.9148639   0.67568873  0.88987331 -0.03828269  0.0222108 ],19.362699999999986
1,56,[-0.10520259  0.9148639   0.67568873  0.88987331 -0.03828269  0.0222108 ],19.362699999999986
1,57,[-0.10520259  0.9148639   0.67568873  0.88987331 -0.03828269  0.0222108 ],19.362699999999986
1,58,[-0.10520259  0.9148639   0.67568873  0.88987331 -0.03828269  0.0222108 ],19.362699999999986
1,59,[-0.10520259  0.9148639   0.67568873  0.88987331 -0.03828269  0.0222108 ],19.362699999999986
1,60,[-0.01533111  0.86832678  0.49456502  0.80621767 -0.01159205  0.02098618],19.345399999999984
1,61,[-0.01533111  0.86832678  0.49456502  0.80621767 -0.01159205  0.02098618],19.345399999999984
1,62,[-0.01533111  0.86832678  0.49456502  0.80621767 -0.01159205  0.02098618],19.345399999999984
