Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.97142131  0.67337155  0.89925712 -0.81180998  0.79506799  0.19282673],22.90900000000001
1,1,[ 0.89576712  0.71830241  0.94614623 -0.73660548  0.75426169  0.17387649],21.30020000000001
1,2,[ 0.94301987  0.76670588  1.         -0.79530025  0.71289771  0.04403761],20.27839999999998
1,3,[ 0.7412225   0.8209041   0.98004645 -0.72511712  0.85696868  0.16763012],19.94769999999999
1,4,[ 0.86177452  0.84032417  1.         -0.75151064  0.62267672  0.09254485],19.52969999999998
1,5,[ 0.66885275  0.74685671  1.         -0.69582789  0.65734724  0.10443109],19.165399999999995
1,6,[ 0.66885275  0.74685671  1.         -0.69582789  0.65734724  0.10443109],19.165399999999995
1,7,[ 0.61274967  0.77454614  1.         -0.60655949  0.55934175  0.10603032],18.764699999999998
1,8,[ 0.55597709  0.82004412  0.99584622 -0.55691223  0.48408182  0.10966335],18.512300000000003
1,9,[ 0.4936553   0.78865045  0.96310988 -0.44502704  0.49055382  0.09828031],18.479900000000004
1,10,[ 0.43679026  0.85380462  1.         -0.44873413  0.40834874  0.07890812],18.3076
1,11,[ 0.3428298   0.85103351  1.         -0.48610135  0.487946    0.08688857],18.22629999999999
1,12,[ 0.3428298   0.85103351  1.         -0.48610135  0.487946    0.08688857],18.22629999999999
1,13,[ 0.32947703  0.89044788  1.         -0.45463214  0.5108802   0.11227658],18.21810000000001
1,14,[ 0.22105838  0.67611645  0.9557313  -0.37057327  0.49545194  0.13634697],18.17760000000001
1,15,[ 0.20535949  0.58748656  0.85593563 -0.40044296  0.50199799  0.09365779],18.167099999999984
1,16,[ 0.21589319  0.64584072  1.         -0.42304563  0.46547238  0.08986389],18.061400000000003
1,17,[ 0.21589319  0.64584072  1.         -0.42304563  0.46547238  0.08986389],18.061400000000003
1,18,[ 0.21895355  0.57630292  1.         -0.30999714  0.39710951  0.07648458],17.991199999999974
1,19,[ 0.21895355  0.57630292  1.         -0.30999714  0.39710951  0.07648458],17.991199999999974
1,20,[ 0.21895355  0.57630292  1.         -0.30999714  0.39710951  0.07648458],17.991199999999974
1,21,[ 0.21895355  0.57630292  1.         -0.30999714  0.39710951  0.07648458],17.991199999999974
1,22,[ 0.19388041  0.48830088  0.99890873 -0.35199327  0.35214565  0.11182304],17.975100000000005
1,23,[ 0.15615553  0.44716077  0.9092992  -0.27214247  0.22954795  0.09139422],17.94450000000001
1,24,[ 0.17383032  0.36692607  0.82371131 -0.26171636  0.21289897  0.05990284],17.87180000000001
1,25,[ 0.17383032  0.36692607  0.82371131 -0.26171636  0.21289897  0.05990284],17.87180000000001
1,26,[ 0.17383032  0.36692607  0.82371131 -0.26171636  0.21289897  0.05990284],17.87180000000001
1,27,[ 0.17383032  0.36692607  0.82371131 -0.26171636  0.21289897  0.05990284],17.87180000000001
1,28,[ 0.17383032  0.36692607  0.82371131 -0.26171636  0.21289897  0.05990284],17.87180000000001
1,29,[ 0.17383032  0.36692607  0.82371131 -0.26171636  0.21289897  0.05990284],17.87180000000001
1,30,[ 0.11069265  0.29878929  0.87202632 -0.19365408  0.14749499  0.08224748],17.86050000000001
