Run,Generation,Best X Value,Best Fitness Value
1,0,[0.07418062 0.89764036 0.10292611 0.82548855 0.68797458 0.32611198],0.5808867177842655
1,1,[0.07550061 0.96012365 0.19053507 0.79782873 0.62955151 0.38346251],0.568268464195368
1,2,[-0.01517553  0.99381512  0.204229    0.74641803  0.54622504  0.48125046],0.5539268014845257
1,3,[-0.03777193  0.90225456  0.26101862  0.82902352  0.56958992  0.49671215],0.5502880392905256
1,4,[-0.04257717  0.91219552  0.35772825  0.73756354  0.55487853  0.54511502],0.5435107847392205
1,5,[-0.00851676  0.93382549  0.43489638  0.73034952  0.52161835  0.58598385],0.54121356480504
1,6,[-0.08417845  0.89112624  0.49447394  0.65776961  0.447317    0.5608051 ],0.5351445026536189
1,7,[-0.08756607  0.92297118  0.57797243  0.62639183  0.38606103  0.54993571],0.5320585754948677
1,8,[-0.01949627  0.82843584  0.66796566  0.53815434  0.33280707  0.54314356],0.5276579404674514
1,9,[-0.03186052  0.745498    0.71484806  0.53458335  0.33733469  0.46614238],0.5246911310040309
1,10,[-0.05342689  0.78079769  0.79096773  0.52245973  0.34942626  0.6160499 ],0.5237589361309878
1,11,[-0.05736742  0.65860581  0.7834278   0.60137196  0.34221967  0.43961224],0.5224096570197667
1,12,[-0.08902977  0.84396076  0.9101239   0.76816065  0.30953993  0.66453322],0.5219878257940008
1,13,[-0.06577728  0.70915966  0.82789352  0.62163163  0.16726682  0.5227729 ],0.5211617721000129
1,14,[-0.03817165  0.6046206   0.78263303  0.64189112  0.17758285  0.55154003],0.5206974969174619
1,15,[-0.06432136  0.6564315   0.87346511  0.72551039  0.20948799  0.55063418],0.5199710130756395
1,16,[-0.06432136  0.6564315   0.87346511  0.72551039  0.20948799  0.55063418],0.5199710130756395
1,17,[-0.04208643  0.49326625  0.80957879  0.59818869  0.14203871  0.53434913],0.5198752630444373
1,18,[-0.0545479   0.56851093  0.88175831  0.61106938  0.14219326  0.47269108],0.5195386289781746
1,19,[-0.0545479   0.56851093  0.88175831  0.61106938  0.14219326  0.47269108],0.5195386289781746
1,20,[-0.06074754  0.64855992  0.9610431   0.71322328  0.19160814  0.5313703 ],0.5195210726358599
1,21,[-0.06074754  0.64855992  0.9610431   0.71322328  0.19160814  0.5313703 ],0.5195210726358599
1,22,[-0.06074754  0.64855992  0.9610431   0.71322328  0.19160814  0.5313703 ],0.5195210726358599
1,23,[-0.05799393  0.56697018  0.84325188  0.60645989  0.1934145   0.49704477],0.5194910829620102
1,24,[-0.05799393  0.56697018  0.84325188  0.60645989  0.1934145   0.49704477],0.5194910829620102
1,25,[-0.05799393  0.56697018  0.84325188  0.60645989  0.1934145   0.49704477],0.5194910829620102
1,26,[-0.05799393  0.56697018  0.84325188  0.60645989  0.1934145   0.49704477],0.5194910829620102
1,27,[-0.0677888   0.59070367  1.          0.70895004  0.15308779  0.51129936],0.5193925164409308
1,28,[-0.0677888   0.59070367  1.          0.70895004  0.15308779  0.51129936],0.5193925164409308
1,29,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,30,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,31,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,32,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,33,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,34,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,35,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,36,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,37,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,38,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,39,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,40,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,41,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,42,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,43,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,44,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,45,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,46,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,47,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,48,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,49,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,50,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,51,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,52,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,53,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,54,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,55,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,56,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,57,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,58,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,59,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,60,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,61,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,62,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,63,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,64,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,65,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,66,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
1,67,[-0.05087478  0.46294728  0.75181201  0.55096079  0.1301444   0.47544191],0.5193716417067867
