Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.50506588  0.55456131  0.78477421 -0.19178294  0.62530212  0.06335207],72.7183349567067
1,1,[-0.42956755  0.64804101  0.84885001 -0.24330011  0.6002672  -0.01724449],3.244138432257762
1,2,[-0.41944748  0.61566164  0.82936359 -0.17229011  0.54053244 -0.01621978],3.1541484247782687
1,3,[-0.3378403   0.52543146  0.73642649 -0.20704902  0.56931843 -0.01032172],2.793192465263062
1,4,[-0.51878092  0.71318266  0.84221681 -0.151026    0.63840545 -0.00910029],2.73739635978092
1,5,[-0.3812674   0.55567285  0.97358299 -0.09820909  0.60168801 -0.01099675],2.1253610782658723
1,6,[-0.3812674   0.55567285  0.97358299 -0.09820909  0.60168801 -0.01099675],2.1253610782658723
1,7,[-0.3812674   0.55567285  0.97358299 -0.09820909  0.60168801 -0.01099675],2.1253610782658723
1,8,[-0.3812674   0.55567285  0.97358299 -0.09820909  0.60168801 -0.01099675],2.1253610782658723
1,9,[-0.3812674   0.55567285  0.97358299 -0.09820909  0.60168801 -0.01099675],2.1253610782658723
1,10,[-0.28332423  0.51633714  0.96746176 -0.06028594  0.65725299 -0.00685365],1.8444357554794795
1,11,[-0.28332423  0.51633714  0.96746176 -0.06028594  0.65725299 -0.00685365],1.8444357554794795
1,12,[-0.28332423  0.51633714  0.96746176 -0.06028594  0.65725299 -0.00685365],1.8444357554794795
1,13,[-0.28332423  0.51633714  0.96746176 -0.06028594  0.65725299 -0.00685365],1.8444357554794795
1,14,[-0.28332423  0.51633714  0.96746176 -0.06028594  0.65725299 -0.00685365],1.8444357554794795
1,15,[-0.28332423  0.51633714  0.96746176 -0.06028594  0.65725299 -0.00685365],1.8444357554794795
1,16,[-0.21575021  0.44156587  0.94559375 -0.1092134   0.73537383 -0.0104763 ],1.7908712318446245
1,17,[-0.21575021  0.44156587  0.94559375 -0.1092134   0.73537383 -0.0104763 ],1.7908712318446245
1,18,[-0.21575021  0.44156587  0.94559375 -0.1092134   0.73537383 -0.0104763 ],1.7908712318446245
1,19,[-0.13617886  0.39702055  1.         -0.02103423  0.63736032 -0.00526768],1.709366416287798
1,20,[-0.13617886  0.39702055  1.         -0.02103423  0.63736032 -0.00526768],1.709366416287798
1,21,[-0.13617886  0.39702055  1.         -0.02103423  0.63736032 -0.00526768],1.709366416287798
1,22,[-0.13617886  0.39702055  1.         -0.02103423  0.63736032 -0.00526768],1.709366416287798
1,23,[-0.13617886  0.39702055  1.         -0.02103423  0.63736032 -0.00526768],1.709366416287798
1,24,[-0.19179017  0.45839091  0.98912877 -0.07548031  0.7291173  -0.0079766 ],1.673798850663783
1,25,[-0.19179017  0.45839091  0.98912877 -0.07548031  0.7291173  -0.0079766 ],1.673798850663783
1,26,[-0.19179017  0.45839091  0.98912877 -0.07548031  0.7291173  -0.0079766 ],1.673798850663783
1,27,[-0.19179017  0.45839091  0.98912877 -0.07548031  0.7291173  -0.0079766 ],1.673798850663783
1,28,[-0.19135994  0.41520665  0.90948378  0.14033878  0.50674558 -0.00404925],1.5948381542780106
1,29,[-0.19135994  0.41520665  0.90948378  0.14033878  0.50674558 -0.00404925],1.5948381542780106
1,30,[-0.19135994  0.41520665  0.90948378  0.14033878  0.50674558 -0.00404925],1.5948381542780106
1,31,[-0.21445966  0.51393259  0.78996573  0.13993445  0.55126209 -0.00280253],1.5398990398265753
1,32,[-0.21445966  0.51393259  0.78996573  0.13993445  0.55126209 -0.00280253],1.5398990398265753
1,33,[-0.21445966  0.51393259  0.78996573  0.13993445  0.55126209 -0.00280253],1.5398990398265753
1,34,"[-1.25178226e-01  4.22295022e-01  9.49971234e-01 -6.55407376e-04
  6.88722477e-01 -8.14505807e-03]",1.4400678283817707
1,35,"[-1.25178226e-01  4.22295022e-01  9.49971234e-01 -6.55407376e-04
  6.88722477e-01 -8.14505807e-03]",1.4400678283817707
1,36,"[-1.25178226e-01  4.22295022e-01  9.49971234e-01 -6.55407376e-04
  6.88722477e-01 -8.14505807e-03]",1.4400678283817707
1,37,[-0.05199184  0.31393739  0.9441992   0.0405497   0.78194021 -0.00677617],1.365016453607773
1,38,[-0.05199184  0.31393739  0.9441992   0.0405497   0.78194021 -0.00677617],1.365016453607773
1,39,[-0.05199184  0.31393739  0.9441992   0.0405497   0.78194021 -0.00677617],1.365016453607773
1,40,[-0.05199184  0.31393739  0.9441992   0.0405497   0.78194021 -0.00677617],1.365016453607773
1,41,[-0.05708592  0.32582285  1.          0.06294404  0.75927675 -0.00909127],1.3481021532459005
1,42,[-0.05708592  0.32582285  1.          0.06294404  0.75927675 -0.00909127],1.3481021532459005
1,43,[-0.05708592  0.32582285  1.          0.06294404  0.75927675 -0.00909127],1.3481021532459005
1,44,[-0.05708592  0.32582285  1.          0.06294404  0.75927675 -0.00909127],1.3481021532459005
1,45,[-0.05708592  0.32582285  1.          0.06294404  0.75927675 -0.00909127],1.3481021532459005
1,46,[ 0.03596793  0.28816707  0.88117368  0.11630329  0.80600998 -0.00700611],1.2685060343276948
1,47,[ 0.03596793  0.28816707  0.88117368  0.11630329  0.80600998 -0.00700611],1.2685060343276948
1,48,[ 0.03596793  0.28816707  0.88117368  0.11630329  0.80600998 -0.00700611],1.2685060343276948
1,49,[ 0.03596793  0.28816707  0.88117368  0.11630329  0.80600998 -0.00700611],1.2685060343276948
1,50,[ 0.03596793  0.28816707  0.88117368  0.11630329  0.80600998 -0.00700611],1.2685060343276948
1,51,[ 0.03596793  0.28816707  0.88117368  0.11630329  0.80600998 -0.00700611],1.2685060343276948
1,52,[ 0.03596793  0.28816707  0.88117368  0.11630329  0.80600998 -0.00700611],1.2685060343276948
1,53,[ 0.03596793  0.28816707  0.88117368  0.11630329  0.80600998 -0.00700611],1.2685060343276948
1,54,[ 0.03596793  0.28816707  0.88117368  0.11630329  0.80600998 -0.00700611],1.2685060343276948
1,55,[ 0.03596793  0.28816707  0.88117368  0.11630329  0.80600998 -0.00700611],1.2685060343276948
1,56,[ 0.03596793  0.28816707  0.88117368  0.11630329  0.80600998 -0.00700611],1.2685060343276948
1,57,[ 0.03596793  0.28816707  0.88117368  0.11630329  0.80600998 -0.00700611],1.2685060343276948
1,58,[ 0.03596793  0.28816707  0.88117368  0.11630329  0.80600998 -0.00700611],1.2685060343276948
1,59,[ 0.03596793  0.28816707  0.88117368  0.11630329  0.80600998 -0.00700611],1.2685060343276948
1,60,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,61,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,62,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,63,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,64,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,65,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,66,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,67,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,68,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,69,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,70,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,71,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,72,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,73,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,74,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,75,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,76,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,77,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,78,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
1,79,[ 0.1012408   0.30202163  0.93162179  0.24332863  0.8308012  -0.00778136],1.2114156661775053
