Experiment_ID;Agent_ID;Kick_Time;Orientation_Difference_To_Focal;vx;vy
151;3;0.8;0.0;0.0;0.0
151;1;0.8;0.0;0.0;0.0
151;2;0.8;0.0;0.0;0.0
151;4;0.8;0.0;0.0;0.0
151;5;0.8;0.0;0.0;0.0
151;3;1.28;0.0;-0.0833;-0.0762
151;1;1.28;-0.513416316;-0.0149;-0.0455
151;4;1.28;-0.376644808;-0.0301;-0.0618
151;5;1.28;-0.103649059;-0.0405;-0.0456
151;2;1.28;0.167172927;-0.0441;-0.0285
151;3;2.2;0.0;-0.0458;-0.0795
151;4;2.2;-0.167551822;-0.0389;-0.1049
151;1;2.2;0.136781862;-0.0638;-0.0823
151;2;2.2;0.388959056;-0.0817;-0.0633
151;5;2.2;0.413855508;-0.0594;-0.0437
151;3;3.32;0.0;0.0471;-0.1627
151;4;3.32;-0.056561611;0.0468;-0.133
151;2;3.32;-0.029230723;0.0541;-0.1683
151;1;3.32;0.212837359;0.0102;-0.1477
151;5;3.32;0.560774208;-0.0385;-0.1344
151;3;3.68;0.0;0.1137;-0.033
151;1;3.68;0.118535426;0.0592;-0.0251
151;2;3.68;0.29010413;0.065;-0.0419
151;5;3.68;0.405291728;0.088;-0.0723
151;4;3.68;0.541463026;0.0374;-0.0404
151;3;4.08;0.0;0.0811;-0.0061
151;2;4.08;0.018227737;0.0887;-0.0083
151;4;4.08;0.349068061;0.0516;-0.0233
151;5;4.08;0.38337843;0.0772;-0.0381
151;1;4.08;0.445989237;0.0561;-0.0322
151;3;5.08;0.0;0.1661;0.0976
151;2;5.08;0.061281708;0.1577;0.0801
151;4;5.08;0.207849325;0.1635;0.0548
151;5;5.08;0.271160914;0.2063;0.0549
151;1;5.08;0.314710998;0.1741;0.0383
151;3;5.64;0.0;-0.0025;0.0794
151;2;5.64;0.190214256;0.015;0.0937
151;5;5.64;0.265816514;0.018;0.0754
151;1;5.64;0.466806396;0.0393;0.0845
151;4;5.64;0.671423988;0.0437;0.0587
151;3;7.72;0.0;-0.1519;0.1795
151;5;7.72;-0.249909248;-0.1929;0.1373
151;2;7.72;-0.117235844;-0.1756;0.164
151;1;7.72;0.24215073;-0.0967;0.1951
151;4;7.72;0.319185247;-0.0929;0.2305
151;3;8.84;0.0;-0.1754;-0.0387
151;5;8.84;-0.139508023;-0.073;-0.0272
151;2;8.84;0.14361603;-0.1303;-0.0096
151;1;8.84;0.286284375;-0.1661;0.0115
151;4;8.84;0.648529409;-0.0856;0.0394
151;3;10.4;0.0;-0.0766;-0.103
151;2;10.4;0.105343242;-0.1346;-0.146
151;1;10.4;0.150692436;-0.0953;-0.0944
151;5;10.4;0.308047847;-0.1455;-0.1046
151;4;10.4;0.359474393;-0.1229;-0.0791
151;3;11.0;0.0;0.0007;-0.0015
151;5;11.0;0.582862582;-0.0038;-0.0258
151;2;11.0;0.781693104;-0.0078;-0.0217
151;4;11.0;2.131778481;-0.0336;0.0042
151;1;11.0;2.801702411;-0.0279;0.0284
151;3;11.56;0.0;0.0008;-0.0005
151;2;11.56;0.822583396;0.0019;-0.0099
151;5;11.56;1.028973961;-0.0005;-0.0298
151;1;11.56;1.795773683;-0.0274;-0.0275
151;4;11.56;2.097958616;-0.0148;-0.0078
151;3;12.16;0.0;-0.0007;-0.0241
151;5;12.16;-1.035194648;0.0341;-0.0216
151;2;12.16;-0.427182281;0.0249;-0.0592
151;1;12.16;-0.101418366;0.0024;-0.0331
151;4;12.16;-0.021970459;-0.0002;-0.0283
151;3;12.68;0.0;0.0534;-0.0936
151;2;12.68;-0.01730162;0.0507;-0.0854
151;4;12.68;0.311949297;0.0128;-0.0611
151;5;12.68;0.506110455;0.0004;-0.0324
151;1;12.68;2.254400511;-0.0048;0.0008
151;3;13.92;0.0;0.1349;-0.035
151;5;13.92;0.00245087;0.116;-0.0304
151;2;13.92;0.192712315;0.1228;-0.0588
151;1;13.92;0.44946802;0.0967;-0.082
151;4;13.92;1.032800886;0.0323;-0.1106
151;3;14.64;0.0;0.1326;0.0908
151;2;14.64;0.122393507;0.1104;0.0572
151;5;14.64;0.302708104;0.1535;0.0471
151;1;14.64;0.62759584;0.1472;-0.004
151;4;14.64;0.808757028;0.1211;-0.0256
151;3;15.48;0.0;0.0266;0.139
151;5;15.48;0.240153631;0.0687;0.1501
151;4;15.48;0.287573678;0.0773;0.1497
151;1;15.48;0.308572587;0.081;0.1491
151;2;15.48;0.322494288;0.0786;0.14
151;3;16.84;0.0;-0.2176;0.0833
151;1;16.84;0.1073908;-0.1917;0.0981
151;2;16.84;0.215545373;-0.2232;0.1466
151;5;16.84;0.319837261;-0.1503;0.1229
151;4;16.84;0.444701713;-0.1096;0.1152
151;3;17.4;0.0;-0.0093;-0.0053
151;1;17.4;0.082712775;-0.0243;-0.0113
151;2;17.4;0.60179063;-0.025;0.0021
151;5;17.4;0.633746584;-0.0387;0.0045
151;4;17.4;1.05267627;-0.0206;0.0122
151;3;17.92;0.0;-0.0487;-0.024
151;1;17.92;-0.384924668;-0.0205;-0.023
151;5;17.92;0.133329943;-0.0321;-0.0108
151;2;17.92;0.177773635;-0.0073;-0.0021
151;4;17.92;0.206377754;-0.0288;-0.0074
151;3;19.04;0.0;-0.1064;-0.1504
151;2;19.04;-0.117528107;-0.0718;-0.132
151;4;19.04;-0.117383034;-0.082;-0.1507
151;1;19.04;-0.076249629;-0.0549;-0.0917
151;5;19.04;0.31700397;-0.0801;-0.0594
151;3;20.08;0.0;0.0469;-0.1412
151;2;20.08;-0.062973085;0.0639;-0.1583
151;4;20.08;0.001051463;0.0376;-0.1136
151;1;20.08;0.249869843;0.0103;-0.1452
151;5;20.08;0.443619743;-0.0171;-0.1384
151;3;21.24;0.0;0.1503;-0.072
151;2;21.24;-0.143856139;0.1104;-0.0345
151;4;21.24;0.099436587;0.1298;-0.0789
151;1;21.24;0.120250798;0.1971;-0.1255
151;5;21.24;0.224893008;0.1692;-0.1345
151;3;22.88;0.0;0.224;0.1008
151;2;22.88;-0.037239195;0.1691;0.0838
151;4;22.88;-0.011232404;0.1208;0.056
151;1;22.88;0.123403746;0.1477;0.0456
151;5;22.88;0.138205146;0.2201;0.0644
151;3;23.44;0.0;0.033;0.0385
151;5;23.44;-2.39234226;-0.0097;-0.0011
151;2;23.44;-0.435689177;0.0145;0.0518
151;4;23.44;-0.303290041;0.0233;0.0543
151;1;23.44;-0.217250794;0.0411;0.0768
151;3;25.16;0.0;-0.0116;0.1147
151;1;25.16;-0.289613408;-0.0714;0.1735
151;5;25.16;-0.067822615;-0.0215;0.1263
151;2;25.16;0.081858877;-0.0027;0.1426
151;4;25.16;0.579303847;0.0471;0.0908
151;3;25.88;0.0;-0.007;-0.0286
151;2;25.88;-0.127393048;-0.005;-0.0442
151;5;25.88;2.386616039;-0.0305;0.0539
151;1;25.88;2.41552436;-0.0028;0.0053
151;4;25.88;2.638876717;-0.0153;0.0569
151;3;27.2;0.0;-0.0261;0.0822
151;2;27.2;-0.482153254;-0.0597;0.0592
151;5;27.2;-0.314630216;-0.037;0.0516
151;1;27.2;-0.270552838;-0.0394;0.0604
151;4;27.2;-0.229854146;-0.0479;0.0804
151;3;28.2;0.0;-0.1326;0.0632
151;2;28.2;-0.193514511;-0.1235;0.0317
151;1;28.2;-0.07174646;-0.104;0.0407
151;5;28.2;0.203794531;-0.0661;0.0501
151;4;28.2;0.818980159;-0.0065;0.0205
151;3;29.36;0.0;-0.1648;-0.0042
