Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.78416798  0.50871331 -0.76205984 -0.00403416  0.45297511  0.07839366],3.115548969886042
1,1,[ 0.76673703  0.5988589  -0.72128577  0.01812062  0.49228109  0.07949652],2.731066598512209
1,2,[ 0.89662155  0.51766163  1.          0.40706753 -0.46120471  0.02014988],1.3961905783275617
1,3,[ 0.81357842  0.6082128   1.          0.45307759 -0.44368715 -0.04677015],1.3070341515734765
1,4,[ 0.84385519  0.69044914  0.95004661  0.54644145 -0.34544757 -0.07071179],1.18687838055136
1,5,[ 0.84965933  0.63010329  0.8545559   0.5292954  -0.27780938 -0.0341137 ],1.0974733982032518
1,6,[ 0.71752727  0.73096655  0.98052488  0.60931009 -0.28090685 -0.04233211],0.9789369732316492
1,7,[ 0.66243687  0.64360752  1.          0.54965444 -0.19051753 -0.00626116],0.8862225713647947
1,8,[ 0.60306996  0.66763138  1.          0.49112478 -0.1264565  -0.03242361],0.8136301696041606
1,9,[ 0.55299193  0.64879486  1.          0.54917058 -0.03231249 -0.04553738],0.7307258124996325
1,10,[ 0.54735567  0.73994961  0.93779945  0.49180919  0.06099839 -0.03015193],0.6954090250849349
1,11,[ 0.44174796  0.75361397  1.          0.38980719  0.12018668 -0.03549165],0.6587533101737345
1,12,[ 0.37181487  0.67955024  1.          0.42841563  0.13670141 -0.01857244],0.6428041423360326
1,13,[ 0.34849827  0.60777414  1.          0.28083109  0.21509616 -0.02917997],0.6353864892278976
1,14,[ 0.28745398  0.67841999  1.          0.31609366  0.24086497 -0.02542825],0.6109966446678368
1,15,[ 0.29258344  0.71363761  0.85195948  0.52785625  0.25548022 -0.03166387],0.6038991699147194
1,16,[ 0.30304423  0.72066339  0.85682271  0.51028368  0.35088193 -0.01803182],0.5986555036992374
1,17,[ 0.25540839  0.76947865  0.80986368  0.56707752  0.34722131 -0.03498598],0.5877076911803729
1,18,[ 0.17257521  0.71292075  0.88966113  0.64935482  0.41566717 -0.04085559],0.5751458380419164
1,19,[ 0.16594917  0.75190073  0.84038955  0.62155908  0.48949186 -0.01475544],0.5630794290734544
1,20,[-0.00413281  0.75606326  0.5900779   0.58799231  0.34178273 -0.01051329],0.5453558315018987
1,21,[-0.02456351  0.82499966  0.77803629  0.4579448   0.43183801 -0.01580828],0.5409186834073202
1,22,[-0.0074326   0.81128532  0.80769254  0.51362298  0.594228   -0.00417646],0.5398906715520811
1,23,[ 0.02326685  0.71975611  0.79688342  0.5193492   0.66319235 -0.02326421],0.5380635040702347
1,24,[-0.04921498  0.68100628  0.85032362  0.52218964  0.74279072 -0.01743004],0.5358396918112639
1,25,[-0.04921498  0.68100628  0.85032362  0.52218964  0.74279072 -0.01743004],0.5358396918112639
1,26,[-0.05113642  0.58231261  0.68459602  0.40206284  0.72971202 -0.01849976],0.5356792038789282
1,27,[-0.05113642  0.58231261  0.68459602  0.40206284  0.72971202 -0.01849976],0.5356792038789282
1,28,[-0.05113642  0.58231261  0.68459602  0.40206284  0.72971202 -0.01849976],0.5356792038789282
1,29,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,30,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,31,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,32,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,33,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,34,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,35,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,36,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,37,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,38,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,39,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,40,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,41,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,42,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,43,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,44,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,45,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,46,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,47,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,48,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,49,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,50,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,51,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
1,52,[-0.02569108  0.6759469   0.63492773  0.31531278  0.84723132 -0.01304738],0.5304447020081428
