Run,Generation,Best X Value,Best Fitness Value
1,0,[0.51564742 0.8018905  0.87727315 0.39204018 0.80729143 0.73184254],0.6419760081917473
1,1,[-0.06867382  0.89394081  0.22716179 -0.06523704  0.74150307  0.2954871 ],0.5826280514926767
1,2,[0.00341649 0.84465185 0.82968274 0.43954944 0.75924533 0.75477139],0.5407406217697359
1,3,[-0.05678964  0.91996624  0.80633862  0.49615701  0.7658824   0.82578344],0.5339740464779366
1,4,[-0.05666263  0.94069543  0.74642502  0.40603477  0.90282026  0.75554555],0.5317392792894287
1,5,[-0.06098222  0.93924398  0.73754417  0.46562416  0.98211328  0.76150802],0.5315210318444864
1,6,[-0.08089031  1.          0.75128693  0.50260596  0.92707965  0.52451457],0.5313823518092065
1,7,[-0.07862172  0.92855258  0.71631634  0.3949278   0.91882417  0.83957621],0.5311104607771545
1,8,[-0.07220308  0.9264032   0.55934842  0.35799536  0.89988055  0.90096348],0.5310754277328777
1,9,[-0.07220308  0.9264032   0.55934842  0.35799536  0.89988055  0.90096348],0.5310754277328777
1,10,[-0.08175603  0.98509934  0.62336674  0.3987571   0.89746201  0.88687546],0.5310379400082277
1,11,[-0.07241305  0.9377275   0.70033379  0.44102482  0.97173713  0.92613614],0.5310341723485833
1,12,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,13,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,14,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,15,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,16,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,17,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,18,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,19,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,20,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,21,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,22,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,23,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,24,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,25,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,26,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,27,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,28,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,29,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,30,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
1,31,[-0.07547267  1.          0.65124799  0.40216248  0.95699611  0.94365554],0.5308927717912687
