Agent_ID;Kick_Time;Velocity_Agent;Velocity_Focal_Agent3;Velocity_Difference
1;0.8;0.0;0.0;0.0
2;0.8;0.0;0.0;0.0
4;0.8;0.0;0.0;0.0
5;0.8;0.0;0.0;0.0
4;1.28;0.143209279;0.235198369;0.09198909
5;1.28;0.127059595;0.235198369;0.108138774
2;1.28;0.10939107;0.235198369;0.12580729899999998
1;1.28;0.0997449;0.235198369;0.135453469
2;2.2;0.112339888;0.099727239;0.012612649000000004
1;2.2;0.113188296;0.099727239;0.013461056999999998
5;2.2;0.080155582;0.099727239;0.019571656999999992
4;2.2;0.121609111;0.099727239;0.02188187200000001
2;3.32;0.157840628;0.151232448;0.006608180000000019
1;3.32;0.132189091;0.151232448;0.019043356999999983
4;3.32;0.125887285;0.151232448;0.025345163000000004
5;3.32;0.124826442;0.151232448;0.026406005999999996
5;3.68;0.316365476;0.328866952;0.012501476000000011
2;3.68;0.214817788;0.328866952;0.11404916399999998
1;3.68;0.178614567;0.328866952;0.150252385
4;3.68;0.1529272;0.328866952;0.17593975199999998
5;4.08;0.215224447;0.203322711;0.011901736000000024
2;4.08;0.222718713;0.203322711;0.019396002000000023
1;4.08;0.161710583;0.203322711;0.041612128
4;4.08;0.141541734;0.203322711;0.06178097699999999
1;5.08;0.178263008;0.192652459;0.014389450999999998
2;5.08;0.176876511;0.192652459;0.015775948000000012
4;5.08;0.172439236;0.192652459;0.020213223000000002
5;5.08;0.213479976;0.192652459;0.02082751699999999
5;5.64;0.138426378;0.141855978;0.003429600000000005
4;5.64;0.130679396;0.141855978;0.01117658199999999
1;5.64;0.166414201;0.141855978;0.024558223000000018
2;5.64;0.169451866;0.141855978;0.027595888000000013
5;7.72;0.113833423;0.113051185;0.0007822380000000045
2;7.72;0.115516111;0.113051185;0.002464926000000006
4;7.72;0.119479289;0.113051185;0.006428104000000004
1;7.72;0.104687321;0.113051185;0.008363863999999999
1;8.84;0.148658596;0.160373771;0.011715174999999994
2;8.84;0.116654613;0.160373771;0.043719157999999994
4;8.84;0.084135952;0.160373771;0.076237819
5;8.84;0.069556036;0.160373771;0.090817735
1;10.4;0.085986965;0.082282726;0.003704238999999998
4;10.4;0.093688962;0.082282726;0.011406236
5;10.4;0.114869595;0.082282726;0.032586869000000004
2;10.4;0.12729349;0.082282726;0.04501076400000001
2;11.0;0.038432119;0.002758824;0.035673295
5;11.0;0.043463906;0.002758824;0.040705082
4;11.0;0.056435804;0.002758824;0.05367698
1;11.0;0.066352803;0.002758824;0.063593979
2;11.56;0.018001205;0.001684639;0.016316565999999998
4;11.56;0.029874312;0.001684639;0.028189673
5;11.56;0.053221776;0.001684639;0.051537137
1;11.56;0.069321833;0.001684639;0.067637194
4;12.16;0.047167845;0.040183606;0.006984239000000003
1;12.16;0.055311492;0.040183606;0.015127886
5;12.16;0.067275759;0.040183606;0.027092153000000008
2;12.16;0.107039063;0.040183606;0.06685545700000001
2;12.68;0.190992135;0.207233468;0.016241332999999997
4;12.68;0.120050686;0.207233468;0.087182782
5;12.68;0.06231244;0.207233468;0.144921028
1;12.68;0.009358096;0.207233468;0.197875372
2;13.92;0.109799742;0.112392306;0.0025925639999999917
1;13.92;0.102247411;0.112392306;0.010144895000000001
5;13.92;0.096707504;0.112392306;0.015684801999999998
4;13.92;0.09291936;0.112392306;0.01947294599999999
5;14.64;0.223004958;0.223207019;0.00020206100000000338
1;14.64;0.204519914;0.223207019;0.01868710500000001
2;14.64;0.172692012;0.223207019;0.050515007
4;14.64;0.171911514;0.223207019;0.05129550500000002
2;15.48;0.191137097;0.168478923;0.022658174000000003
5;15.48;0.196517657;0.168478923;0.02803873400000001
4;15.48;0.200570968;0.168478923;0.032092044999999986
1;15.48;0.202001781;0.168478923;0.03352285799999999
1;16.84;0.158340257;0.171322977;0.012982719999999975
2;16.84;0.196352168;0.171322977;0.025029191000000006
