Agent_ID,Kick_Time,Distance_To_Focal,vx,vy
3,0.8,0.0,0.0,0.0
1,0.8,0.022184003,0.0,0.0
2,0.8,0.026708051,0.0,0.0
5,0.8,0.029937602,0.0,0.0
4,0.8,0.06445991,0.0,0.0
3,1.28,0.0,-0.0833,-0.0762
4,1.28,0.035363823,-0.0301,-0.0618
1,1.28,0.062906279,-0.0149,-0.0455
5,1.28,0.073252577,-0.0405,-0.0456
2,1.28,0.079885731,-0.0441,-0.0285
3,2.2,0.0,-0.0458,-0.0795
1,2.2,0.044690044,-0.0638,-0.0823
4,2.2,0.061676008,-0.0389,-0.1049
2,2.2,0.068383185,-0.0817,-0.0633
5,2.2,0.100204691,-0.0594,-0.0437
3,3.32,0.0,0.0471,-0.1627
1,3.32,0.022800219,0.0102,-0.1477
4,3.32,0.034047761,0.0468,-0.133
2,3.32,0.066980744,0.0541,-0.1683
5,3.32,0.13739567,-0.0385,-0.1344
3,3.68,0.0,0.1137,-0.033
2,3.68,0.048458642,0.065,-0.0419
1,3.68,0.055660489,0.0592,-0.0251
4,3.68,0.069843396,0.0374,-0.0404
5,3.68,0.119436385,0.088,-0.0723
3,4.08,0.0,0.0811,-0.0061
2,4.08,0.044996444,0.0887,-0.0083
1,4.08,0.072280011,0.0561,-0.0322
5,4.08,0.102455551,0.0772,-0.0381
4,4.08,0.10398197,0.0516,-0.0233
3,5.08,0.0,0.1661,0.0976
2,5.08,0.030067424,0.1577,0.0801
5,5.08,0.048473188,0.2063,0.0549
1,5.08,0.085126083,0.1741,0.0383
4,5.08,0.133204992,0.1635,0.0548
3,5.64,0.0,-0.0025,0.0794
5,5.64,0.027600725,0.018,0.0754
2,5.64,0.041887588,0.015,0.0937
1,5.64,0.055519366,0.0393,0.0845
4,5.64,0.125987301,0.0437,0.0587
3,7.72,0.0,-0.1519,0.1795
2,7.72,0.032165976,-0.1756,0.164
1,7.72,0.0481132,-0.0967,0.1951
4,7.72,0.068014704,-0.0929,0.2305
5,7.72,0.076578065,-0.1929,0.1373
3,8.84,0.0,-0.1754,-0.0387
5,8.84,0.042165982,-0.073,-0.0272
1,8.84,0.044692393,-0.1661,0.0115
2,8.84,0.061145155,-0.1303,-0.0096
4,8.84,0.104236318,-0.0856,0.0394
3,10.4,0.0,-0.0766,-0.103
1,10.4,0.03323432,-0.0953,-0.0944
2,10.4,0.033966601,-0.1346,-0.146
5,10.4,0.042860005,-0.1455,-0.1046
4,10.4,0.067353174,-0.1229,-0.0791
3,11.0,0.0,0.0007,-0.0015
2,11.0,0.040988291,-0.0078,-0.0217
4,11.0,0.047097877,-0.0336,0.0042
1,11.0,0.053752116,-0.0279,0.0284
5,11.0,0.063288546,-0.0038,-0.0258
3,11.56,0.0,0.0008,-0.0005
4,11.56,0.034600578,-0.0148,-0.0078
1,11.56,0.042635783,-0.0274,-0.0275
2,11.56,0.042796846,0.0019,-0.0099
5,11.56,0.088862253,-0.0005,-0.0298
3,12.16,0.0,-0.0007,-0.0241
4,12.16,0.03063609,-0.0002,-0.0283
1,12.16,0.03499057,0.0024,-0.0331
2,12.16,0.054207933,0.0249,-0.0592
5,12.16,0.07698266,0.0341,-0.0216
3,12.68,0.0,0.0534,-0.0936
2,12.68,0.047169164,0.0507,-0.0854
5,12.68,0.060351056,0.0004,-0.0324
4,12.68,0.070183331,0.0128,-0.0611
1,12.68,0.142666955,-0.0048,0.0008
3,13.92,0.0,0.1349,-0.035
2,13.92,0.073746186,0.1228,-0.0588
5,13.92,0.077979741,0.116,-0.0304
