Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.71510064  0.19305264  0.14623939  0.74475362  0.43400409 -0.05916519],0.7868680770880274
1,1,[ 0.6693511   0.23967224  0.15326897  0.74821463  0.43178475 -0.05402948],0.7561870543223759
1,2,[-0.25616763  0.96671744  0.93368675  1.          0.23357538  0.09806877],0.6701680842046772
1,3,[-0.16634573  0.85183956  1.          0.97791123  0.29952675  0.01733205],0.5117345455514661
1,4,[-0.1144613   0.93743901  0.98935585  0.97306081  0.05583177 -0.01807832],0.4646546292056557
1,5,[-0.07403194  0.92790954  0.96879433  0.91364097  0.0094438  -0.02655917],0.4574131446567348
1,6,[-0.07403194  0.92790954  0.96879433  0.91364097  0.0094438  -0.02655917],0.4574131446567348
1,7,[ 0.0492908   0.92352383  0.81202146  0.82962141  0.01568305 -0.02698713],0.4567994530801952
1,8,[ 0.05136274  0.92087531  1.          0.82917766  0.02115425 -0.03377788],0.45533693164566813
1,9,[ 0.05136274  0.92087531  1.          0.82917766  0.02115425 -0.03377788],0.45533693164566813
1,10,[-0.00945585  0.98584726  1.          0.73011073 -0.06191271 -0.04413514],0.4502668148229481
1,11,[ 0.06732632  1.          1.          0.70061152 -0.10172174 -0.03581005],0.44883195991471403
1,12,[ 0.0244218   1.          0.9313084   0.72341913 -0.01554943 -0.02499147],0.4441838291113084
1,13,[ 0.06775083  0.92361304  0.96721592  0.63605677 -0.05301609 -0.0278788 ],0.44285353134682237
1,14,[ 0.07558235  0.95388283  0.91374678  0.57440006 -0.07529467 -0.02763529],0.4416028220837041
1,15,[-0.01287569  1.          0.9411525   0.50921783 -0.05151107 -0.01607097],0.43297429608496063
1,16,[-0.01287569  1.          0.9411525   0.50921783 -0.05151107 -0.01607097],0.43297429608496063
1,17,[-0.01287569  1.          0.9411525   0.50921783 -0.05151107 -0.01607097],0.43297429608496063
1,18,[-0.02815994  1.          1.          0.4209124  -0.01376853 -0.02067717],0.4305496759758756
1,19,[-0.02815994  1.          1.          0.4209124  -0.01376853 -0.02067717],0.4305496759758756
1,20,[-0.02815994  1.          1.          0.4209124  -0.01376853 -0.02067717],0.4305496759758756
1,21,[-0.02815994  1.          1.          0.4209124  -0.01376853 -0.02067717],0.4305496759758756
1,22,[ 0.01910238  0.96433976  1.          0.31667244 -0.0549545  -0.01304047],0.42963477578142667
1,23,[ 0.01910238  0.96433976  1.          0.31667244 -0.0549545  -0.01304047],0.42963477578142667
1,24,[-0.01330253  1.          1.          0.27919939 -0.04555426 -0.02372756],0.4263081767560395
1,25,[-0.01330253  1.          1.          0.27919939 -0.04555426 -0.02372756],0.4263081767560395
1,26,[-0.01330253  1.          1.          0.27919939 -0.04555426 -0.02372756],0.4263081767560395
1,27,[-0.01330253  1.          1.          0.27919939 -0.04555426 -0.02372756],0.4263081767560395
1,28,[-0.01330253  1.          1.          0.27919939 -0.04555426 -0.02372756],0.4263081767560395
1,29,[-0.01330253  1.          1.          0.27919939 -0.04555426 -0.02372756],0.4263081767560395
1,30,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,31,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,32,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,33,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,34,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,35,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,36,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,37,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,38,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,39,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,40,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,41,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,42,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,43,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,44,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,45,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,46,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,47,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,48,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,49,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,50,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,51,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,52,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,53,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,54,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,55,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,56,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,57,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,58,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,59,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,60,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,61,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,62,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,63,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,64,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,65,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,66,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,67,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,68,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,69,[-0.01697773  0.9985299   0.86379699  0.24229646 -0.02904416 -0.01183633],0.42505233361084577
1,70,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,71,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,72,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,73,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,74,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,75,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,76,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,77,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,78,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,79,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,80,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,81,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,82,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,83,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,84,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,85,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,86,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,87,[ 0.00741593  1.          0.78477582  0.18661868 -0.02772265 -0.02302016],0.4234887094332913
1,88,[ 0.00653122  0.88486682  0.76293391  0.13410461 -0.05052732 -0.0184938 ],0.42262688068826726
1,89,[ 0.00653122  0.88486682  0.76293391  0.13410461 -0.05052732 -0.0184938 ],0.42262688068826726
1,90,[ 0.00653122  0.88486682  0.76293391  0.13410461 -0.05052732 -0.0184938 ],0.42262688068826726
1,91,[ 0.00653122  0.88486682  0.76293391  0.13410461 -0.05052732 -0.0184938 ],0.42262688068826726
1,92,[ 0.00653122  0.88486682  0.76293391  0.13410461 -0.05052732 -0.0184938 ],0.42262688068826726
1,93,[ 0.00653122  0.88486682  0.76293391  0.13410461 -0.05052732 -0.0184938 ],0.42262688068826726
1,94,[ 0.00653122  0.88486682  0.76293391  0.13410461 -0.05052732 -0.0184938 ],0.42262688068826726
1,95,[ 0.00653122  0.88486682  0.76293391  0.13410461 -0.05052732 -0.0184938 ],0.42262688068826726
1,96,[ 0.00653122  0.88486682  0.76293391  0.13410461 -0.05052732 -0.0184938 ],0.42262688068826726
1,97,[ 0.00567193  1.          0.67151098  0.16678921 -0.05737702 -0.01562934],0.42215970611991055
1,98,[ 0.00567193  1.          0.67151098  0.16678921 -0.05737702 -0.01562934],0.42215970611991055
1,99,[ 0.00567193  1.          0.67151098  0.16678921 -0.05737702 -0.01562934],0.42215970611991055
2,0,[-0.5132872   0.9225906   0.48218272  0.15084355 -0.06792028 -0.13086624],1.3429339895339676
2,1,[-0.5425586   0.85778396  0.52444821  0.1227854   0.01116853 -0.03421069],0.8777922360929604
2,2,[ 0.90566093  0.92400374  0.51839507  0.08949079 -0.01667279 -0.07342778],0.6279747893053251
2,3,[ 0.69336659  1.          0.5022404   0.14920638  0.01714532 -0.04741466],0.557395221056598
2,4,[ 0.66202208  0.91638094  0.55894729  0.24879755  0.08242134 -0.05679976],0.5422998105700615
2,5,[-0.21010174  0.90805611  0.54897615  0.15017491  0.19169005  0.00303271],0.5035378461294051
2,6,[-0.18406708  1.          0.64258823  0.1252906   0.15072779  0.015159  ],0.4916849668296626
2,7,[-0.12637285  0.94623319  0.70662147  0.11399846  0.05311047  0.00540661],0.4511487282015878
2,8,"[-1.13143149e-01  9.68248861e-01  7.08052706e-01  1.77721757e-01
  6.30028517e-02  2.49951710e-05]",0.4420368781341501
2,9,"[-1.13143149e-01  9.68248861e-01  7.08052706e-01  1.77721757e-01
  6.30028517e-02  2.49951710e-05]",0.4420368781341501
2,10,[-0.08300858  0.83235016  0.79749518  0.24890181  0.10107697 -0.01463076],0.44009600084367445
2,11,[-0.04546542  1.          0.6235035   0.15066624  0.02883856 -0.02932464],0.43738843322297305
2,12,[-0.02790759  0.83425251  0.72418022  0.2066224   0.05015605 -0.01412885],0.4296894026324149
2,13,[-0.00559886  0.92164675  0.58354336  0.19130282 -0.00165511 -0.01001286],0.4287255582146902
2,14,[-0.00559886  0.92164675  0.58354336  0.19130282 -0.00165511 -0.01001286],0.4287255582146902
2,15,[-0.00559886  0.92164675  0.58354336  0.19130282 -0.00165511 -0.01001286],0.4287255582146902
2,16,"[ 4.98866928e-02  9.07856027e-01  6.46916889e-01  1.88353986e-01
  2.54613775e-05 -1.42718951e-02]",0.4284531263159655
2,17,[-0.07585849  0.99511817  0.80519328  0.16241269  0.01248321 -0.01348525],0.42755548311257174
2,18,[-0.07585849  0.99511817  0.80519328  0.16241269  0.01248321 -0.01348525],0.42755548311257174
2,19,[-0.07585849  0.99511817  0.80519328  0.16241269  0.01248321 -0.01348525],0.42755548311257174
2,20,[-0.07585849  0.99511817  0.80519328  0.16241269  0.01248321 -0.01348525],0.42755548311257174
2,21,[-0.07585849  0.99511817  0.80519328  0.16241269  0.01248321 -0.01348525],0.42755548311257174
2,22,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,23,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,24,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,25,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,26,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,27,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,28,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,29,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,30,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,31,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,32,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,33,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,34,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,35,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,36,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,37,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,38,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,39,[ 0.06765154  0.93343401  0.74170547  0.13820143 -0.03052706 -0.0178811 ],0.42415708431055416
2,40,[-0.02317239  1.          0.90525059  0.17086626 -0.03342709 -0.01358684],0.42414211520266293
2,41,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,42,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,43,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,44,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,45,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,46,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,47,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,48,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,49,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,50,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,51,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,52,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,53,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,54,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,55,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,56,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,57,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,58,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,59,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,60,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,61,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,62,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,63,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,64,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,65,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,66,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,67,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,68,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,69,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,70,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,71,[ 0.00632967  0.93565748  0.70478456  0.14701044 -0.06476161 -0.0156304 ],0.42296472980404975
2,72,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,73,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,74,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,75,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,76,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,77,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,78,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,79,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,80,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,81,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,82,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,83,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,84,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,85,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,86,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,87,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,88,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,89,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,90,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,91,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,92,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,93,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,94,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,95,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,96,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,97,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,98,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
2,99,[ 0.01729168  1.          0.75134029  0.15969633 -0.04553086 -0.02167947],0.4220922963641922
3,0,[ 0.34696104  0.32887001  0.66713616 -0.20099572  0.3392813  -0.13087004],1.2535632294447367
