Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.30793467  0.75765013 -0.38081098  0.83595088 -0.15511645 -0.10003091],1.9149703676806746
1,1,[-0.23891726  0.84661303 -0.3588466   0.75886287 -0.06064263 -0.05673699],1.4401367306425865
1,2,[-0.3919843   0.73528487  0.36804609  0.87265267 -0.17600128  0.09762382],0.7812957101786483
1,3,"[-3.33656918e-01  7.37553830e-01  3.43911755e-01  7.10198184e-01
  4.28693529e-04  5.37967574e-03]",0.6001793508120637
1,4,[-0.2684657   0.79791678  0.35661014  0.69141915  0.0716997  -0.01588774],0.5724206887450709
1,5,[-0.17867392  0.8927729   0.2974971   0.71880998 -0.00224986  0.0294403 ],0.498731005600216
1,6,[-0.09726799  0.80173351  0.22262606  0.64615455  0.07484291  0.00488528],0.48778316713806014
1,7,[-0.1088543   1.          0.36037863  0.56628168  0.08176265  0.00651905],0.46482796788067837
1,8,[-0.1088543   1.          0.36037863  0.56628168  0.08176265  0.00651905],0.46482796788067837
1,9,[-0.02113607  0.92610342  0.42483947  0.49025208  0.07951909 -0.00844913],0.4605082397000829
1,10,[-0.05711065  0.94848429  0.50371658  0.49763844  0.06094797  0.01400373],0.45109050605061557
1,11,[-0.04787037  0.99496108  0.50784489  0.37314406  0.06592176 -0.00295398],0.44542657172127
1,12,[-0.04787037  0.99496108  0.50784489  0.37314406  0.06592176 -0.00295398],0.44542657172127
1,13,[-0.04787037  0.99496108  0.50784489  0.37314406  0.06592176 -0.00295398],0.44542657172127
1,14,[-0.04787037  0.99496108  0.50784489  0.37314406  0.06592176 -0.00295398],0.44542657172127
1,15,[-0.01027026  0.95757397  0.57471511  0.35763857 -0.03082546  0.01338822],0.4396767970469676
1,16,[-0.01027026  0.95757397  0.57471511  0.35763857 -0.03082546  0.01338822],0.4396767970469676
1,17,[ 0.00471571  0.95868383  0.6390959   0.23168604 -0.05709521 -0.00453079],0.43671947327765737
1,18,[ 0.00471571  0.95868383  0.6390959   0.23168604 -0.05709521 -0.00453079],0.43671947327765737
1,19,[ 0.00471571  0.95868383  0.6390959   0.23168604 -0.05709521 -0.00453079],0.43671947327765737
1,20,[ 0.00471571  0.95868383  0.6390959   0.23168604 -0.05709521 -0.00453079],0.43671947327765737
1,21,[ 0.00471571  0.95868383  0.6390959   0.23168604 -0.05709521 -0.00453079],0.43671947327765737
1,22,[ 0.00471571  0.95868383  0.6390959   0.23168604 -0.05709521 -0.00453079],0.43671947327765737
1,23,[ 0.00471571  0.95868383  0.6390959   0.23168604 -0.05709521 -0.00453079],0.43671947327765737
1,24,[ 0.00471571  0.95868383  0.6390959   0.23168604 -0.05709521 -0.00453079],0.43671947327765737
1,25,[ 0.00471571  0.95868383  0.6390959   0.23168604 -0.05709521 -0.00453079],0.43671947327765737
