Experiment_ID;Agent_ID;Kick_Time;Distance_To_Focal_Agent3;vx;vy
1;3;1.2;0.0;0.0;0.0
1;1;1.2;0.07473647;0.0;0.0
1;2;1.2;0.114759793;0.0;0.0
1;4;1.2;0.136008897;0.0;0.0
1;5;1.2;0.151690211;0.0;0.0
1;3;1.88;0.0;0.0034;0.0898
1;1;1.88;0.044223297;-0.0064;0.1442
1;5;1.88;0.056158704;-0.0808;0.1838
1;2;1.88;0.064417544;-0.0186;0.1359
1;4;1.88;0.125400359;-0.0173;0.0934
1;3;3.0;0.0;0.094;0.058
1;1;3.0;0.044576451;0.1298;0.115
1;4;3.0;0.051431508;0.0164;0.1489
1;2;3.0;0.059975412;0.0205;0.1276
1;5;3.0;0.085722867;0.0398;0.0885
1;3;3.8;0.0;0.1143;0.0153
1;1;3.8;0.045308388;0.0999;0.0114
1;4;3.8;0.067052591;0.0907;0.0318
1;2;3.8;0.078767823;0.1085;0.0525
1;5;3.8;0.137520944;0.0608;0.03
1;3;5.36;0.0;0.1386;-0.1306
1;4;5.36;0.030084714;0.1922;-0.0902
1;2;5.36;0.050312026;0.1591;-0.1518
1;5;5.36;0.126885657;0.1575;-0.0831
1;1;5.36;0.127263703;0.1076;-0.0546
1;3;6.0;0.0;0.0102;-0.0392
1;4;6.0;0.021600231;0.0063;-0.0523
1;2;6.0;0.055748722;0.0085;-0.0313
1;1;6.0;0.087479426;0.0142;-0.0822
1;5;6.0;0.137526616;0.0082;-0.0182
1;3;6.48;0.0;-0.0042;-0.0175
1;4;6.48;0.040494568;-0.0271;-0.0428
1;2;6.48;0.057560056;0.0014;-0.0077
1;1;6.48;0.077685777;-0.0245;-0.0535
1;5;6.48;0.141647732;0.0022;0.0002
1;3;6.88;0.0;-0.0094;-0.0144
1;2;6.88;0.058935897;-0.0184;-0.0236
1;4;6.88;0.072506896;-0.0365;-0.0333
1;1;6.88;0.107935027;-0.0483;-0.0382
1;5;6.88;0.148798185;-0.0221;-0.0205
1;3;7.76;0.0;-0.0722;-0.0888
1;4;7.76;0.047780854;-0.0506;-0.0764
1;2;7.76;0.066068828;-0.0744;-0.0795
1;1;7.76;0.094559452;-0.0594;-0.0952
1;5;7.76;0.195436256;-0.1275;-0.0958
1;3;8.68;0.0;-0.0665;-0.0582
1;4;8.68;0.049300101;-0.0713;-0.0407
1;2;8.68;0.050803543;-0.0137;-0.0479
1;1;8.68;0.074623455;-0.0457;-0.0781
1;5;8.68;0.084600296;0.0322;-0.1153
1;3;9.24;0.0;-0.0911;0.0012
1;5;9.24;0.013329666;0.0042;-0.0062
1;4;9.24;0.021306337;-0.0598;-0.0103
1;2;9.24;0.048267587;-0.0837;-0.002
1;1;9.24;0.052581746;-0.0696;0.0219
1;3;9.72;0.0;-0.0931;0.0758
1;4;9.72;0.02392321;-0.0667;0.0648
1;1;9.72;0.026303612;-0.0649;0.0568
1;2;9.72;0.048929541;-0.0534;0.0391
1;5;9.72;0.088994887;-0.0452;0.0036
1;3;10.48;0.0;-0.0041;0.1053
1;1;10.48;0.058506923;-0.0388;0.1156
1;4;10.48;0.063324561;-0.0295;0.0667
1;2;10.48;0.063850529;-0.0251;0.0364
1;5;10.48;0.0822;-0.1268;0.1185
1;3;11.28;0.0;-0.0083;0.0328
1;2;11.28;0.034228643;-0.0068;0.1102
1;4;11.28;0.048321631;-0.007;0.0481
1;1;11.28;0.078409183;0.0422;0.1117
1;5;11.28;0.083645741;0.0053;0.1531
1;3;12.44;0.0;0.0402;0.1009
1;1;12.44;0.082917911;0.1295;0.0392
1;4;12.44;0.088291902;0.0834;0.0627
1;2;12.44;0.09524731;0.1042;0.0576
1;5;12.44;0.106700703;0.1466;0.1236
1;3;12.92;0.0;0.0484;0.0424
1;1;12.92;0.060326197;0.0238;0.0055
1;2;12.92;0.08364329;0.013;0.0049
1;4;12.92;0.108845073;0.0443;0.02
1;5;12.92;0.121051559;0.1082;-0.016
1;3;13.56;0.0;0.0858;0.0366
1;1;13.56;0.052671529;0.0636;0.0174
1;2;13.56;0.091961351;0.0198;0.0065
1;5;13.56;0.111800045;0.0745;-0.0322
1;4;13.56;0.120809437;0.0808;0.0235
1;3;14.24;0.0;0.0862;-0.0431
1;1;14.24;0.02049195;0.0583;-0.0227
1;2;14.24;0.091117781;0.0516;-0.0315
1;4;14.24;0.09757223;0.0913;-0.0184
1;5;14.24;0.137277311;0.0648;-0.1146
