Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.90270529 -0.39540893 -0.9472514   0.93636552 -0.93744946  0.02711569],594.3478576451222
1,1,[-0.41461961  0.72423504  0.42332767 -0.90284546  0.23848016  0.00098852],37.48608517643054
1,2,[-0.41461961  0.72423504  0.42332767 -0.90284546  0.23848016  0.00098852],37.48608517643054
1,3,[-0.43163556  0.75378855  0.44316384 -0.94106519  0.27144941 -0.00589119],32.56699394784652
1,4,[-0.45420699  0.69154923  0.3652624  -0.91654559  0.269948   -0.00148983],25.424124099956085
1,5,[-0.45420699  0.69154923  0.3652624  -0.91654559  0.269948   -0.00148983],25.424124099956085
1,6,[-0.45420699  0.69154923  0.3652624  -0.91654559  0.269948   -0.00148983],25.424124099956085
1,7,"[-5.32379468e-01  5.37281618e-01  2.92942202e-01 -9.16681704e-01
  3.01374528e-01 -7.65922509e-04]",23.952827989536388
1,8,[-0.53001612  0.7702808   0.40982505 -0.87777113  0.35683898 -0.00340016],19.980591275594932
1,9,[-0.53001612  0.7702808   0.40982505 -0.87777113  0.35683898 -0.00340016],19.980591275594932
1,10,[-0.53001612  0.7702808   0.40982505 -0.87777113  0.35683898 -0.00340016],19.980591275594932
1,11,[-0.53001612  0.7702808   0.40982505 -0.87777113  0.35683898 -0.00340016],19.980591275594932
1,12,[-0.47826372  0.85895703  0.37845858 -0.94335263  0.38948664 -0.00262587],19.95440955528056
1,13,[-0.28995348  0.64935764  0.32170408 -1.          0.39013691 -0.00242958],19.926134196171418
1,14,[-0.28995348  0.64935764  0.32170408 -1.          0.39013691 -0.00242958],19.926134196171418
1,15,[-0.28995348  0.64935764  0.32170408 -1.          0.39013691 -0.00242958],19.926134196171418
1,16,[-0.28995348  0.64935764  0.32170408 -1.          0.39013691 -0.00242958],19.926134196171418
1,17,[-0.28995348  0.64935764  0.32170408 -1.          0.39013691 -0.00242958],19.926134196171418
1,18,[-0.28995348  0.64935764  0.32170408 -1.          0.39013691 -0.00242958],19.926134196171418
1,19,[-0.28995348  0.64935764  0.32170408 -1.          0.39013691 -0.00242958],19.926134196171418
1,20,[-0.28995348  0.64935764  0.32170408 -1.          0.39013691 -0.00242958],19.926134196171418
1,21,[-0.28995348  0.64935764  0.32170408 -1.          0.39013691 -0.00242958],19.926134196171418
1,22,[-0.28995348  0.64935764  0.32170408 -1.          0.39013691 -0.00242958],19.926134196171418
1,23,[-0.28995348  0.64935764  0.32170408 -1.          0.39013691 -0.00242958],19.926134196171418
1,24,[-0.22917819  0.6877373   0.32742191 -1.          0.44265326 -0.00294623],17.799488063251975
1,25,[-0.22917819  0.6877373   0.32742191 -1.          0.44265326 -0.00294623],17.799488063251975
1,26,[-0.22917819  0.6877373   0.32742191 -1.          0.44265326 -0.00294623],17.799488063251975
1,27,[-0.22917819  0.6877373   0.32742191 -1.          0.44265326 -0.00294623],17.799488063251975
1,28,[-0.22917819  0.6877373   0.32742191 -1.          0.44265326 -0.00294623],17.799488063251975
1,29,[-0.57595428  0.86507783  0.34752133 -0.95497965  0.48434371 -0.00363448],15.911014918868453
1,30,[-0.57595428  0.86507783  0.34752133 -0.95497965  0.48434371 -0.00363448],15.911014918868453
1,31,[-0.6090903   0.66812976  0.22876321 -0.99031439  0.50419693 -0.00268304],14.500891530088758
1,32,[-0.6090903   0.66812976  0.22876321 -0.99031439  0.50419693 -0.00268304],14.500891530088758
1,33,[-0.6090903   0.66812976  0.22876321 -0.99031439  0.50419693 -0.00268304],14.500891530088758
1,34,[-0.64258215  0.66062049  0.15772983 -1.          0.55601254 -0.00258768],13.274715262567497
1,35,[-0.64258215  0.66062049  0.15772983 -1.          0.55601254 -0.00258768],13.274715262567497
1,36,[-0.64258215  0.66062049  0.15772983 -1.          0.55601254 -0.00258768],13.274715262567497
1,37,[-0.54591946  0.71526552  0.15393544 -1.          0.59759639 -0.00388573],11.504349089403918
1,38,[-0.54591946  0.71526552  0.15393544 -1.          0.59759639 -0.00388573],11.504349089403918
1,39,[-0.54591946  0.71526552  0.15393544 -1.          0.59759639 -0.00388573],11.504349089403918
1,40,[-0.63974668  0.63595618  0.20821484 -0.91228005  0.59864948 -0.00436774],11.054699995724054
1,41,[-0.63974668  0.63595618  0.20821484 -0.91228005  0.59864948 -0.00436774],11.054699995724054
1,42,[-0.73206863  0.69020464  0.17841304 -0.88548116  0.63897538 -0.00321862],10.061828021888315
1,43,[-0.73206863  0.69020464  0.17841304 -0.88548116  0.63897538 -0.00321862],10.061828021888315
1,44,[-0.73206863  0.69020464  0.17841304 -0.88548116  0.63897538 -0.00321862],10.061828021888315
1,45,[-0.73206863  0.69020464  0.17841304 -0.88548116  0.63897538 -0.00321862],10.061828021888315
1,46,[-0.73206863  0.69020464  0.17841304 -0.88548116  0.63897538 -0.00321862],10.061828021888315
1,47,[-0.73206863  0.69020464  0.17841304 -0.88548116  0.63897538 -0.00321862],10.061828021888315
1,48,[-0.73206863  0.69020464  0.17841304 -0.88548116  0.63897538 -0.00321862],10.061828021888315
1,49,[-0.73206863  0.69020464  0.17841304 -0.88548116  0.63897538 -0.00321862],10.061828021888315
1,50,[-0.60737254  0.79195179  0.18938139 -0.90389823  0.67613483 -0.00303186],9.892176214605852
1,51,[-0.60737254  0.79195179  0.18938139 -0.90389823  0.67613483 -0.00303186],9.892176214605852
1,52,[-0.60737254  0.79195179  0.18938139 -0.90389823  0.67613483 -0.00303186],9.892176214605852
1,53,[-0.60737254  0.79195179  0.18938139 -0.90389823  0.67613483 -0.00303186],9.892176214605852
