Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.75434261 -0.81180737  0.18766719 -0.72394465  0.80293215  0.02778009],13.909039864484924
1,1,[-0.68184875 -0.77636954  0.2358866  -0.62572578  0.86171508  0.01849236],12.511987816113804
1,2,[-0.68184875 -0.77636954  0.2358866  -0.62572578  0.86171508  0.01849236],12.511987816113804
1,3,[-0.74380782 -0.76840476  0.32563652 -0.64695138  0.85344505  0.02585256],11.983021982358057
1,4,[-0.74380782 -0.76840476  0.32563652 -0.64695138  0.85344505  0.02585256],11.983021982358057
1,5,[-0.81366617 -0.74451492  0.42183795 -0.56556516  0.80287005  0.0144889 ],10.966294743991194
1,6,[-0.74183711 -0.74619206  0.45905911 -0.4721965   0.84410931  0.02459068],10.117819285930167
1,7,[-0.74183711 -0.74619206  0.45905911 -0.4721965   0.84410931  0.02459068],10.117819285930167
1,8,[-0.68074705 -0.72698716  0.39960368 -0.46989317  0.96984222  0.02728888],9.54122786312822
1,9,[-0.68074705 -0.72698716  0.39960368 -0.46989317  0.96984222  0.02728888],9.54122786312822
1,10,[-0.715157   -0.64629903  0.30741642 -0.38243799  0.96797576  0.02452271],9.386847292447161
1,11,[-0.715157   -0.64629903  0.30741642 -0.38243799  0.96797576  0.02452271],9.386847292447161
1,12,[-0.715157   -0.64629903  0.30741642 -0.38243799  0.96797576  0.02452271],9.386847292447161
1,13,[-0.67903123 -0.57464731  0.37883307 -0.35165252  0.90235835  0.0314604 ],8.892016730372392
1,14,[-0.65428444 -0.70674957  0.53296325 -0.37590314  0.92115441  0.0175377 ],8.57926636623318
1,15,[-0.65428444 -0.70674957  0.53296325 -0.37590314  0.92115441  0.0175377 ],8.57926636623318
1,16,[-0.59685297 -0.50437272  0.42975605 -0.2766488   0.99340478  0.03471588],7.450912716017072
1,17,[-0.59685297 -0.50437272  0.42975605 -0.2766488   0.99340478  0.03471588],7.450912716017072
1,18,[-0.55862708 -0.44940775  0.39088082 -0.20258821  0.95199485  0.02908358],6.712886833413526
1,19,[-0.59553633 -0.43342744  0.43963227 -0.11605881  0.86719648  0.02646572],6.191923193774015
1,20,[-0.59553633 -0.43342744  0.43963227 -0.11605881  0.86719648  0.02646572],6.191923193774015
1,21,[-0.59553633 -0.43342744  0.43963227 -0.11605881  0.86719648  0.02646572],6.191923193774015
1,22,[-0.6017207  -0.29585283  0.4872284  -0.02216126  0.87276614  0.01911805],4.945248087542026
1,23,[-0.58239277 -0.32238806  0.49038212  0.04518869  0.89248723  0.02415864],4.60355717407869
1,24,[-0.58065775 -0.23041418  0.47016418 -0.03398607  0.91464474  0.02652165],4.533442037315647
1,25,[-0.58065775 -0.23041418  0.47016418 -0.03398607  0.91464474  0.02652165],4.533442037315647
1,26,[-0.58065775 -0.23041418  0.47016418 -0.03398607  0.91464474  0.02652165],4.533442037315647
1,27,[-0.58065775 -0.23041418  0.47016418 -0.03398607  0.91464474  0.02652165],4.533442037315647
1,28,[-0.49093326 -0.21686151  0.53337424 -0.07848287  0.97897329  0.02455899],4.349902724719534
1,29,[-0.59300606 -0.22665622  0.48516064  0.02770143  0.89984185  0.02383984],4.215505019567264
1,30,[-0.59300606 -0.22665622  0.48516064  0.02770143  0.89984185  0.02383984],4.215505019567264
1,31,[-0.52873458 -0.12987462  0.43299964 -0.0400076   0.86249013  0.02148991],4.201570131048004
1,32,[-0.56429488 -0.13426132  0.40591638  0.12481004  0.89598781  0.02656258],3.7219498129292847
1,33,[-0.55953225 -0.04919799  0.42321168  0.1339982   0.88109092  0.02090661],3.4493035769515203
1,34,[-0.55953225 -0.04919799  0.42321168  0.1339982   0.88109092  0.02090661],3.4493035769515203
1,35,[-0.46037328 -0.07556946  0.64242203  0.03937603  1.          0.02294175],3.071255745185607
1,36,[-0.46037328 -0.07556946  0.64242203  0.03937603  1.          0.02294175],3.071255745185607
1,37,[-0.46037328 -0.07556946  0.64242203  0.03937603  1.          0.02294175],3.071255745185607
1,38,[-0.46037328 -0.07556946  0.64242203  0.03937603  1.          0.02294175],3.071255745185607
1,39,[-0.46037328 -0.07556946  0.64242203  0.03937603  1.          0.02294175],3.071255745185607
