Run,Generation,Best X Value,Best Fitness Value
1,0,[0.7206338  0.11942378 0.98702327 0.15885786 0.77787227 0.03212734],14.823430251474358
1,1,[ 0.77945476  0.21899612  0.95048351  0.11535265  0.70082108 -0.00693307],3.2519889097194703
1,2,[ 0.77945476  0.21899612  0.95048351  0.11535265  0.70082108 -0.00693307],3.2519889097194703
1,3,[ 0.77945476  0.21899612  0.95048351  0.11535265  0.70082108 -0.00693307],3.2519889097194703
1,4,[ 0.77563376  0.2379799   0.79594741  0.18093855  0.58421245 -0.00617003],2.7080262568612326
1,5,[ 0.51212271  0.25351116  1.          0.1637809   0.67415154 -0.00218024],2.527431522966815
1,6,[ 0.51212271  0.25351116  1.          0.1637809   0.67415154 -0.00218024],2.527431522966815
1,7,[ 0.58728106  0.27286379  1.          0.24621845  0.67860541 -0.00562016],2.233114495903529
1,8,[ 0.58728106  0.27286379  1.          0.24621845  0.67860541 -0.00562016],2.233114495903529
1,9,[ 0.5767008   0.32769532  0.96217507  0.18077856  0.58479027 -0.01011194],2.185880566373317
1,10,[ 0.5767008   0.32769532  0.96217507  0.18077856  0.58479027 -0.01011194],2.185880566373317
1,11,[ 0.52643505  0.38871606  1.          0.22650936  0.60143944 -0.011064  ],2.045344720821674
1,12,[ 0.52643505  0.38871606  1.          0.22650936  0.60143944 -0.011064  ],2.045344720821674
1,13,[ 0.52643505  0.38871606  1.          0.22650936  0.60143944 -0.011064  ],2.045344720821674
1,14,[ 0.59793328  0.41704818  0.93733278  0.18461231  0.73966896 -0.0042282 ],1.9841273757680478
1,15,"[5.89095925e-01 3.93749451e-01 8.87315823e-01 2.56404186e-01
 7.44926064e-01 6.10149245e-04]",1.8726311775037725
1,16,"[5.89095925e-01 3.93749451e-01 8.87315823e-01 2.56404186e-01
 7.44926064e-01 6.10149245e-04]",1.8726311775037725
1,17,"[5.89095925e-01 3.93749451e-01 8.87315823e-01 2.56404186e-01
 7.44926064e-01 6.10149245e-04]",1.8726311775037725
1,18,"[5.89095925e-01 3.93749451e-01 8.87315823e-01 2.56404186e-01
 7.44926064e-01 6.10149245e-04]",1.8726311775037725
1,19,[ 0.58157177  0.47170628  0.89295457  0.22943575  0.75424428 -0.00249478],1.8245496260139378
1,20,[ 0.58157177  0.47170628  0.89295457  0.22943575  0.75424428 -0.00249478],1.8245496260139378
1,21,[ 0.58157177  0.47170628  0.89295457  0.22943575  0.75424428 -0.00249478],1.8245496260139378
1,22,[ 0.58157177  0.47170628  0.89295457  0.22943575  0.75424428 -0.00249478],1.8245496260139378
1,23,[ 0.62457753  0.37831044  0.88792816  0.31457922  0.64657341 -0.00661218],1.8142596374492344
1,24,[ 0.62457753  0.37831044  0.88792816  0.31457922  0.64657341 -0.00661218],1.8142596374492344
1,25,[ 0.65262051  0.54742658  0.93194751  0.32943244  0.75403315 -0.00251372],1.655972960656735
1,26,[ 0.65262051  0.54742658  0.93194751  0.32943244  0.75403315 -0.00251372],1.655972960656735
1,27,[ 0.65262051  0.54742658  0.93194751  0.32943244  0.75403315 -0.00251372],1.655972960656735
1,28,[ 0.65262051  0.54742658  0.93194751  0.32943244  0.75403315 -0.00251372],1.655972960656735
1,29,[ 0.65262051  0.54742658  0.93194751  0.32943244  0.75403315 -0.00251372],1.655972960656735
1,30,[ 0.59241329  0.56263166  0.88490574  0.34355181  0.71467022 -0.00213654],1.6355685688600616
1,31,[ 0.59241329  0.56263166  0.88490574  0.34355181  0.71467022 -0.00213654],1.6355685688600616
1,32,[ 0.59241329  0.56263166  0.88490574  0.34355181  0.71467022 -0.00213654],1.6355685688600616
1,33,[ 0.59241329  0.56263166  0.88490574  0.34355181  0.71467022 -0.00213654],1.6355685688600616
1,34,[0.47162001 0.54705262 0.99881052 0.44629256 0.85942386 0.00386006],1.6005371059487643
1,35,[0.47162001 0.54705262 0.99881052 0.44629256 0.85942386 0.00386006],1.6005371059487643
1,36,[ 0.3910795   0.59944681  0.97392347  0.54436902  0.8133764  -0.00818511],1.5641091676360954
1,37,[ 0.3910795   0.59944681  0.97392347  0.54436902  0.8133764  -0.00818511],1.5641091676360954
1,38,[ 0.60048482  0.62234807  1.          0.4407752   0.7254447  -0.0086525 ],1.5452539973278332
1,39,[ 0.59780001  0.62077449  0.97912358  0.50020343  0.73586429 -0.00529269],1.487631145390557
1,40,[ 0.59780001  0.62077449  0.97912358  0.50020343  0.73586429 -0.00529269],1.487631145390557
1,41,[ 0.59780001  0.62077449  0.97912358  0.50020343  0.73586429 -0.00529269],1.487631145390557
1,42,[ 0.59780001  0.62077449  0.97912358  0.50020343  0.73586429 -0.00529269],1.487631145390557
1,43,[ 0.59780001  0.62077449  0.97912358  0.50020343  0.73586429 -0.00529269],1.487631145390557
1,44,[0.49408233 0.68493941 0.93505123 0.48335403 0.91521113 0.00143417],1.440373111737559
1,45,[0.49408233 0.68493941 0.93505123 0.48335403 0.91521113 0.00143417],1.440373111737559
