Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.73353013  0.60468905  0.24204715 -0.4891246  -0.83402426 -0.00111434],20.7977295382056
1,1,[-0.47058127  0.60115017  0.6857728   0.90659734 -0.17922979 -0.00542419],9.98054527086195
1,2,[-0.47058127  0.60115017  0.6857728   0.90659734 -0.17922979 -0.00542419],9.98054527086195
1,3,[-0.46644928  0.68973355  0.76127557  0.95650272 -0.20341442 -0.00127271],4.792589964226745
1,4,[-0.46644928  0.68973355  0.76127557  0.95650272 -0.20341442 -0.00127271],4.792589964226745
1,5,[-0.46644928  0.68973355  0.76127557  0.95650272 -0.20341442 -0.00127271],4.792589964226745
1,6,[-0.4008213   0.76728676  0.7932216   0.92641397 -0.19116613 -0.00351044],3.9617226180792158
1,7,[-0.4008213   0.76728676  0.7932216   0.92641397 -0.19116613 -0.00351044],3.9617226180792158
1,8,[-0.4008213   0.76728676  0.7932216   0.92641397 -0.19116613 -0.00351044],3.9617226180792158
1,9,[-0.4008213   0.76728676  0.7932216   0.92641397 -0.19116613 -0.00351044],3.9617226180792158
1,10,[-0.4008213   0.76728676  0.7932216   0.92641397 -0.19116613 -0.00351044],3.9617226180792158
1,11,[-0.4008213   0.76728676  0.7932216   0.92641397 -0.19116613 -0.00351044],3.9617226180792158
1,12,[-0.48794115  0.66040558  0.66398676  1.         -0.16543843 -0.00200412],3.888645468830862
1,13,[-0.48319249  0.60760067  0.63090328  0.93997009 -0.12288137 -0.00305831],3.731500191711362
1,14,[-0.48319249  0.60760067  0.63090328  0.93997009 -0.12288137 -0.00305831],3.731500191711362
1,15,[-0.48319249  0.60760067  0.63090328  0.93997009 -0.12288137 -0.00305831],3.731500191711362
1,16,[-0.48319249  0.60760067  0.63090328  0.93997009 -0.12288137 -0.00305831],3.731500191711362
1,17,[-0.48319249  0.60760067  0.63090328  0.93997009 -0.12288137 -0.00305831],3.731500191711362
1,18,[-0.48319249  0.60760067  0.63090328  0.93997009 -0.12288137 -0.00305831],3.731500191711362
1,19,[-0.48319249  0.60760067  0.63090328  0.93997009 -0.12288137 -0.00305831],3.731500191711362
1,20,[-0.48319249  0.60760067  0.63090328  0.93997009 -0.12288137 -0.00305831],3.731500191711362
1,21,[-0.48319249  0.60760067  0.63090328  0.93997009 -0.12288137 -0.00305831],3.731500191711362
1,22,[-0.48319249  0.60760067  0.63090328  0.93997009 -0.12288137 -0.00305831],3.731500191711362
1,23,[-0.44171977  0.74430664  0.8459589   1.         -0.16025947 -0.00186913],3.465054461901975
1,24,[-0.44171977  0.74430664  0.8459589   1.         -0.16025947 -0.00186913],3.465054461901975
1,25,[-0.44171977  0.74430664  0.8459589   1.         -0.16025947 -0.00186913],3.465054461901975
1,26,[-0.44171977  0.74430664  0.8459589   1.         -0.16025947 -0.00186913],3.465054461901975
1,27,[-0.44171977  0.74430664  0.8459589   1.         -0.16025947 -0.00186913],3.465054461901975
1,28,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,29,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,30,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,31,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,32,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,33,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,34,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,35,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,36,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,37,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,38,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,39,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,40,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,41,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,42,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,43,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,44,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,45,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,46,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,47,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,48,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,49,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,50,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,51,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,52,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,53,[-0.44589412  0.81596144  0.93364745  0.97118754 -0.1520293  -0.00243566],3.057182911016699
1,54,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,55,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,56,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,57,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,58,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,59,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,60,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,61,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,62,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,63,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,64,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,65,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,66,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,67,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,68,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,69,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,70,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,71,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,72,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,73,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,74,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,75,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,76,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,77,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,78,[-0.38657058  0.84095069  0.89540747  1.         -0.11719492 -0.00235878],2.7257645230056387
1,79,[-0.46893074  0.81762208  0.77297951  1.         -0.02360457 -0.00221326],2.567184747207778
1,80,[-0.46893074  0.81762208  0.77297951  1.         -0.02360457 -0.00221326],2.567184747207778
1,81,[-0.40236141  0.76060968  0.81867107  1.         -0.03569706 -0.00206769],2.502720766589815
1,82,[-0.40236141  0.76060968  0.81867107  1.         -0.03569706 -0.00206769],2.502720766589815
1,83,[-0.40236141  0.76060968  0.81867107  1.         -0.03569706 -0.00206769],2.502720766589815
1,84,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,85,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,86,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,87,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,88,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,89,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,90,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,91,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,92,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,93,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,94,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,95,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,96,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,97,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,98,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
1,99,[-0.46494216  0.76239965  0.81268853  1.          0.04333349 -0.00177153],2.4645704571156206
2,0,[-0.36919493  0.74501814 -0.20840543  0.00962141  0.12910085  0.06096348],8416.749612371257
2,1,[-0.39267286  0.79409597 -0.2048808   0.0433799   0.1750791   0.01032242],249.3444185128249
2,2,"[-2.30399001e-01  3.82552115e-01 -1.00000000e+00 -5.83040237e-01
  8.42325429e-01  3.74795267e-04]",15.918396719908326
2,3,[-0.34358335  0.71507382 -0.15760778  0.05811827  0.21558651 -0.00181588],7.799775156801348
2,4,[-0.34358335  0.71507382 -0.15760778  0.05811827  0.21558651 -0.00181588],7.799775156801348
2,5,[-0.34358335  0.71507382 -0.15760778  0.05811827  0.21558651 -0.00181588],7.799775156801348
2,6,[-0.34358335  0.71507382 -0.15760778  0.05811827  0.21558651 -0.00181588],7.799775156801348
2,7,[-0.34358335  0.71507382 -0.15760778  0.05811827  0.21558651 -0.00181588],7.799775156801348
2,8,[-0.42868241  0.86580042 -0.115097    0.07471712  0.19057819 -0.00157194],5.552492390598395
2,9,[-0.42868241  0.86580042 -0.115097    0.07471712  0.19057819 -0.00157194],5.552492390598395
2,10,[-0.42868241  0.86580042 -0.115097    0.07471712  0.19057819 -0.00157194],5.552492390598395
2,11,[-0.42868241  0.86580042 -0.115097    0.07471712  0.19057819 -0.00157194],5.552492390598395
2,12,[-0.42868241  0.86580042 -0.115097    0.07471712  0.19057819 -0.00157194],5.552492390598395
2,13,[-0.42868241  0.86580042 -0.115097    0.07471712  0.19057819 -0.00157194],5.552492390598395
2,14,[-0.42868241  0.86580042 -0.115097    0.07471712  0.19057819 -0.00157194],5.552492390598395
2,15,[-0.42868241  0.86580042 -0.115097    0.07471712  0.19057819 -0.00157194],5.552492390598395
2,16,[-0.42868241  0.86580042 -0.115097    0.07471712  0.19057819 -0.00157194],5.552492390598395
2,17,[-0.42868241  0.86580042 -0.115097    0.07471712  0.19057819 -0.00157194],5.552492390598395
2,18,"[-4.98715245e-01  6.86186942e-01 -1.73572223e-01  1.28563242e-01
  2.80303651e-01 -6.81185665e-04]",5.049558182146419
2,19,"[-4.98715245e-01  6.86186942e-01 -1.73572223e-01  1.28563242e-01
  2.80303651e-01 -6.81185665e-04]",5.049558182146419
2,20,"[-4.98715245e-01  6.86186942e-01 -1.73572223e-01  1.28563242e-01
  2.80303651e-01 -6.81185665e-04]",5.049558182146419
2,21,"[-4.98715245e-01  6.86186942e-01 -1.73572223e-01  1.28563242e-01
  2.80303651e-01 -6.81185665e-04]",5.049558182146419
2,22,"[-4.98715245e-01  6.86186942e-01 -1.73572223e-01  1.28563242e-01
  2.80303651e-01 -6.81185665e-04]",5.049558182146419
2,23,"[-3.97252618e-01  8.00586688e-01  4.30918418e-02  9.19909419e-02
  3.48230931e-01  6.93082520e-04]",4.980391098776022
2,24,[-0.36283911  0.82285148 -0.01051695  0.1563224   0.36826591 -0.00116448],3.829854382630782
2,25,[-0.36283911  0.82285148 -0.01051695  0.1563224   0.36826591 -0.00116448],3.829854382630782
